TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ilcs1,329,Chicago Squires,1,8,28,45,5,,
1617velv-ilcs1,11822,S.T.E.M. - Bulldogs,2,8,5,32,5,,
1617velv-ilcs1,10109,Meteors,3,6,33,45,5,,
1617velv-ilcs1,3758,Aztec Eagles,4,6,15,20,5,,
1617velv-ilcs1,11647,GnomeBots,5,5,38,28,5,,
1617velv-ilcs1,11921,KIPP Create College Prep,6,5,33,45,5,,
1617velv-ilcs1,10253,Bobcats Robotics,7,5,21,20,5,,
1617velv-ilcs1,9635,Teen Girl Squad,8,5,5,20,5,,
1617velv-ilcs1,2813,CHOICES Robotics,9,4,16,20,5,,
1617velv-ilcs1,12083,De La Salle Meteorites,10,3,6,20,5,,
1617velv-ilcs1,116,Crazy Eights,11,3,1,41,5,,
1617velv-ilcs1,11207,Iron Panthers,12,2,15,20,5,,
