TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ilnc3,10091,N.Y.A.N. Robotics,1,10,351,165,5,,
1617velv-ilnc3,5209,Operation: BisonBot,2,10,245,140,5,,
1617velv-ilnc3,10363,Knights of Tech,3,8,295,95,5,,
1617velv-ilnc3,8817,Fruit Salad,4,7,190,165,5,,
1617velv-ilnc3,6200,Hypnotoads,5,7,175,70,5,,
1617velv-ilnc3,10326,They Might Be Robots,6,6,200,125,5,,
1617velv-ilnc3,5495,Iron Eagles,7,5,230,65,5,,
1617velv-ilnc3,5199,Duct Tape and a Prayer,8,4,196,160,5,,
1617velv-ilnc3,11544,Octa-Core,9,4,170,125,5,,
1617velv-ilnc3,11848,Spare Parts Robotics,10,3,256,100,5,,
1617velv-ilnc3,11663,Mundelein Robotics,11,2,265,85,5,,
1617velv-ilnc3,8608,Shockwave,12,2,190,95,5,,
1617velv-ilnc3,11685,Eagles 2,13,2,165,85,5,,
1617velv-ilnc3,11395,Crystal Lake South Robotics,14,0,136,81,5,,
