TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-ilscc3-Q-1,Q-1,90-55 R,9985,10146,0,11283,6995,0,90,60,0,30,0,0,55,10,0,35,10,0,
1617velv-ilscc3-Q-2,Q-2,45-70 B,11072,11235,0,11373,11496,0,45,45,0,0,0,0,70,30,0,40,0,0,
1617velv-ilscc3-Q-3,Q-3,40-105 B,8648,6994,0,6933,8899,0,40,5,0,15,20,0,105,50,0,55,0,0,
1617velv-ilscc3-Q-4,Q-4,105-60 R,5202,9788,0,11463,9506,0,105,60,0,25,20,0,60,15,0,45,0,0,
1617velv-ilscc3-Q-5,Q-5,25-150 B,11235,10146,0,9985,8648,0,25,10,0,15,0,0,150,95,0,55,0,0,
1617velv-ilscc3-Q-6,Q-6,75-100 B,8899,9788,0,11373,5202,0,75,10,0,55,10,0,100,30,0,30,40,0,
1617velv-ilscc3-Q-7,Q-7,40-55 B,11463,11496,0,11283,6933,0,40,10,0,30,0,0,55,15,0,40,0,0,
1617velv-ilscc3-Q-8,Q-8,95-85 R,11072,6995,0,6994,9506,0,95,30,0,65,0,0,85,25,0,20,40,0,
1617velv-ilscc3-Q-9,Q-9,45-105 B,11463,6933,0,11373,9985,0,45,5,0,30,10,0,105,65,0,40,0,0,
1617velv-ilscc3-Q-10,Q-10,30-120 B,11283,9788,0,6994,11235,0,30,10,0,0,20,0,120,25,0,55,40,0,
1617velv-ilscc3-Q-11,Q-11,30-78 B,10146,9506,0,11496,8899,0,30,20,0,10,0,0,78,30,0,48,0,0,
1617velv-ilscc3-Q-12,Q-12,85-130 B,8648,6995,0,11072,5202,0,85,25,0,60,0,0,130,50,0,40,40,0,
1617velv-ilscc3-Q-13,Q-13,86-30 R,9506,8899,0,9985,11235,0,86,5,0,41,0,40,30,30,0,0,0,0,
1617velv-ilscc3-Q-14,Q-14,30-60 B,8648,11496,0,9788,6995,0,30,10,0,20,0,0,60,5,0,45,10,0,
1617velv-ilscc3-Q-15,Q-15,70-60 R,11463,11373,0,10146,6994,0,70,40,0,30,0,0,60,10,0,10,40,0,
1617velv-ilscc3-Q-16,Q-16,180-45 R,5202,6933,0,11072,11283,0,180,40,0,50,40,50,45,10,0,35,0,0,
1617velv-ilscc3-Q-17,Q-17,45-65 B,11235,8899,0,6995,11463,0,45,10,0,35,0,0,65,0,0,25,0,40,
1617velv-ilscc3-Q-18,Q-18,130-25 R,11072,6933,0,9788,10146,0,130,100,0,30,0,0,25,0,0,25,0,0,
1617velv-ilscc3-Q-19,Q-19,120-95 R,9985,5202,0,11496,6994,0,120,35,0,45,40,0,95,40,0,15,40,0,
1617velv-ilscc3-Q-20,Q-20,90-65 R,9506,11373,0,11283,8648,0,90,45,0,45,0,0,65,20,0,5,40,0,
