TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-ilscs1-Q-1,Q-1,0-50 B,10254,9593,0,8943,11462,0,0,0,0,0,0,0,50,10,0,40,0,0,
1617velv-ilscs1-Q-2,Q-2,0-45 B,11880,10008,0,6206,8620,0,0,0,0,0,0,0,45,0,0,45,0,0,
1617velv-ilscs1-Q-3,Q-3,14-90 B,11289,11464,0,7129,5187,0,14,10,0,4,0,0,90,5,0,85,0,0,
1617velv-ilscs1-Q-4,Q-4,25-20 R,9593,8943,0,8620,10008,0,25,5,0,20,0,0,20,0,0,20,0,0,
1617velv-ilscs1-Q-5,Q-5,39-0 R,11289,6206,0,11464,10254,0,39,5,0,34,0,0,0,0,0,0,0,0,
1617velv-ilscs1-Q-6,Q-6,40-70 B,11880,5187,0,7129,11462,0,40,10,0,30,0,0,70,40,0,30,0,0,
1617velv-ilscs1-Q-7,Q-7,30-11 R,9593,8620,0,11289,10254,0,30,0,0,30,0,0,11,0,0,11,0,0,
1617velv-ilscs1-Q-8,Q-8,5-65 B,10008,11462,0,7129,11464,0,5,0,0,5,0,0,65,35,0,30,0,0,
1617velv-ilscs1-Q-9,Q-9,65-10 R,5187,8943,0,11880,6206,0,65,5,0,40,20,0,10,10,0,0,0,0,
1617velv-ilscs1-Q-10,Q-10,35-16 R,11462,10254,0,10008,11289,0,35,0,0,35,0,0,16,5,0,11,0,0,
1617velv-ilscs1-Q-11,Q-11,10-20 B,11464,5187,0,11880,9593,0,10,0,0,10,0,0,20,0,0,20,0,0,
1617velv-ilscs1-Q-12,Q-12,135-20 R,8620,7129,0,6206,8943,0,135,70,0,65,0,0,20,10,0,10,0,0,
1617velv-ilscs1-Q-13,Q-13,30-55 B,10254,11880,0,5187,10008,0,30,10,0,20,0,0,55,5,0,10,40,0,
1617velv-ilscs1-Q-14,Q-14,40-30 R,8943,8620,0,11464,11462,0,40,5,0,35,0,0,30,15,0,15,0,0,
1617velv-ilscs1-Q-15,Q-15,80-25 R,7129,6206,0,9593,11289,0,80,40,0,40,0,0,25,5,0,20,0,0,
