TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ilscs1,7129,Robo Raiders,1,10,104,135,5,,
1617velv-ilscs1,8620,Wormgear Warriors,2,8,81,135,5,,
1617velv-ilscs1,8943,OOPS! Robotics,3,8,80,65,5,,
1617velv-ilscs1,5187,Transistor Titans,4,6,104,90,5,,
1617velv-ilscs1,11462,Mechanical Muses,5,6,91,70,5,,
1617velv-ilscs1,9593,Dimly Lit Bulbs,6,6,66,30,5,,
1617velv-ilscs1,6206,Ohms Olympians,7,6,55,80,5,,
1617velv-ilscs1,11880,Vertical Vectors,8,2,90,40,5,,
1617velv-ilscs1,10008,Charleston Matrices,9,2,71,55,5,,
1617velv-ilscs1,11289,Freaky Techno Creatures,10,2,66,39,5,,
1617velv-ilscs1,11464,Technical Terminators,11,2,59,65,5,,
1617velv-ilscs1,10254,MCHS RoboLions,12,2,57,35,5,,
