TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-ilwn1-Q-1,Q-1,5-10 B,8770,10836,0,11382,10482,0,5,5,0,0,0,0,10,10,0,0,0,0,
1617velv-ilwn1-Q-2,Q-2,20-50 B,12037,10301,0,12036,5037,0,20,10,0,10,0,0,50,10,0,40,0,0,
1617velv-ilwn1-Q-3,Q-3,65-60 R,7738,10635,0,9411,10609,0,65,40,0,25,0,0,60,30,0,20,10,0,
1617velv-ilwn1-Q-4,Q-4,55-0 R,12038,5037,0,8770,10482,0,55,30,0,25,0,0,0,0,0,0,0,0,
1617velv-ilwn1-Q-5,Q-5,30-68 B,10609,12036,0,10836,9411,0,30,30,0,0,0,0,68,15,0,43,0,10,
1617velv-ilwn1-Q-6,Q-6,61-45 R,10635,11382,0,10301,12038,0,61,10,0,41,10,0,45,35,0,0,10,0,
1617velv-ilwn1-Q-7,Q-7,40-20 R,7738,10482,0,12037,12036,0,40,10,0,30,0,0,20,10,0,10,0,0,
1617velv-ilwn1-Q-8,Q-8,46-55 B,9411,11382,0,10836,5037,0,46,15,0,31,0,0,55,40,0,15,0,0,
1617velv-ilwn1-Q-9,Q-9,50-30 R,12037,8770,0,10609,10301,0,50,10,0,40,0,0,30,30,0,0,0,0,
1617velv-ilwn1-Q-10,Q-10,60-35 R,12038,10635,0,7738,12036,0,60,30,0,20,10,0,35,10,0,25,0,0,
1617velv-ilwn1-Q-11,Q-11,30-62 B,12037,10609,0,11382,5037,0,30,10,0,10,10,0,62,25,0,37,0,0,
1617velv-ilwn1-Q-12,Q-12,27-75 B,7738,10836,0,8770,10635,0,27,10,0,17,0,0,75,35,0,30,0,10,
1617velv-ilwn1-Q-13,Q-13,50-20 R,10301,9411,0,12038,10482,0,50,10,0,40,0,0,20,5,0,5,10,0,
1617velv-ilwn1-Q-14,Q-14,80-56 R,12037,5037,0,10836,10635,0,80,25,0,45,10,0,56,35,0,21,0,0,
1617velv-ilwn1-Q-15,Q-15,35-31 R,12036,9411,0,8770,11382,0,35,10,0,25,0,0,31,10,0,21,0,0,
1617velv-ilwn1-Q-16,Q-16,10-40 B,10482,10301,0,7738,10609,0,10,0,0,10,0,0,40,10,0,30,0,0,
1617velv-ilwn1-Q-17,Q-17,45-37 R,12038,9411,0,10836,12037,0,45,25,0,20,0,0,37,15,0,22,0,0,
