TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ilww1,10101,TechnoBullets,1,10,106,55,5,,
1617velv-ilww1,6596,Robotic Rams,2,8,78,46,5,,
1617velv-ilww1,7317,Quest Gators,3,6,99,40,5,,
1617velv-ilww1,11772,JAVATOMIC,4,6,63,67,5,,
1617velv-ilww1,9189,Optimus Primates,5,4,106,45,5,,
1617velv-ilww1,11177,River Bend Red,6,4,102,46,5,,
1617velv-ilww1,3640,The BoilerBots,7,4,96,35,5,,
1617velv-ilww1,7869,The Robo Panthers,8,4,66,35,5,,
1617velv-ilww1,4298,RoboWarriors,9,4,52,42,5,,
1617velv-ilww1,6675,Chargers,10,2,96,55,5,,
1617velv-ilww1,9163,Techna Gators,11,2,71,35,5,,
