TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-in-cmp-Q-1,Q-1,45-105 B,9766,4601,0,5501,8791,0,45,35,0,10,0,0,105,60,0,45,0,0,false,false,false,false,
1617velv-in-cmp-Q-2,Q-2,50-55 B,8149,3537,0,6194,8711,0,50,0,0,40,10,0,55,5,0,50,0,0,false,false,false,false,
1617velv-in-cmp-Q-3,Q-3,50-85 B,10865,8997,0,12092,7234,0,50,5,0,45,0,0,85,65,0,20,0,0,false,false,false,false,
1617velv-in-cmp-Q-4,Q-4,215-25 R,9789,12043,0,4217,8272,0,215,95,0,80,40,0,25,15,0,10,0,0,false,false,false,false,
1617velv-in-cmp-Q-5,Q-5,145-110 R,535,12091,0,8435,5029,0,145,85,0,40,20,0,110,65,0,25,20,0,false,false,false,false,
1617velv-in-cmp-Q-6,Q-6,110-80 R,9862,12014,0,2803,12231,0,110,55,0,55,0,0,80,20,0,20,0,40,false,false,false,false,
1617velv-in-cmp-Q-7,Q-7,95-50 R,8971,4600,0,6450,11959,0,95,85,0,10,0,0,50,0,0,50,0,0,false,false,false,false,
1617velv-in-cmp-Q-8,Q-8,115-100 R,6190,9790,0,10133,11272,0,115,70,0,45,0,0,100,55,0,45,0,0,false,false,false,false,
1617velv-in-cmp-Q-9,Q-9,60-50 R,4217,5029,0,8149,4601,0,60,15,0,35,10,0,50,15,0,35,0,0,false,false,false,false,
1617velv-in-cmp-Q-10,Q-10,105-245 B,8791,9862,0,8272,3537,0,105,75,0,30,0,0,245,130,0,75,40,0,false,false,false,false,
1617velv-in-cmp-Q-11,Q-11,25-75 B,6194,12091,0,12092,12231,0,25,10,0,15,0,0,75,35,0,40,0,0,false,false,false,false,
1617velv-in-cmp-Q-12,Q-12,70-50 R,6190,2803,0,6450,8997,0,70,35,0,35,0,0,50,15,0,35,0,0,false,false,false,false,
1617velv-in-cmp-Q-13,Q-13,100-195 B,9766,7234,0,9790,535,0,100,40,0,50,10,0,195,85,0,70,40,0,false,false,false,false,
1617velv-in-cmp-Q-14,Q-14,75-210 B,10133,11959,0,9789,10865,0,75,35,0,40,0,0,210,100,0,70,40,0,false,false,false,false,
1617velv-in-cmp-Q-15,Q-15,70-85 B,8435,11272,0,8971,12014,0,70,25,0,45,0,0,85,10,0,75,0,0,false,false,false,false,
1617velv-in-cmp-Q-16,Q-16,35-90 B,5501,4600,0,12043,8711,0,35,35,0,0,0,0,90,30,0,60,0,0,false,false,false,false,
1617velv-in-cmp-Q-17,Q-17,70-216 B,9766,12091,0,3537,8997,0,70,40,0,0,0,30,216,95,0,61,20,40,false,false,false,false,
1617velv-in-cmp-Q-18,Q-18,25-125 B,10133,4601,0,7234,12231,0,25,20,0,5,0,0,125,60,0,65,0,0,false,false,false,false,
1617velv-in-cmp-Q-19,Q-19,95-60 R,12092,11959,0,535,6190,0,95,40,0,55,0,0,60,50,0,10,0,0,false,false,false,false,
1617velv-in-cmp-Q-20,Q-20,40-70 B,8711,5029,0,8791,6450,0,40,0,0,40,0,0,70,45,0,5,20,0,false,false,false,false,
1617velv-in-cmp-Q-21,Q-21,75-85 B,8971,2803,0,10865,4217,0,75,15,0,50,10,0,85,35,0,50,0,0,false,false,false,false,
1617velv-in-cmp-Q-22,Q-22,115-175 B,8272,5501,0,9790,12014,0,115,35,0,40,40,0,175,100,0,75,0,0,false,false,false,false,
1617velv-in-cmp-Q-23,Q-23,195-30 R,11272,9789,0,8149,4600,0,195,100,0,55,40,0,30,5,0,25,0,0,false,false,false,false,
1617velv-in-cmp-Q-24,Q-24,115-20 R,12043,8435,0,6194,9862,0,115,15,0,100,0,0,20,15,0,5,0,0,false,false,false,false,
1617velv-in-cmp-Q-25,Q-25,75-25 R,4217,12231,0,9766,6190,0,75,30,0,45,0,0,25,15,0,10,0,0,false,false,false,false,
1617velv-in-cmp-Q-26,Q-26,35-60 B,12092,8272,0,8711,10133,0,35,0,0,35,0,0,60,5,0,45,10,0,false,false,false,false,
1617velv-in-cmp-Q-27,Q-27,170-85 R,535,8791,0,2803,4600,0,170,95,0,35,0,40,85,55,0,30,0,0,false,false,false,false,
1617velv-in-cmp-Q-28,Q-28,131-180 B,8997,5029,0,9789,12014,0,131,60,0,31,40,0,180,115,0,25,40,0,false,false,false,false,
1617velv-in-cmp-Q-29,Q-29,80-105 B,6194,6450,0,9790,4601,0,80,55,0,25,0,0,105,60,0,45,0,0,false,false,false,false,
1617velv-in-cmp-Q-30,Q-30,135-75 R,11272,3537,0,12043,11959,0,135,85,0,50,0,0,75,15,0,20,40,0,false,false,false,false,
1617velv-in-cmp-Q-31,Q-31,95-30 R,7234,9862,0,8971,12091,0,95,35,0,40,20,0,30,5,0,25,0,0,false,false,false,false,
1617velv-in-cmp-Q-32,Q-32,30-170 B,8149,10865,0,5501,8435,0,30,5,0,25,0,0,170,125,0,45,0,0,false,false,false,false,
1617velv-in-cmp-Q-33,Q-33,120-35 R,12014,12092,0,9766,4600,0,120,45,0,75,0,0,35,20,0,15,0,0,false,false,false,false,
1617velv-in-cmp-Q-34,Q-34,40-115 B,6194,11959,0,8997,4217,0,40,40,0,0,0,0,115,65,0,40,10,0,false,false,false,false,
1617velv-in-cmp-Q-35,Q-35,205-65 R,8711,9789,0,2803,12091,0,205,85,0,80,40,0,65,35,0,30,0,0,false,false,false,false,
1617velv-in-cmp-Q-36,Q-36,125-175 B,5029,12231,0,11272,5501,0,125,40,0,25,20,40,175,85,0,50,40,0,false,false,false,false,
1617velv-in-cmp-Q-37,Q-37,75-125 B,7234,8272,0,8149,6190,0,75,35,0,40,0,0,125,70,0,35,20,0,false,false,false,false,
1617velv-in-cmp-Q-38,Q-38,130-75 R,8791,9790,0,12043,8971,0,130,60,0,50,20,0,75,30,0,45,0,0,false,false,false,false,
1617velv-in-cmp-Q-39,Q-39,50-105 B,6450,10133,0,8435,3537,0,50,20,0,30,0,0,105,35,0,30,40,0,false,false,false,false,
1617velv-in-cmp-Q-40,Q-40,135-105 R,535,10865,0,4601,9862,0,135,80,0,55,0,0,105,40,0,25,40,0,false,false,false,false,
1617velv-in-cmp-SF-1-1,SF-1-1,210-70 R,9790,9789,12043,8791,5501,8149,210,95,0,75,40,0,70,30,0,20,20,0,false,false,false,false,
1617velv-in-cmp-SF-2-1,SF-2-1,195-165 R,12014,3537,6194,535,5029,7234,195,75,0,80,40,0,165,90,0,65,10,0,false,false,false,false,
1617velv-in-cmp-SF-1-2,SF-1-2,205-55 R,9790,9789,12043,8791,5501,8149,205,80,0,85,40,0,55,0,0,35,20,0,false,false,false,false,
1617velv-in-cmp-SF-2-2,SF-2-2,120-130 B,12014,3537,6194,535,5029,7234,120,90,0,30,0,0,130,65,0,55,10,0,false,false,false,false,
1617velv-in-cmp-SF-2-3,SF-2-3,135-120 R,12014,3537,6194,535,5029,7234,135,65,0,70,0,0,120,75,0,25,20,0,false,false,false,false,
1617velv-in-cmp-F-1,F-1,190-135 R,9790,9789,12043,12014,3537,6194,190,75,0,75,40,0,135,85,0,50,0,0,false,false,false,false,
1617velv-in-cmp-F-2,F-2,135-100 R,9790,9789,12043,12014,3537,6194,135,40,0,55,0,40,100,25,0,25,40,10,false,false,false,false,
