TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-in-cmp-Q-1,1,1,1,9766,4601,0,5501,8791,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,1,0,0,0,0,0,0,0,1,FALSE,2,0,0,0,3,3,0,0,0,0,0,0,
1617velv-in-cmp-Q-2,1,1,2,8149,3537,0,6194,8711,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,8,0,1,0,0,0,0,0,TRUE,0,0,0,0,4,2,0,0,0,0,0,0,
1617velv-in-cmp-Q-3,1,1,3,10865,8997,0,12092,7234,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,3,3,0,0,0,0,0,0,1,FALSE,2,0,0,3,1,2,0,0,0,0,0,0,
1617velv-in-cmp-Q-4,1,1,4,9789,12043,0,4217,8272,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,0,0,3,10,0,3,0,0,0,0,0,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,
1617velv-in-cmp-Q-5,1,1,5,535,12091,0,8435,5029,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,1,0,0,1,4,0,0,2,0,0,0,0,1,TRUE,2,0,0,0,0,5,0,2,0,0,0,0,
1617velv-in-cmp-Q-6,1,1,6,9862,12014,0,2803,12231,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,3,0,1,0,2,7,0,0,0,1,0,0,0,FALSE,1,0,0,1,2,0,0,0,0,0,0,1,
1617velv-in-cmp-Q-7,1,1,7,8971,4600,0,6450,11959,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,3,0,1,0,1,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,4,0,0,0,0,0,0,
1617velv-in-cmp-Q-8,1,1,8,6190,9790,0,10133,11272,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,1,0,1,7,0,0,0,0,0,0,0,TRUE,3,0,0,1,2,5,0,0,0,0,0,0,
1617velv-in-cmp-Q-9,1,1,9,4217,5029,0,8149,4601,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,3,0,1,0,0,0,0,0,FALSE,1,0,0,0,2,3,0,0,0,0,0,0,
1617velv-in-cmp-Q-10,1,1,10,8791,9862,0,8272,3537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,3,0,0,0,1,4,0,0,0,0,0,0,3,TRUE,2,0,0,1,3,9,0,3,0,0,0,0,
1617velv-in-cmp-Q-11,1,1,11,6194,12091,0,12092,12231,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,1,1,0,0,0,0,0,0,0,TRUE,2,0,0,0,3,2,0,0,0,0,0,0,
