TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-io-cdlcmp-Q-1,Q-1,125-40 R,8988,8588,0,6093,9215,0,125,40,0,85,0,0,40,10,0,30,0,0,
1617velv-io-cdlcmp-Q-2,Q-2,95-40 R,8672,11721,0,10139,10547,0,95,10,0,45,40,0,40,40,0,0,0,0,
1617velv-io-cdlcmp-Q-3,Q-3,65-35 R,7196,8813,0,8779,7400,0,65,0,0,45,20,0,35,25,0,10,0,0,
1617velv-io-cdlcmp-Q-4,Q-4,96-50 R,9025,10224,0,5466,12419,0,96,70,0,26,0,0,50,10,0,40,0,0,
1617velv-io-cdlcmp-Q-5,Q-5,132-60 R,11142,11856,0,6723,8588,0,132,40,0,42,10,40,60,40,0,20,0,0,
1617velv-io-cdlcmp-Q-6,Q-6,65-40 R,12419,10547,0,8779,9215,0,65,20,0,45,0,0,40,10,0,20,0,10,
1617velv-io-cdlcmp-Q-7,Q-7,20-65 B,10139,7400,0,8988,10224,0,20,20,0,0,0,0,65,25,0,40,0,0,
1617velv-io-cdlcmp-Q-8,Q-8,55-20 R,5466,6093,0,11856,8672,0,55,15,0,40,0,0,20,10,0,10,0,0,
1617velv-io-cdlcmp-Q-9,Q-9,15-80 B,11721,9025,0,11142,7196,0,15,15,0,0,0,0,80,40,0,40,0,0,
1617velv-io-cdlcmp-Q-10,Q-10,75-40 R,6723,10139,0,8813,12419,0,75,45,0,30,0,0,40,30,0,10,0,0,
1617velv-io-cdlcmp-Q-11,Q-11,40-35 R,11142,10547,0,7196,11856,0,40,0,0,30,10,0,35,10,0,15,10,0,
1617velv-io-cdlcmp-Q-12,Q-12,25-70 B,6723,7400,0,6093,9025,0,25,25,0,0,0,0,70,25,0,45,0,0,
1617velv-io-cdlcmp-Q-13,Q-13,45-90 B,10224,8779,0,8672,8588,0,45,20,0,25,0,0,90,40,0,30,20,0,
1617velv-io-cdlcmp-Q-14,Q-14,50-50 T,9215,11721,0,5466,8813,0,50,15,0,35,0,0,50,10,0,20,20,0,
1617velv-io-cdlcmp-Q-15,Q-15,50-35 R,8988,10139,0,11142,8779,0,50,30,0,20,0,0,35,15,0,20,0,0,
1617velv-io-cdlcmp-Q-16,Q-16,100-100 T,8588,9025,0,8672,8813,0,100,65,0,35,0,0,100,0,0,20,40,40,
1617velv-io-cdlcmp-Q-17,Q-17,80-85 B,10547,5466,0,8988,7400,0,80,40,0,30,10,0,85,40,0,35,0,10,
1617velv-io-cdlcmp-Q-18,Q-18,30-95 B,11721,6723,0,9215,10224,0,30,10,0,20,0,0,95,55,0,30,10,0,
1617velv-io-cdlcmp-Q-19,Q-19,50-60 B,11856,6093,0,12419,7196,0,50,25,0,25,0,0,60,40,0,20,0,0,
1617velv-io-cdlcmp-Q-20,Q-20,40-65 B,8779,10547,0,6723,9025,0,40,35,0,5,0,0,65,25,0,40,0,0,
1617velv-io-cdlcmp-Q-21,Q-21,41-25 R,11856,12419,0,11721,8988,0,41,10,0,21,10,0,25,5,0,20,0,0,
1617velv-io-cdlcmp-Q-22,Q-22,45-45 T,8672,11142,0,9215,7400,0,45,5,0,40,0,0,45,40,0,5,0,0,
1617velv-io-cdlcmp-Q-23,Q-23,90-90 T,7196,5466,0,10139,8588,0,90,35,0,55,0,0,90,40,0,50,0,0,
1617velv-io-cdlcmp-Q-24,Q-24,35-95 B,10224,8813,0,6093,10547,0,35,25,0,10,0,0,95,55,0,40,0,0,
1617velv-io-cdlcmp-Q-25,Q-25,85-40 R,7400,8588,0,11721,12419,0,85,45,0,40,0,0,40,10,0,30,0,0,
1617velv-io-cdlcmp-Q-26,Q-26,70-70 T,6093,8779,0,5466,11142,0,70,20,0,10,40,0,70,25,0,45,0,0,
1617velv-io-cdlcmp-Q-27,Q-27,20-65 B,7196,8988,0,8672,6723,0,20,10,0,10,0,0,65,20,0,35,0,10,
1617velv-io-cdlcmp-Q-28,Q-28,75-35 R,9215,10139,0,9025,11856,0,75,35,0,40,0,0,35,15,0,10,10,0,
1617velv-io-cdlcmp-Q-29,Q-29,40-50 B,8813,11142,0,10224,7196,0,40,0,0,20,20,0,50,25,0,25,0,0,
1617velv-io-cdlcmp-SF-1-1,SF-1-1,85-75 R,7196,6093,0,8988,10547,0,85,25,0,20,40,0,75,30,0,45,0,0,
1617velv-io-cdlcmp-SF-2-1,SF-2-1,60-85 B,8588,11142,0,8672,5466,0,60,50,0,10,0,0,85,40,0,45,0,0,
1617velv-io-cdlcmp-SF-1-2,SF-1-2,40-70 B,7196,6093,0,8988,10547,0,40,35,0,5,0,0,70,25,0,45,0,0,
1617velv-io-cdlcmp-SF-2-2,SF-2-2,135-40 R,8588,11142,0,8672,5466,0,135,65,0,70,0,0,40,10,0,30,0,0,
1617velv-io-cdlcmp-SF-1-3,SF-1-3,80-90 B,7196,6093,0,8988,10547,0,80,45,0,15,20,0,90,30,0,50,10,0,
1617velv-io-cdlcmp-SF-2-3,SF-2-3,150-165 B,8588,11142,0,8672,5466,0,150,65,0,45,0,40,165,55,0,60,0,50,
1617velv-io-cdlcmp-F-1,F-1,80-80 T,8988,10547,0,8672,5466,0,80,40,0,30,10,0,80,10,0,30,40,0,
1617velv-io-cdlcmp-F-2,F-2,90-25 R,8988,10547,0,8672,5466,0,90,40,0,50,0,0,25,10,0,15,0,0,
1617velv-io-cdlcmp-F-3,F-3,70-75 B,8988,10547,0,8672,5466,0,70,40,0,30,0,0,75,40,0,35,0,0,
1617velv-io-cdlcmp-F-4,F-4,95-70 R,8988,10547,0,8672,5466,0,95,40,0,55,0,0,70,40,0,20,10,0,
