TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-io-cdlcmp-Q-1,1,1,1,8988,8588,0,6093,9215,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,1,4,9,0,0,0,0,0,0,0,TRUE,0,0,0,1,0,6,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-2,1,1,2,8672,11721,0,10139,10547,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,4,1,0,3,0,0,0,0,0,TRUE,2,0,0,1,0,0,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-3,1,1,3,7196,8813,0,8779,7400,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,3,0,2,0,0,0,0,0,TRUE,1,0,0,1,1,0,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-4,1,1,4,9025,10224,0,5466,12419,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,2,0,3,0,2,1,1,0,0,0,0,0,0,TRUE,0,0,1,0,2,4,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-5,1,1,5,11142,11856,0,6723,8588,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,1,4,0,2,1,0,0,0,1,0,TRUE,2,0,0,1,0,4,0,0,0,1,0,0,
1617velv-io-cdlcmp-Q-6,1,1,6,12419,10547,0,8779,9215,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,4,1,0,0,1,0,0,0,0,TRUE,0,0,0,1,0,4,0,0,0,0,1,0,
1617velv-io-cdlcmp-Q-7,1,1,7,10139,7400,0,8988,10224,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,1,0,0,1,3,2,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-8,1,1,8,5466,6093,0,11856,8672,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,3,2,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,0,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-9,1,1,9,11721,9025,0,11142,7196,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,3,0,0,0,0,0,0,0,0,1,TRUE,0,0,1,0,4,0,0,0,0,0,0,0,
1617velv-io-cdlcmp-Q-10,1,1,10,6723,10139,0,8813,12419,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,1,0,0,0,3,0,0,0,0,0,0,0,1,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,
