TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-io-hclcmp-Q-1,Q-1,60-55 R,8561,4177,0,4144,7236,0,60,15,0,45,0,0,55,35,0,20,0,0,
1617velv-io-hclcmp-Q-2,Q-2,0-63 B,5154,6583,0,10038,10160,0,0,0,0,0,0,0,63,20,0,43,0,0,
1617velv-io-hclcmp-Q-3,Q-3,40-45 B,9969,12242,0,6072,8682,0,40,30,0,10,0,0,45,15,0,30,0,0,
1617velv-io-hclcmp-Q-4,Q-4,45-30 R,9052,4237,0,6458,8484,0,45,0,0,45,0,0,30,10,0,20,0,0,
1617velv-io-hclcmp-Q-5,Q-5,45-70 B,4173,4177,0,4443,10602,0,45,5,0,0,40,0,70,20,0,50,0,0,
1617velv-io-hclcmp-Q-6,Q-6,115-30 R,7236,9052,0,12242,10038,0,115,40,0,65,10,0,30,20,0,0,10,0,
1617velv-io-hclcmp-Q-7,Q-7,55-20 R,4144,6458,0,5154,6072,0,55,25,0,20,10,0,20,0,0,20,0,0,
1617velv-io-hclcmp-Q-8,Q-8,5-55 B,9969,8561,0,10160,4237,0,5,5,0,0,0,0,55,0,0,45,10,0,
1617velv-io-hclcmp-Q-9,Q-9,75-125 B,4443,8682,0,10602,6583,0,75,55,0,20,0,0,125,10,0,25,0,90,
1617velv-io-hclcmp-Q-10,Q-10,60-10 R,8484,7236,0,4173,10160,0,60,5,0,45,10,0,10,0,0,10,0,0,
1617velv-io-hclcmp-Q-11,Q-11,35-10 R,4237,10602,0,12242,6583,0,35,10,0,25,0,0,10,0,0,10,0,0,
1617velv-io-hclcmp-Q-12,Q-12,55-45 R,6072,4443,0,8561,8484,0,55,25,0,30,0,0,45,10,0,35,0,0,
1617velv-io-hclcmp-Q-13,Q-13,70-50 R,4177,5154,0,9969,9052,0,70,10,0,20,40,0,50,0,0,50,0,0,
1617velv-io-hclcmp-Q-14,Q-14,62-45 R,4144,10038,0,4173,8682,0,62,30,0,22,10,0,45,30,0,15,0,0,
1617velv-io-hclcmp-Q-15,Q-15,30-65 B,6458,10160,0,12242,4177,0,30,10,0,20,0,0,65,20,0,35,10,0,
1617velv-io-hclcmp-Q-16,Q-16,20-75 B,4173,6072,0,9052,6583,0,20,0,0,20,0,0,75,30,0,45,0,0,
1617velv-io-hclcmp-Q-17,Q-17,55-40 R,8682,10038,0,6458,8561,0,55,40,0,15,0,0,40,10,0,30,0,0,
1617velv-io-hclcmp-Q-18,Q-18,50-80 B,5154,7236,0,4443,4237,0,50,15,0,25,10,0,80,20,0,60,0,0,
1617velv-io-hclcmp-Q-19,Q-19,50-25 R,9969,8484,0,10602,4144,0,50,10,0,30,10,0,25,5,0,10,10,0,
1617velv-io-hclcmp-Q-20,Q-20,75-25 R,4173,12242,0,5154,8561,0,75,5,0,20,10,40,25,5,0,20,0,0,
1617velv-io-hclcmp-Q-21,Q-21,45-30 R,4443,10160,0,9052,4144,0,45,25,0,20,0,0,30,0,0,30,0,0,
1617velv-io-hclcmp-Q-22,Q-22,70-75 B,4237,8484,0,8682,4177,0,70,40,0,30,0,0,75,25,0,10,40,0,
1617velv-io-hclcmp-Q-23,Q-23,45-40 R,6458,6583,0,9969,7236,0,45,25,0,20,0,0,40,10,0,30,0,0,
1617velv-io-hclcmp-Q-24,Q-24,12-115 B,10602,10038,0,6072,4237,0,12,10,0,2,0,0,115,10,0,45,0,60,
1617velv-io-hclcmp-SF-1-1,SF-1-1,90-30 R,4443,9052,0,6072,7236,0,90,30,0,50,10,0,30,10,0,20,0,0,
1617velv-io-hclcmp-SF-2-1,SF-2-1,80-65 R,4237,4177,0,10038,4144,0,80,40,0,0,40,0,65,25,0,40,0,0,
1617velv-io-hclcmp-SF-1-2,SF-1-2,65-30 R,4443,9052,0,6072,7236,0,65,15,0,40,10,0,30,10,0,20,0,0,
1617velv-io-hclcmp-SF-2-2,SF-2-2,85-50 R,4237,4177,0,10038,4144,0,85,35,0,10,40,0,50,20,0,30,0,0,
1617velv-io-hclcmp-F-1,F-1,80-35 R,4443,9052,0,4237,4177,0,80,15,0,65,0,0,35,20,0,15,0,0,
1617velv-io-hclcmp-F-2,F-2,135-60 R,4443,9052,0,4237,4177,0,135,45,0,90,0,0,60,20,0,0,40,0,
