TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-io-jdsq-Q-1,Q-1,30-42 B,10012,10198,0,5340,7880,0,30,10,0,20,0,0,42,10,0,32,0,0,false,false,false,false,
1617velv-io-jdsq-Q-2,Q-2,25-65 B,5094,4144,0,6420,9052,0,25,15,0,10,0,0,65,25,0,20,10,10,false,false,false,false,
1617velv-io-jdsq-Q-3,Q-3,80-70 R,8696,6458,0,5445,6691,0,80,10,0,30,40,0,70,35,0,35,0,0,false,false,false,false,
1617velv-io-jdsq-Q-4,Q-4,25-145 B,6103,3609,0,4443,4237,0,25,5,0,20,0,0,145,95,0,50,0,0,false,false,false,false,
1617velv-io-jdsq-Q-5,Q-5,125-145 B,10435,367,0,9968,7236,0,125,85,0,20,20,0,145,65,0,60,20,0,false,false,false,false,
1617velv-io-jdsq-Q-6,Q-6,95-40 R,10038,7491,0,8743,4177,0,95,60,0,35,0,0,40,20,0,20,0,0,false,false,false,false,
1617velv-io-jdsq-Q-7,Q-7,28-60 B,7880,5094,0,6691,6103,0,28,0,0,28,0,0,60,35,0,25,0,0,false,false,false,false,
1617velv-io-jdsq-Q-8,Q-8,130-165 B,9052,3609,0,10198,10435,0,130,85,0,45,0,0,165,105,0,20,40,0,false,false,false,false,
1617velv-io-jdsq-Q-9,Q-9,25-60 B,8743,4144,0,7236,6458,0,25,15,0,10,0,0,60,15,0,35,10,0,false,false,false,false,
1617velv-io-jdsq-Q-10,Q-10,85-90 B,8696,5340,0,10038,4177,0,85,10,0,35,40,0,90,35,0,15,40,0,false,false,false,false,
1617velv-io-jdsq-Q-11,Q-11,80-126 B,5445,367,0,4443,7491,0,80,55,0,25,0,0,126,80,0,46,0,0,false,false,false,false,
1617velv-io-jdsq-Q-12,Q-12,160-45 R,4237,9968,0,10012,6420,0,160,100,0,40,20,0,45,20,0,25,0,0,false,false,false,false,
1617velv-io-jdsq-Q-13,Q-13,90-140 B,4144,6691,0,5340,10435,0,90,35,0,55,0,0,140,100,0,0,40,0,false,false,false,false,
1617velv-io-jdsq-Q-14,Q-14,85-75 R,7236,10038,0,10198,5094,0,85,20,0,65,0,0,75,5,0,30,0,40,false,false,false,false,
1617velv-io-jdsq-Q-15,Q-15,85-70 R,7880,4237,0,367,8696,0,85,40,0,45,0,0,70,65,0,5,0,0,false,false,false,false,
1617velv-io-jdsq-Q-16,Q-16,80-105 B,4443,4177,0,10012,9052,0,80,25,0,35,20,0,105,60,0,45,0,0,false,false,false,false,
1617velv-io-jdsq-Q-17,Q-17,170-112 R,3609,9968,0,7491,6458,0,170,100,0,50,20,0,112,85,0,27,0,0,false,false,false,false,
1617velv-io-jdsq-Q-18,Q-18,60-65 B,6420,6103,0,5445,8743,0,60,40,0,10,10,0,65,35,0,20,10,0,false,false,false,false,
1617velv-io-jdsq-Q-19,Q-19,90-95 B,6691,4177,0,10198,4237,0,90,40,0,30,20,0,95,55,0,40,0,0,false,false,false,false,
1617velv-io-jdsq-Q-20,Q-20,40-31 R,10038,4443,0,7880,4144,0,40,5,0,35,0,0,31,5,0,26,0,0,false,false,false,false,
1617velv-io-jdsq-Q-21,Q-21,115-45 R,10012,7236,0,3609,5445,0,115,60,0,55,0,0,45,35,0,10,0,0,false,false,false,false,
1617velv-io-jdsq-Q-22,Q-22,10-55 B,6420,5340,0,367,6458,0,10,0,0,10,0,0,55,10,0,45,0,0,false,false,false,false,
1617velv-io-jdsq-Q-23,Q-23,90-122 B,9052,6103,0,7491,9968,0,90,30,0,60,0,0,122,75,0,27,20,0,false,false,false,false,
1617velv-io-jdsq-Q-24,Q-24,190-120 R,10435,8696,0,8743,5094,0,190,115,0,35,40,0,120,75,0,45,0,0,false,false,false,false,
1617velv-io-jdsq-Q-25,Q-25,15-105 B,6420,6458,0,4443,10198,0,15,5,0,0,10,0,105,30,0,65,10,0,false,false,false,false,
1617velv-io-jdsq-Q-26,Q-26,83-30 R,7491,4237,0,4144,5340,0,83,50,0,33,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-io-jdsq-Q-27,Q-27,20-100 B,8743,367,0,3609,6691,0,20,10,0,10,0,0,100,35,0,55,10,0,false,false,false,false,
1617velv-io-jdsq-Q-28,Q-28,95-90 R,5445,5094,0,4177,9968,0,95,45,0,50,0,0,90,60,0,30,0,0,false,false,false,false,
1617velv-io-jdsq-Q-29,Q-29,125-155 B,7236,9052,0,8696,7880,0,125,105,0,20,0,0,155,70,0,45,40,0,false,false,false,false,
1617velv-io-jdsq-Q-30,Q-30,120-35 R,6103,10435,0,10012,10038,0,120,85,0,15,20,0,35,5,0,30,0,0,false,false,false,false,
1617velv-io-jdsq-Q-31,Q-31,90-130 B,8743,4443,0,5340,9968,0,90,45,0,45,0,0,130,45,0,65,20,0,false,false,false,false,
1617velv-io-jdsq-Q-32,Q-32,136-35 R,7491,7236,0,6420,6691,0,136,70,0,66,0,0,35,30,0,5,0,0,false,false,false,false,
1617velv-io-jdsq-Q-33,Q-33,20-70 B,6458,10012,0,367,5094,0,20,5,0,15,0,0,70,20,0,30,20,0,false,false,false,false,
1617velv-io-jdsq-Q-34,Q-34,110-105 R,4144,10198,0,8696,6103,0,110,50,0,60,0,0,105,35,0,10,20,40,false,false,false,false,
1617velv-io-jdsq-Q-35,Q-35,85-90 B,4237,5445,0,9052,10038,0,85,55,0,30,0,0,90,30,0,60,0,0,false,false,false,false,
1617velv-io-jdsq-Q-36,Q-36,62-215 B,4177,7880,0,3609,10435,0,62,35,0,27,0,0,215,105,0,40,20,50,false,false,false,false,
1617velv-io-jdsq-SF-1-1,SF-1-1,210-55 R,10435,7236,10198,4237,4177,5445,210,120,0,50,40,0,55,25,0,30,0,0,false,false,false,false,
1617velv-io-jdsq-SF-2-1,SF-2-1,170-105 R,9968,4443,5340,7491,8696,9052,170,110,0,60,0,0,105,35,0,30,40,0,false,false,false,false,
1617velv-io-jdsq-SF-1-2,SF-1-2,115-95 R,10435,7236,10198,4237,4177,5445,115,85,0,10,20,0,95,55,0,40,0,0,false,false,false,false,
1617velv-io-jdsq-SF-2-2,SF-2-2,65-90 B,9968,4443,5340,7491,8696,9052,65,65,0,0,0,0,90,40,0,50,0,0,false,false,false,false,
1617velv-io-jdsq-SF-2-3,SF-2-3,170-110 R,9968,4443,5340,7491,8696,9052,170,115,0,55,0,0,110,35,0,35,40,0,false,false,false,false,
1617velv-io-jdsq-F-1,F-1,176-130 R,10435,7236,10198,9968,4443,5340,176,120,0,56,0,0,130,65,0,45,20,0,false,false,false,false,
1617velv-io-jdsq-F-2,F-2,145-105 R,10435,7236,10198,9968,4443,5340,145,70,0,75,0,0,105,85,0,20,0,0,false,false,false,false,
