TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-io-jdsq,10438,Ein,1,10,562,215,6,WC,0.83,122.5,108.6,118.5,104.4,86.0,74.3,0.0,0.0,6.6,7.9,24.7,21.4,5.2,4.8,-1.2,-0.8,
1617velv-io-jdsq,9968,CrossFire,2,10,552,170,6,FC,0.83,89.6,82.0,93.0,84.1,48.9,44.6,0.0,0.0,28.2,26.1,13.9,12.0,-1.4,-0.9,-2.0,-1.4,
1617velv-io-jdsq,7236,Recharged Green,3,10,390,145,6,W1,0.83,64.3,62.1,56.5,55.6,31.6,30.7,0.0,0.0,30.7,29.0,1.5,1.9,0.6,0.3,7.3,6.0,
1617velv-io-jdsq,7491,Robot Corps,4,10,387,136,6,SC,0.83,61.5,59.7,62.0,60.1,46.9,43.1,0.0,0.0,15.7,16.6,-1.6,-0.5,0.5,0.3,-1.0,-0.8,
1617velv-io-jdsq,4237,Hordes of Nords,5,10,345,160,6,SC,0.83,56.7,55.9,58.2,57.0,38.4,36.6,0.0,0.0,18.2,18.6,0.1,0.6,0.1,-0.1,-1.6,-1.2,
1617velv-io-jdsq,10038,Illuminati Confirmed,6,10,311,95,6,,0.83,21.6,25.9,15.9,20.8,-3.4,1.5,0.0,0.0,19.6,19.4,5.3,4.8,0.1,0.1,5.6,4.9,
1617velv-io-jdsq,10198,STEM Punk,7,8,365,165,6,W2,0.67,43.8,45.8,31.6,35.3,11.9,15.2,0.0,0.0,22.5,21.5,4.3,4.5,5.1,4.6,7.1,5.8,
1617velv-io-jdsq,4443,Sock Monkeys,8,8,321,145,6,F1,0.67,57.5,54.3,61.3,56.9,25.5,24.4,0.0,0.0,31.0,28.3,2.1,2.2,-1.1,-0.8,-2.7,-2.0,
1617velv-io-jdsq,8696,Trobotix,9,6,535,190,6,S1,0.50,79.0,72.1,73.4,67.2,33.7,30.8,0.0,0.0,14.4,14.4,24.6,21.4,6.4,5.3,-0.7,-0.6,
1617velv-io-jdsq,9052,Recharged Orange,10,6,535,130,6,S2,0.50,71.0,64.4,73.7,66.0,43.5,38.6,0.0,0.0,27.3,25.2,0.6,0.6,-0.5,-0.1,-2.3,-1.6,
1617velv-io-jdsq,3609,Polar Technics,11,6,394,215,6,,0.50,51.1,53.3,42.2,45.9,23.4,25.6,0.0,0.0,18.6,18.8,1.3,2.2,7.8,6.5,1.1,0.7,
1617velv-io-jdsq,7880,The Carnivorous Rabbits,12,6,346,155,6,,0.50,27.1,29.0,22.3,24.3,9.2,10.5,0.0,0.0,20.1,18.9,-0.1,0.8,-2.0,-1.4,6.8,5.9,
1617velv-io-jdsq,5340,Gone Phishing,13,6,335,140,6,F2,0.50,15.6,22.4,19.1,25.0,-4.9,1.2,0.0,0.0,15.9,15.5,6.1,6.8,-1.5,-1.2,-2.1,-1.5,
1617velv-io-jdsq,6458,ShuffleBots,14,6,252,112,6,,0.50,15.3,19.1,17.1,20.2,-2.4,1.5,0.0,0.0,12.1,12.1,6.6,6.0,-1.0,-0.7,-0.9,-0.6,
1617velv-io-jdsq,5445,Trohawks,15,4,430,95,6,S2,0.33,33.0,34.0,33.5,34.4,22.4,21.8,0.0,0.0,11.5,12.4,0.8,0.9,-1.7,-1.2,1.2,0.7,
1617velv-io-jdsq,6691,Cyber Reality,16,4,333,100,6,,0.33,48.7,45.0,54.0,48.5,21.5,20.2,0.0,0.0,25.8,23.0,3.3,3.0,-2.0,-1.4,-3.4,-2.3,
1617velv-io-jdsq,367,Accident Prone,17,4,325,125,6,,0.33,17.0,23.1,18.6,24.3,12.6,15.3,0.0,0.0,10.4,10.9,-3.4,-1.3,-2.6,-2.0,1.0,0.6,
1617velv-io-jdsq,5094,Still Under Development,18,4,318,120,6,,0.33,41.2,39.3,36.0,34.4,13.1,13.1,0.0,0.0,17.5,17.2,3.5,3.0,7.1,5.9,-1.9,-1.1,
1617velv-io-jdsq,6103,Decepticonasauruses,19,4,303,120,6,,0.33,13.4,21.2,9.1,17.2,2.3,7.6,0.0,0.0,8.8,9.8,-1.3,0.4,3.5,3.3,0.8,0.5,
1617velv-io-jdsq,10012,Nevada CSD,20,4,255,115,6,,0.33,21.1,23.5,25.3,26.4,11.8,12.2,0.0,0.0,13.9,14.4,-3.6,-2.4,-1.1,-0.8,-3.1,-2.2,
1617velv-io-jdsq,4177,Finger Tightans,21,2,447,90,6,S1,0.17,30.0,32.9,21.0,25.5,16.0,16.8,0.0,0.0,3.6,6.6,9.2,8.7,1.1,0.7,8.0,6.6,
1617velv-io-jdsq,8743,Raw Bacon,22,2,355,120,6,,0.17,27.2,28.4,29.7,30.1,17.0,17.2,0.0,0.0,10.5,10.9,0.1,0.4,-0.3,-0.2,-2.2,-1.6,
1617velv-io-jdsq,4144,Engineer Imagineer,23,2,266,110,6,,0.17,17.9,20.6,11.4,14.9,8.7,9.1,0.0,0.0,13.1,14.3,-2.9,-2.1,-1.1,-0.9,7.6,6.4,
1617velv-io-jdsq,6420,SabreHOOF Tigers,24,2,190,65,6,,0.17,7.5,11.1,3.6,8.2,8.0,8.5,0.0,0.0,-5.6,-2.0,3.0,2.8,2.1,1.6,1.8,1.1,
