TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-io-mlcmp,5143,Xcentrics,1,9,150,100,5,WC,0.90,59.6,52.3,60.3,52.3,37.4,32.2,0.0,0.0,19.2,17.1,0.3,0.7,2.7,2.0,-3.4,-2.2,
1617velv-io-mlcmp,10107,A League Of Their Own,2,8,240,125,5,F1,0.80,48.5,45.7,25.8,26.7,10.5,11.1,0.0,0.0,22.6,20.0,-5.0,-2.6,20.5,17.0,2.2,1.9,
1617velv-io-mlcmp,6113,WHO,3,8,160,120,5,SC,0.80,27.5,28.1,30.7,30.0,15.9,15.0,0.0,0.0,1.4,3.6,13.9,11.6,-3.7,-2.2,0.5,0.3,
1617velv-io-mlcmp,5913,Drop It Like It's Bot,4,7,255,125,5,FC,0.70,33.0,31.4,22.4,22.2,8.1,8.1,0.0,0.0,9.6,10.6,3.5,2.6,11.7,9.9,-1.2,-0.8,
1617velv-io-mlcmp,8695,Tri Hards,5,6,190,120,5,S1,0.60,38.6,36.5,40.7,37.0,17.9,15.8,0.0,0.0,9.0,9.2,15.1,13.2,-3.4,-1.9,1.3,1.4,
1617velv-io-mlcmp,9925,Delta Robotics,6,6,190,90,5,S1,0.60,39.3,37.3,43.8,40.1,23.3,21.2,0.0,0.0,24.1,21.1,-5.9,-3.8,-2.2,-1.4,-2.3,-1.5,
1617velv-io-mlcmp,6121,Cougarbots,7,6,140,40,5,,0.60,15.1,15.9,7.0,9.4,-3.1,-0.9,0.0,0.0,21.4,18.7,-2.0,-1.2,-1.2,-0.9,9.3,7.3,
1617velv-io-mlcmp,4150,Dark Matter,8,6,130,110,5,SC,0.60,42.1,38.7,33.6,31.7,6.4,6.8,0.0,0.0,18.8,17.4,9.4,7.9,7.5,6.4,1.0,0.4,
1617velv-io-mlcmp,4175,The Toxic Avengers,9,6,130,70,5,,0.60,13.1,15.3,14.0,16.0,-4.3,-1.4,0.0,0.0,12.9,12.6,2.7,2.9,1.8,0.9,-2.6,-1.7,
1617velv-io-mlcmp,7130,Royal Robots,10,5,225,105,5,W1,0.50,54.1,47.8,41.5,37.4,31.7,27.4,0.0,0.0,16.1,15.3,5.8,4.7,0.5,0.2,12.1,10.2,
1617velv-io-mlcmp,4324,Lost In Time,11,5,195,86,5,,0.50,27.1,27.1,34.7,32.0,19.3,17.6,0.0,0.0,9.4,10.1,3.2,2.3,-4.8,-3.0,-2.8,-1.9,
1617velv-io-mlcmp,9988,Taft Robotics,12,5,120,60,5,,0.50,4.8,9.4,10.7,12.6,-2.1,0.2,0.0,0.0,7.4,7.9,1.6,2.2,-2.1,-1.0,-3.8,-2.3,
1617velv-io-mlcmp,7189,McKinley 5,13,4,185,105,5,,0.40,25.3,25.9,11.1,13.8,8.2,9.0,0.0,0.0,16.5,15.5,1.5,1.6,-0.9,-0.4,15.1,12.4,
1617velv-io-mlcmp,10110,Pixel Knights,14,4,140,100,5,,0.40,18.5,20.5,18.9,20.1,6.0,7.4,0.0,0.0,9.6,9.7,1.6,1.8,1.3,1.4,-1.6,-1.2,
1617velv-io-mlcmp,6532,RoboBears,15,4,85,90,5,,0.40,6.7,9.8,3.0,6.2,1.2,2.8,0.0,0.0,1.8,3.7,2.0,2.1,1.7,1.0,2.0,2.6,
1617velv-io-mlcmp,7110,The Element of Surprise,16,2,170,80,5,,0.20,10.8,13.3,7.3,10.8,7.0,8.5,0.0,0.0,-0.6,1.2,3.4,2.9,0.9,0.6,2.6,1.9,
1617velv-io-mlcmp,11418,CCA Middle,17,2,135,30,5,,0.20,10.2,12.1,13.3,13.9,3.0,3.2,0.0,0.0,4.7,5.9,4.1,3.7,-1.5,-1.0,-1.7,-1.0,
1617velv-io-mlcmp,6499,Warrior Bots,18,2,105,40,5,,0.20,7.3,9.2,11.4,11.6,3.9,3.9,0.0,0.0,7.3,7.7,-2.7,-1.8,-1.2,-0.7,-3.0,-1.7,
1617velv-io-mlcmp,9708,Sparklebots,19,1,125,40,5,,0.10,0.3,4.6,-3.5,1.7,2.3,4.2,0.0,0.0,-1.0,0.7,-1.2,-0.6,0.2,0.1,3.6,2.7,
