TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-io-wisq,9978,Avengers Tech,1,10,332,170,5,WC,1.00,69.4,59.7,69.4,59.7,36.3,30.8,0.0,0.0,33.9,29.1,-0.9,-0.3,0.0,0.0,0.0,0.0,
1617velv-io-wisq,10121,The DeTechTives,2,10,220,145,5,FC,1.00,51.2,50.3,51.2,50.3,21.9,21.2,0.0,0.0,7.9,10.6,21.4,18.4,0.0,0.0,0.0,0.0,
1617velv-io-wisq,5975,CYBOTS,3,8,318,170,5,W1,0.80,66.5,61.6,66.5,61.6,59.9,51.6,0.0,0.0,10.6,12.4,-4.1,-2.4,0.0,0.0,0.0,0.0,
1617velv-io-wisq,11316,Weapons of Mass Construction,4,8,305,145,5,F1,0.80,94.3,80.7,94.3,80.7,36.0,30.1,0.0,0.0,48.1,41.7,10.2,8.8,0.0,0.0,0.0,0.0,
1617velv-io-wisq,9967,Geared Up,5,8,250,140,5,SC,0.80,52.0,50.9,52.0,50.9,28.1,26.2,0.0,0.0,29.9,28.2,-6.1,-3.6,0.0,0.0,0.0,0.0,
1617velv-io-wisq,10256,Robotic Wolves Green,6,8,95,100,5,SC,0.80,20.2,20.7,20.2,20.7,1.7,4.0,0.0,0.0,13.1,12.1,5.4,4.5,0.0,0.0,0.0,0.0,
1617velv-io-wisq,9955,Synthesis,7,6,271,130,5,S1,0.60,81.6,69.6,81.6,69.6,38.1,33.4,0.0,0.0,31.1,26.3,12.4,9.9,0.0,0.0,0.0,0.0,
1617velv-io-wisq,8807,Molten Sprockets,8,6,228,73,5,F2,0.60,30.1,28.7,30.1,28.7,16.8,16.4,0.0,0.0,7.4,7.5,5.9,4.7,0.0,0.0,0.0,0.0,
1617velv-io-wisq,7229,BZ Club,9,6,177,115,5,W2,0.60,33.6,32.5,33.6,32.5,27.5,23.7,0.0,0.0,6.8,8.7,-0.7,0.0,0.0,0.0,0.0,0.0,
1617velv-io-wisq,7618,The Pi-neapples,10,6,143,115,5,S1,0.60,46.7,39.6,46.7,39.6,24.5,19.8,0.0,0.0,20.3,17.9,1.8,1.9,0.0,0.0,0.0,0.0,
1617velv-io-wisq,6534,MECanism,11,6,100,95,5,S2,0.60,-3.3,7.0,-3.3,7.0,-10.4,-4.9,0.0,0.0,10.1,12.9,-2.9,-1.1,0.0,0.0,0.0,0.0,
1617velv-io-wisq,6546,RoboCats,12,4,186,130,5,S2,0.40,23.2,26.6,23.2,26.6,-6.6,-2.2,0.0,0.0,29.9,27.6,-0.1,1.1,0.0,0.0,0.0,0.0,
1617velv-io-wisq,8801,Sioux Center,13,4,162,130,5,,0.40,18.7,22.2,18.7,22.2,1.8,3.9,0.0,0.0,12.1,13.6,4.7,4.6,0.0,0.0,0.0,0.0,
1617velv-io-wisq,8649,Wolves,14,4,162,120,5,,0.40,15.3,21.0,15.3,21.0,-3.1,0.9,0.0,0.0,11.6,14.4,6.7,5.6,0.0,0.0,0.0,0.0,
1617velv-io-wisq,9974,T.H.O.R.,15,4,145,90,5,,0.40,10.0,13.2,10.0,13.2,3.7,4.2,0.0,0.0,9.1,9.9,-2.8,-1.0,0.0,0.0,0.0,0.0,
1617velv-io-wisq,10214,Lightning Legends,16,4,140,65,5,,0.40,18.5,21.8,18.5,21.8,-3.4,0.6,0.0,0.0,13.5,13.4,8.4,7.7,0.0,0.0,0.0,0.0,
1617velv-io-wisq,3634,KISS,17,4,132,75,5,,0.40,-8.8,0.7,-8.8,0.7,-18.2,-9.9,0.0,0.0,8.2,9.9,1.3,0.6,0.0,0.0,0.0,0.0,
1617velv-io-wisq,7823,Roadrunner Robotics,18,4,125,80,5,,0.40,15.2,15.3,15.2,15.3,8.0,7.9,0.0,0.0,9.8,8.9,-2.5,-1.7,0.0,0.0,0.0,0.0,
1617velv-io-wisq,6624,Midgets,19,4,105,75,5,,0.40,0.1,5.2,0.1,5.2,-4.0,0.2,0.0,0.0,0.8,2.7,3.3,2.2,0.0,0.0,0.0,0.0,
1617velv-io-wisq,7260,Polaris Tech,20,2,266,100,5,,0.20,20.2,24.5,20.2,24.5,12.4,14.0,0.0,0.0,5.5,7.4,2.3,2.9,0.0,0.0,0.0,0.0,
1617velv-io-wisq,7332,DodgerBOTS,21,2,196,90,5,,0.20,32.4,29.5,32.4,29.5,10.4,9.2,0.0,0.0,7.4,8.4,14.5,11.8,0.0,0.0,0.0,0.0,
1617velv-io-wisq,11222,TROJAN TERABYTES,22,2,172,55,5,,0.20,24.6,22.9,24.6,22.9,7.0,6.5,0.0,0.0,17.7,16.3,-0.1,-0.0,0.0,0.0,0.0,0.0,
1617velv-io-wisq,12233,Rails Robotic Legion,23,0,152,65,5,,0.00,0.1,6.7,0.1,6.7,5.8,7.1,0.0,0.0,-4.0,-0.1,-1.8,-0.4,0.0,0.0,0.0,0.0,
1617velv-io-wisq,6661,Starmont Sundevils,24,0,126,40,5,,0.00,11.4,11.8,11.4,11.8,6.6,5.0,0.0,0.0,5.1,5.4,-0.4,1.3,0.0,0.0,0.0,0.0,
