TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-ky-cmp-Q-1,1,1,1,9540,11225,0,10464,4217,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,0,0,0,1,4,0,3,0,0,0,0,0,0,FALSE,1,0,0,0,0,4,0,0,0,0,0,0,
1617velv-ky-cmp-Q-2,1,1,2,6133,8065,0,8411,7136,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,0,2,0,3,0,0,0,0,0,TRUE,0,0,0,0,4,2,0,3,0,0,0,0,
1617velv-ky-cmp-Q-3,1,1,3,8913,3854,0,7193,4537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,0,2,1,1,0,0,0,0,0,0,FALSE,0,0,0,0,1,2,0,1,0,0,0,0,
1617velv-ky-cmp-Q-4,1,1,4,9912,3537,0,4444,11985,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,0,0,0,4,0,0,0,0,0,0,0,TRUE,1,0,0,1,4,1,1,3,0,0,0,0,
1617velv-ky-cmp-Q-5,1,1,5,8731,11081,0,5029,8417,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,4,2,0,0,0,0,0,0,1,FALSE,2,0,0,0,0,3,0,0,0,0,0,0,
1617velv-ky-cmp-Q-6,1,1,6,9846,3537,0,8065,4537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,0,1,2,11,0,3,0,0,0,0,0,FALSE,1,0,0,0,2,1,0,1,0,0,0,0,
1617velv-ky-cmp-Q-7,1,1,7,3854,4444,0,11225,5029,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,1,0,1,1,0,0,0,0,0,0,0,TRUE,1,0,0,0,3,0,0,1,0,0,0,0,
1617velv-ky-cmp-Q-8,1,1,8,9540,7136,0,8731,9912,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,4,TRUE,0,0,0,0,4,0,1,2,0,0,0,0,0,TRUE,1,0,0,1,0,3,0,3,0,0,0,0,
1617velv-ky-cmp-Q-9,1,1,9,6133,8417,0,7193,11985,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,1,1,5,0,0,0,0,0,0,0,TRUE,0,0,0,0,3,0,0,0,0,0,0,0,
1617velv-ky-cmp-Q-10,1,1,10,9846,10464,0,8913,8411,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,5,0,1,0,0,0,0,0,FALSE,0,0,0,0,4,3,0,0,0,0,0,0,
1617velv-ky-cmp-Q-11,1,1,11,4217,8065,0,11081,9912,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,0,1,0,0,0,0,0,0,0,TRUE,0,0,0,1,4,2,0,0,0,0,0,0,
1617velv-ky-cmp-Q-12,1,1,12,3854,4537,0,8411,9540,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,0,FALSE,1,0,0,0,3,2,0,2,0,0,0,0,0,FALSE,0,0,0,0,1,3,1,0,0,0,0,0,
1617velv-ky-cmp-Q-13,1,1,13,11081,7193,0,11225,3537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,TRUE,1,0,1,0,2,0,0,0,0,0,0,0,0,FALSE,2,0,0,0,2,3,0,0,0,0,0,0,
1617velv-ky-cmp-Q-14,1,1,14,5029,11985,0,9846,7136,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,2,0,0,0,0,0,0,1,TRUE,0,0,0,0,2,6,0,3,0,0,0,0,
1617velv-ky-cmp-Q-15,1,1,15,4444,4217,0,8913,8417,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,3,0,0,0,1,3,0,2,0,0,0,0,1,FALSE,0,0,0,0,3,3,1,0,0,0,0,0,
1617velv-ky-cmp-Q-16,1,1,16,8731,10464,0,6133,3537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,0,3,1,0,0,0,0,0,0,1,TRUE,2,0,0,1,1,2,0,3,0,0,0,0,
1617velv-ky-cmp-Q-17,1,1,17,8411,7193,0,4217,7136,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,0,0,1,0,4,2,0,0,0,0,0,0,2,TRUE,0,0,0,0,0,3,0,0,0,0,0,0,
1617velv-ky-cmp-Q-18,1,1,18,11985,11225,0,8731,8913,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,0,0,1,0,3,1,0,0,0,0,0,0,0,TRUE,0,0,0,0,1,0,1,1,0,0,0,0,
1617velv-ky-cmp-Q-19,1,1,19,9846,9540,0,4444,11081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,0,0,0,0,0,0,1,1,FALSE,1,0,0,0,2,0,1,2,0,0,0,0,0,TRUE,0,0,0,0,2,1,0,0,0,0,0,0,
1617velv-ky-cmp-Q-20,1,1,20,5029,9912,0,6133,4537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,0,4,0,2,0,0,0,0,0,FALSE,1,0,0,0,4,3,0,1,0,0,0,0,
1617velv-ky-cmp-Q-21,1,1,21,10464,3854,0,8065,8417,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,0,1,0,0,0,0,0,0,2,FALSE,0,0,0,0,4,1,0,0,0,0,0,0,
1617velv-ky-cmp-Q-22,1,1,22,5029,8913,0,9540,3537,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,0,1,3,0,0,0,0,1,FALSE,2,0,0,0,2,4,0,3,0,0,0,0,
1617velv-ky-cmp-Q-23,1,1,23,6133,4217,0,3854,9846,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,6,0,3,0,0,0,0,0,TRUE,0,0,1,0,3,3,0,1,0,0,0,0,
1617velv-ky-cmp-Q-24,1,1,24,8417,8411,0,9912,11225,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,1,0,1,1,0,0,0,0,0,0,0,TRUE,0,0,0,0,2,0,0,1,0,0,0,0,
1617velv-ky-cmp-Q-25,1,1,25,4537,7136,0,10464,11081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,0,0,6,0,3,0,0,0,0,1,TRUE,0,0,0,0,4,1,0,0,0,0,0,0,
1617velv-ky-cmp-Q-26,1,1,26,4444,8731,0,8065,7193,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-ky-cmp-Q-27,1,1,27,11985,8411,0,3854,11081,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,TRUE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,1,0,2,7,0,0,0,0,0,0,0,TRUE,0,0,1,3,2,2,0,2,0,0,0,0,
1617velv-ky-cmp-SF-1-1,1,3,11,3537,7136,9846,8417,5029,4444,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,2,0,1,0,0,0,0,2,FALSE,2,0,0,0,0,4,0,3,0,0,0,0,
1617velv-ky-cmp-SF-1-2,1,3,12,3537,7136,9846,8417,5029,4444,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,4,6,0,3,0,0,0,0,0,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,
1617velv-ky-cmp-SF-1-3,1,3,13,3537,7136,9846,8417,5029,4444,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,2,9,0,3,0,0,0,0,1,FALSE,1,0,0,0,1,2,0,3,0,0,0,0,
1617velv-ky-cmp-SF-2-1,1,3,21,8411,6133,9912,9540,11225,3854,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,2,5,0,1,0,0,0,0,1,TRUE,1,0,0,1,2,3,1,0,0,0,0,0,
1617velv-ky-cmp-SF-2-2,1,3,22,8411,6133,9912,9540,11225,3854,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,0,1,4,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,0,1,0,0,0,0,0,
1617velv-ky-cmp-SF-2-3,1,3,23,8411,6133,9912,9540,11225,3854,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,4,0,2,0,0,0,1,0,TRUE,1,0,0,1,2,0,1,0,0,1,0,0,
1617velv-ky-cmp-F-1,1,4,1,3537,7136,9846,8411,6133,9912,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,4,7,0,3,0,0,0,0,1,FALSE,2,1,0,0,0,1,0,1,0,0,0,0,
1617velv-ky-cmp-F-2,1,4,2,3537,7136,9846,8411,6133,9912,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,TRUE,2,0,1,0,3,10,0,2,0,0,0,0,1,FALSE,2,0,0,0,1,3,0,0,0,0,0,0,
