TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-ma-an-Q-1,Q-1,5-85 B,10560,11251,0,8379,7297,0,5,5,0,0,0,0,85,30,0,55,0,0,false,false,false,false,
1617velv-ma-an-Q-2,Q-2,40-55 B,7245,11473,0,8470,4029,0,40,30,0,10,0,0,55,15,0,40,0,0,false,false,false,false,
1617velv-ma-an-Q-3,Q-3,90-30 R,9480,9797,0,839,5436,0,90,0,0,20,0,70,30,0,0,30,0,0,false,false,false,false,
1617velv-ma-an-Q-4,Q-4,85-40 R,8644,3085,0,7571,1,0,85,30,0,55,0,0,40,0,0,30,10,0,false,false,false,false,
1617velv-ma-an-Q-5,Q-5,0-85 B,5436,10560,0,3737,4029,0,0,0,0,0,0,0,85,5,0,80,0,0,false,false,false,false,
1617velv-ma-an-Q-6,Q-6,20-110 B,7571,3085,0,9797,11473,0,20,10,0,10,0,0,110,45,0,65,0,0,false,false,false,false,
1617velv-ma-an-Q-7,Q-7,65-185 B,7297,7245,0,8644,9480,0,65,30,0,35,0,0,185,95,0,90,0,0,false,false,false,false,
1617velv-ma-an-Q-8,Q-8,50-65 B,8470,8379,0,839,1,0,50,0,0,50,0,0,65,0,0,5,20,40,false,false,false,false,
1617velv-ma-an-Q-9,Q-9,35-64 B,11251,11473,0,3737,9480,0,35,35,0,0,0,0,64,15,0,49,0,0,false,false,false,false,
1617velv-ma-an-Q-10,Q-10,75-0 R,9797,839,0,7297,10560,0,75,30,0,45,0,0,0,0,0,0,0,0,true,false,true,false,
1617velv-ma-an-Q-11,Q-11,255-1 R,1,4029,0,7571,11251,0,255,15,0,80,0,160,1,0,0,1,0,0,true,false,false,false,
1617velv-ma-an-Q-12,Q-12,105-140 B,3737,8379,0,8644,8470,0,105,50,0,55,0,0,140,75,0,65,0,0,false,false,false,false,
1617velv-ma-an-Q-13,Q-13,35-55 B,5436,7245,0,3085,11251,0,35,35,0,0,0,0,55,15,0,40,0,0,false,false,false,false,
1617velv-ma-an-Q-14,Q-14,115-80 R,4029,9797,0,8379,8644,0,115,40,0,75,0,0,80,35,0,45,0,0,false,false,false,false,
1617velv-ma-an-Q-15,Q-15,60-50 R,10560,9480,0,8470,3085,0,60,0,0,20,0,40,50,20,0,30,0,0,false,false,false,false,
1617velv-ma-an-Q-16,Q-16,35-59 B,7571,839,0,7245,3737,0,35,15,0,0,20,0,59,15,0,44,0,0,false,false,false,false,
1617velv-ma-an-Q-17,Q-17,1-40 B,1,7297,0,11473,5436,0,1,0,0,1,0,0,40,0,0,40,0,0,false,false,false,false,
1617velv-ma-an-Q-18,Q-18,145-51 R,9797,8644,0,8470,11251,0,145,55,0,90,0,0,51,40,0,11,0,0,false,false,false,false,
1617velv-ma-an-Q-19,Q-19,20-50 B,1,11473,0,10560,7245,0,20,0,0,20,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-ma-an-Q-20,Q-20,110-0 R,3085,4029,0,7297,839,0,110,40,0,70,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-ma-an-Q-21,Q-21,65-95 B,8379,7571,0,5436,9480,0,65,30,0,15,20,0,95,5,0,40,0,50,false,false,false,false,
1617velv-ma-an-Q-22,Q-22,3-80 B,3737,7297,0,9797,1,0,3,0,0,3,0,0,80,30,0,50,0,0,false,false,false,false,
1617velv-ma-an-SF-1-1,SF-1-1,75-50 R,9480,9797,0,3085,5436,0,75,30,0,45,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-ma-an-SF-1-2,SF-1-2,90-75 R,9480,9797,0,3085,5436,0,90,65,0,25,0,0,75,25,0,50,0,0,false,false,false,false,
1617velv-ma-an-SF-2-1,SF-2-1,180-123 R,4029,8644,0,3737,8379,0,180,95,0,85,0,0,123,60,0,63,0,0,false,false,false,false,
1617velv-ma-an-SF-2-2,SF-2-2,135-55 R,4029,8644,0,3737,8379,0,135,30,0,85,20,0,55,20,0,35,0,0,false,false,false,false,
1617velv-ma-an-F-1,F-1,45-160 B,9480,9797,0,4029,8644,0,45,15,0,30,0,0,160,50,0,110,0,0,false,false,false,false,
1617velv-ma-an-F-2,F-2,60-110 B,9480,9797,0,4029,8644,0,60,30,0,30,0,0,110,15,0,95,0,0,false,false,false,false,
