TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-ma-cmp,4029,2 Bits and a Byte,1,10,430,185,5,FC,1.00,75.5,76.4,77.7,77.5,43.0,41.9,0.0,0.0,31.1,32.1,1.3,2.2,0.2,0.1,-2.4,-1.4,
1617velv-ma-cmp,11100,We are Robo,2,8,615,190,5,WC,0.80,108.2,97.0,100.3,90.5,48.8,44.0,0.0,0.0,32.3,30.4,27.4,22.6,-0.3,-0.1,8.2,6.5,
1617velv-ma-cmp,6055,GearTicks,3,8,610,230,5,F1,0.80,159.6,137.4,159.0,137.0,72.0,62.0,0.0,0.0,85.2,73.1,2.4,2.1,0.0,0.0,0.6,0.3,
1617velv-ma-cmp,6040,Canton Robodogs,4,8,465,155,5,SC,0.80,58.2,58.5,59.0,59.1,19.9,21.7,0.0,0.0,33.7,31.9,6.1,5.9,-1.5,-1.0,0.7,0.4,
1617velv-ma-cmp,133,Arrows,5,8,400,225,5,SC,0.80,57.2,59.6,57.3,59.5,44.9,42.3,0.0,0.0,12.1,16.4,-0.1,0.6,0.3,0.1,-0.4,-0.2,
1617velv-ma-cmp,8379,The Parity Bits,6,8,340,175,5,W2,0.80,53.8,52.3,53.1,51.8,30.0,28.7,0.0,0.0,24.2,22.7,-0.4,0.8,-0.1,-0.0,0.8,0.4,
1617velv-ma-cmp,5060,Milton Static,7,8,271,150,5,,0.80,62.9,59.0,67.2,61.5,42.3,37.7,0.0,0.0,15.5,16.1,7.4,6.4,-2.2,-1.3,-2.1,-1.3,
1617velv-ma-cmp,7571,Alumineers,8,7,285,165,5,,0.70,45.5,45.2,38.0,38.9,14.0,15.5,0.0,0.0,11.3,13.0,12.4,10.3,7.8,6.3,-0.4,-0.2,
1617velv-ma-cmp,5897,HackHers,9,7,271,101,5,,0.70,28.7,29.7,26.3,28.4,19.4,18.5,0.0,0.0,10.2,11.4,-1.8,-0.7,0.8,0.4,1.6,0.8,
1617velv-ma-cmp,8681,Loose Screws Robotics,10,6,480,155,5,S1,0.60,78.1,74.5,78.5,74.8,39.1,36.7,0.0,0.0,41.3,38.8,-3.4,-1.5,1.0,0.5,-1.4,-0.9,
1617velv-ma-cmp,4319,Halestorm,11,6,465,165,5,S1,0.60,86.0,77.7,87.6,78.6,49.3,43.3,0.0,0.0,18.6,18.4,19.5,16.9,-1.4,-0.9,-0.2,-0.1,
1617velv-ma-cmp,4096,"T-10 (""T minus Ten"")",12,6,440,190,5,,0.60,61.3,59.1,64.8,61.3,28.2,27.7,0.0,0.0,29.9,27.8,3.7,3.7,-0.4,-0.1,-3.2,-2.1,
1617velv-ma-cmp,3737,Hank's Tanks,13,6,330,195,5,S2,0.60,78.4,74.6,70.0,67.9,24.7,23.8,0.0,0.0,38.4,36.4,7.6,8.0,7.7,6.3,0.6,0.3,
1617velv-ma-cmp,8227,Enginuity,14,6,270,80,5,,0.60,38.7,36.3,40.2,37.2,14.5,14.6,0.0,0.0,11.7,11.9,12.4,9.6,0.1,0.1,-1.7,-1.1,
1617velv-ma-cmp,2875,MightyBots,15,6,250,230,5,,0.60,32.2,35.2,31.7,34.8,21.2,18.9,0.0,0.0,12.4,16.6,-1.5,-0.4,0.1,0.1,0.4,0.2,
1617velv-ma-cmp,4466,Robots and Brain Bots Inc.,16,6,240,95,5,,0.60,35.4,35.1,36.5,35.5,20.5,20.4,0.0,0.0,8.3,8.7,7.2,6.2,-0.5,-0.2,-0.5,-0.2,
1617velv-ma-cmp,5273,ARC Thunder,17,6,230,200,5,,0.60,31.9,36.2,31.0,35.6,0.2,6.6,0.0,0.0,31.6,29.6,-0.7,-0.5,0.9,0.4,0.1,0.1,
1617velv-ma-cmp,4410,ARC Lightning,18,5,260,90,5,,0.50,-2.6,8.7,-1.4,9.5,-0.5,2.4,0.0,0.0,12.3,15.3,-12.9,-8.1,-1.6,-1.0,0.4,0.2,
1617velv-ma-cmp,8644,The Brainstormers,19,4,430,225,5,W1,0.40,123.5,107.8,125.5,108.9,36.5,33.8,0.0,0.0,64.0,54.6,24.6,20.3,-1.6,-1.1,-0.4,-0.2,
1617velv-ma-cmp,3565,Ghost Robotics 1,20,4,341,225,5,,0.40,51.6,52.5,50.3,51.8,22.6,23.5,0.0,0.0,15.3,17.5,12.3,10.8,1.4,0.7,-0.2,-0.1,
1617velv-ma-cmp,8148,Aleph Bots,21,4,325,130,5,,0.40,25.2,31.0,16.6,24.2,24.3,24.6,0.0,0.0,2.8,6.1,-2.5,-0.0,0.5,0.2,8.1,6.5,
1617velv-ma-cmp,10331,Hailstorm,22,4,236,100,5,,0.40,28.8,27.9,28.0,27.4,-0.2,4.0,0.0,0.0,26.0,22.2,2.6,1.4,0.3,0.1,0.5,0.3,
1617velv-ma-cmp,3615,Blue Screen,23,3,245,150,5,,0.30,13.7,18.9,16.1,20.2,-3.8,0.9,0.0,0.0,13.4,13.8,4.1,4.1,-0.0,-0.0,-2.3,-1.4,
