TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-ma-gg-Q-1,1,1,1,7297,10767,0,8532,3737,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,4,0,0,0,0,0,0,
1617velv-ma-gg-Q-2,1,1,2,3085,11320,0,5897,6770,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,3,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,1,0,0,0,0,0,0,
1617velv-ma-gg-Q-3,1,1,3,9797,4408,0,4096,5436,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,1,0,0,3,0,1,0,1,0,0,0,FALSE,2,0,0,0,3,2,0,0,0,0,0,1,
1617velv-ma-gg-Q-4,1,1,4,10692,10472,0,5397,5276,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,2,0,2,0,0,0,0,0,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-ma-gg-Q-5,1,1,5,9006,4319,0,12195,7245,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-ma-gg-Q-6,1,1,6,8245,10692,0,7297,4408,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,4,0,1,0,0,0,0,0,0,TRUE,0,0,0,1,0,0,0,0,0,0,0,0,
1617velv-ma-gg-Q-7,1,1,7,9797,3737,0,4319,11320,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,3,4,0,2,0,0,0,0,0,TRUE,1,0,3,0,1,2,0,1,0,0,0,0,
1617velv-ma-gg-Q-8,1,1,8,4096,5897,0,12195,8245,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,2,FALSE,2,0,0,1,3,2,0,0,0,0,0,0,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-ma-gg-Q-9,1,1,9,8532,5436,0,5276,9006,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,0,TRUE,2,0,1,0,1,0,0,0,0,0,0,0,
1617velv-ma-gg-Q-10,1,1,10,3085,10767,0,10472,7245,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,1,3,2,0,0,0,0,0,0,1,TRUE,0,0,0,1,1,1,2,0,0,0,0,0,
