TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-md-ho,8521,Hard-Hitting Hardware Hooligans,1,10,215,160,5,WC,1.00,99.1,82.6,
1617velv-md-ho,4451,RoboFoxes,2,10,142,115,5,FC,1.00,55.6,53.0,
1617velv-md-ho,8221,CUBIX^3,3,8,297,175,5,W1,0.80,100.3,87.1,
1617velv-md-ho,4141,Spears & Gears,4,8,237,120,5,SC,0.80,27.5,30.8,
1617velv-md-ho,11500,St. Mark Robotics,5,8,110,105,5,SC,0.80,44.5,39.9,
1617velv-md-ho,6328,TigerBots,6,6,295,175,5,S1,0.60,41.8,44.7,
1617velv-md-ho,10719,Termigators,7,6,252,160,5,W2,0.60,50.2,47.4,
1617velv-md-ho,9866,VIRUS,8,6,210,90,5,S2,0.60,27.4,26.2,
1617velv-md-ho,7393,electron Volts,9,6,200,150,5,F1,0.60,82.7,69.4,
1617velv-md-ho,8121,RMageddon,10,6,180,95,5,S1,0.60,21.4,25.1,
1617velv-md-ho,11215,Electrobots,11,6,174,70,5,,0.60,18.8,18.7,
1617velv-md-ho,11896,Paul Charter School,12,6,166,125,5,,0.60,25.4,26.0,
1617velv-md-ho,10216,SpiderByte,13,6,166,70,5,,0.60,27.8,27.0,
1617velv-md-ho,5178,Mech Hawks,14,6,165,95,5,,0.60,30.2,30.3,
1617velv-md-ho,6484,Robo-Barons,15,6,155,150,5,,0.60,33.7,34.7,
1617velv-md-ho,5014,The Rooks,16,6,127,50,5,F2,0.60,12.0,13.7,
1617velv-md-ho,9450,Falcons FIRST,17,5,155,59,5,,0.50,20.0,19.7,
1617velv-md-ho,7265,Gear Grinders,18,5,91,55,5,,0.50,10.8,13.6,
1617velv-md-ho,9957,Robocraft,19,4,190,95,5,,0.40,46.3,39.7,
1617velv-md-ho,9770,Robots Inc.,20,4,190,90,5,,0.40,7.6,14.9,
1617velv-md-ho,7266,Dragonettes,21,4,186,100,5,S2,0.40,31.4,29.9,
1617velv-md-ho,9530,Gunston Herons,22,4,168,160,5,,0.40,32.6,33.2,
1617velv-md-ho,11389,BLT (Build Learn Teach),23,4,160,125,5,,0.40,28.5,29.5,
1617velv-md-ho,3886,Quake,24,4,136,60,5,,0.40,15.3,16.5,
1617velv-md-ho,607,Dragon Slayers,25,4,130,55,5,,0.40,21.8,20.1,
1617velv-md-ho,10025,HV4HR,26,4,127,95,5,,0.40,13.0,15.9,
1617velv-md-ho,11553,Absolute Control Jr.,27,4,125,160,5,,0.40,21.2,25.2,
1617velv-md-ho,12161,Golden Gators,28,4,95,85,5,,0.40,-14.9,-1.3,
1617velv-md-ho,12342,Pallotti Robotics Team,29,3,180,85,5,,0.30,13.9,16.5,
1617velv-md-ho,10078,EngiNerds,30,2,210,60,5,,0.20,27.8,25.7,
1617velv-md-ho,8993,Wing Makers - Circle of Wizards,31,2,135,65,5,,0.20,11.8,11.5,
1617velv-md-ho,5709,Gators,32,2,120,107,5,,0.20,1.7,7.7,
1617velv-md-ho,3583,Power Hawks,33,1,145,50,5,,0.10,1.4,5.2,
1617velv-md-ho,3796,Talons,34,0,230,100,5,,0.00,2.4,10.5,
