TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-md-pg-Q-1,1,1,1,9445,4452,0,10833,10001,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,2,0,0,0,2,0,1,0,0,TRUE,1,0,0,1,2,0,0,0,1,0,2,0,
1617velv-md-pg-Q-2,1,1,2,9667,11265,0,3583,5233,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,3,12,0,0,0,0,0,0,
1617velv-md-pg-Q-3,1,1,3,2843,10078,0,5178,10382,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,3,1,2,2,1,0,1,0,1,0,0,TRUE,0,0,0,3,2,0,0,2,1,0,1,0,
1617velv-md-pg-Q-4,1,1,4,10452,6284,0,3796,9866,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,1,0,0,0,0,0,0,0,TRUE,1,0,0,0,3,2,0,0,0,0,0,0,
1617velv-md-pg-Q-5,1,1,5,7265,3113,0,9957,10778,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,2,1,0,0,0,0,1,1,1,TRUE,0,0,0,0,2,0,0,0,1,1,0,0,
1617velv-md-pg-Q-6,1,1,6,8879,12134,0,8479,7352,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,1,0,0,0,0,0,0,0,TRUE,2,0,0,0,1,5,0,0,0,0,0,0,
1617velv-md-pg-Q-7,1,1,7,9450,12063,0,8121,607,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,0,FALSE,0,0,0,0,3,3,0,1,0,0,0,0,
1617velv-md-pg-Q-8,1,1,8,11533,11525,0,10338,10047,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,3,0,0,0,0,0,0,0,2,FALSE,0,0,0,0,1,1,0,1,0,0,0,0,
1617velv-md-pg-Q-9,1,1,9,12118,10382,0,10001,9866,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,1,0,0,0,0,2,0,1,0,0,1,0,1,FALSE,3,0,1,0,4,5,0,0,1,0,0,0,
1617velv-md-pg-Q-10,1,1,10,9667,9957,0,6284,10078,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,0,0,0,0,4,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,0,2,0,2,0,0,0,0,
1617velv-md-pg-Q-11,1,1,11,10452,7265,0,4452,5178,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,3,0,0,0,0,0,0,0,TRUE,0,0,1,0,2,1,0,3,0,0,0,0,
1617velv-md-pg-Q-12,1,1,12,3796,10338,0,8479,3583,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,1,TRUE,2,0,0,0,2,5,0,0,0,0,0,0,
1617velv-md-pg-Q-13,1,1,13,5233,8121,0,12134,9445,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,0,7,0,0,0,0,0,0,1,TRUE,0,0,0,0,4,3,0,0,0,0,0,0,
1617velv-md-pg-Q-14,1,1,14,11533,12063,0,11265,2843,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,1,1,0,1,0,1,0,0,0,TRUE,0,1,1,3,3,0,3,0,0,0,0,1,
1617velv-md-pg-Q-15,1,1,15,11525,9450,0,12118,7352,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,3,0,3,1,0,0,0,0,0,0,0,TRUE,0,0,1,0,1,3,0,0,0,0,0,0,
1617velv-md-pg-Q-16,1,1,16,607,8879,0,10833,3113,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,1,1,2,0,1,1,0,0,0,0,TRUE,2,0,0,1,3,3,0,0,0,0,1,0,
1617velv-md-pg-Q-17,1,1,17,10778,6284,0,10047,8121,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,2,0,0,0,0,0,0,0,0,FALSE,0,0,0,0,1,1,0,0,0,0,0,0,
1617velv-md-pg-Q-18,1,1,18,11533,5178,0,9866,9957,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,0,TRUE,2,0,0,1,0,0,0,2,0,0,0,0,0,FALSE,0,0,0,0,4,3,0,0,0,0,0,0,
1617velv-md-pg-Q-19,1,1,19,4452,10338,0,12134,12063,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,0,FALSE,1,0,0,0,1,0,0,0,0,0,0,0,0,TRUE,2,0,1,0,3,2,0,0,0,0,0,0,
1617velv-md-pg-Q-20,1,1,20,7265,9450,0,8879,9445,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,1,0,0,1,0,0,0,1,FALSE,2,0,0,0,4,2,0,0,0,0,1,0,
1617velv-md-pg-Q-21,1,1,21,7352,10047,0,11265,607,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,2,0,0,0,0,0,0,0,TRUE,0,0,1,1,3,0,0,3,0,0,0,0,
1617velv-md-pg-Q-22,1,1,22,3583,10078,0,3113,10001,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,3,3,0,3,0,0,0,0,0,TRUE,2,0,0,0,1,1,0,0,0,0,0,0,
1617velv-md-pg-Q-23,1,1,23,12118,8479,0,10452,9667,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,FALSE,2,0,0,0,3,2,0,0,0,0,0,0,0,TRUE,1,0,1,0,1,3,0,0,0,0,0,0,
1617velv-md-pg-Q-24,1,1,24,10382,11525,0,10833,5233,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,1,TRUE,0,0,0,3,2,0,2,0,0,0,0,1,0,FALSE,0,0,0,0,2,2,1,0,0,1,0,0,
