TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-mi-al-Q-1,1,1,1,6070,5384,0,9087,6043,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,2,0,0,0,0,0,0,0,true,0,0,1,0,4,0,0,3,0,0,0,0,
1617velv-mi-al-Q-2,1,1,2,10037,11317,0,11531,8733,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,0,3,3,0,0,0,0,0,0,0,true,0,0,0,0,1,0,4,0,0,0,0,0,
1617velv-mi-al-Q-3,1,1,3,5663,11228,0,11728,10024,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,4,0,0,0,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-mi-al-Q-4,1,1,4,11851,11318,0,11616,11321,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,true,0,1,0,0,3,0,2,1,0,0,0,0,
1617velv-mi-al-Q-5,1,1,5,10615,7772,0,7023,10474,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,3,0,2,0,1,0,0,0,0,0,1,true,2,1,1,3,2,0,2,0,0,0,0,0,
1617velv-mi-al-Q-6,1,1,6,7254,7253,0,8932,11266,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,3,2,0,0,0,0,0,0,0,false,0,0,0,0,1,0,0,0,0,0,0,0,
1617velv-mi-al-Q-7,1,1,7,5383,9404,0,10818,10255,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,1,5,2,0,0,0,0,0,0,true,2,0,0,0,2,11,0,0,0,0,0,0,
1617velv-mi-al-Q-8,1,1,8,11987,8529,0,8027,11846,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,0,0,2,2,3,0,0,0,0,0,0,true,0,0,1,0,0,0,1,2,0,0,0,0,
1617velv-mi-al-Q-9,1,1,9,5641,11228,0,9720,7911,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,2,0,0,0,0,0,0,0,true,1,0,1,0,4,0,1,1,0,0,0,0,
1617velv-mi-al-Q-10,1,1,10,11321,6043,0,8932,10474,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,0,1,0,0,3,0,0,0,0,0,true,2,0,0,0,3,3,0,0,0,0,0,0,
1617velv-mi-al-Q-11,1,1,11,11266,11616,0,9087,11317,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,3,3,0,2,3,0,0,0,0,0,false,1,0,3,0,1,0,0,0,0,0,0,0,
1617velv-mi-al-Q-12,1,1,12,9404,7023,0,11987,11531,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,1,0,1,2,0,2,0,0,0,0,0,true,0,2,1,3,0,0,5,0,0,0,0,0,
1617velv-mi-al-Q-13,1,1,13,9720,11851,0,5384,8529,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,4,0,0,0,0,0,0,true,0,0,0,0,4,4,0,0,0,0,0,0,
1617velv-mi-al-Q-14,1,1,14,11728,7253,0,5383,5641,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,1,4,0,0,0,0,0,0,0,true,0,0,0,0,0,6,0,0,0,0,0,0,
1617velv-mi-al-Q-15,1,1,15,10037,10818,0,7911,5663,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,0,0,2,6,0,0,1,0,0,0,0,false,1,0,1,0,2,1,0,0,0,0,1,0,
1617velv-mi-al-Q-16,1,1,16,7772,10255,0,8027,11318,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,2,0,0,0,2,10,0,0,0,0,0,0,0,false,0,0,0,0,0,1,1,3,0,0,0,0,
1617velv-mi-al-Q-17,1,1,17,11846,7254,0,10615,10024,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,3,0,0,0,0,0,0,0,false,0,0,3,0,1,0,1,0,0,0,0,0,
1617velv-mi-al-Q-18,1,1,18,8733,8932,0,6070,11228,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,2,0,0,0,0,0,0,true,1,0,0,0,2,3,0,0,0,0,0,0,
1617velv-mi-al-Q-19,1,1,19,11266,5641,0,10818,6043,0,0,0,0,false,false,false,0,0,0,false,false,false,1,0,0,0,0,0,1,1,true,0,0,0,0,2,0,0,0,0,0,0,0,0,true,1,0,1,0,2,0,0,3,0,0,0,0,
1617velv-mi-al-Q-20,1,1,20,11616,7023,0,7911,10255,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,2,0,0,0,0,0,0,0,0,0,0,0,1,true,0,0,1,0,4,10,0,3,0,0,0,0,
1617velv-mi-al-Q-21,1,1,21,11851,9087,0,11531,7253,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,1,0,1,0,0,0,4,0,0,0,0,0,0,false,0,1,0,0,3,5,3,0,0,0,0,0,
1617velv-mi-al-Q-22,1,1,22,11987,10474,0,11728,5384,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,1,3,2,1,5,0,0,0,0,0,0,true,0,0,0,0,2,1,0,0,0,0,0,0,
1617velv-mi-al-Q-23,1,1,23,9404,10615,0,11317,5663,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,4,0,0,0,0,0,0,0,
1617velv-mi-al-Q-24,1,1,24,8529,6070,0,11318,10037,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,1,5,0,0,0,0,0,0,0,false,0,0,0,0,3,6,0,0,0,0,0,0,
1617velv-mi-al-Q-25,1,1,25,11321,8027,0,7254,5383,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,0,0,0,2,0,0,0,2,0,true,0,0,1,0,4,6,0,0,0,2,0,0,
1617velv-mi-al-Q-26,1,1,26,9720,8733,0,11846,7772,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,3,0,3,0,4,0,0,0,0,0,0,true,0,0,0,0,1,0,7,0,0,0,0,0,
1617velv-mi-al-Q-27,1,1,27,10024,5384,0,5641,11531,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,3,0,3,0,0,0,0,0,0,0,0,false,0,1,3,0,1,0,1,0,0,0,0,0,
1617velv-mi-al-Q-28,1,1,28,10818,11616,0,11987,7253,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,2,0,0,1,0,0,2,0,0,0,0,0,true,0,0,0,0,2,6,2,0,0,0,0,0,
1617velv-mi-al-Q-29,1,1,29,8027,11317,0,11728,6070,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,0,0,0,0,0,0,false,0,0,0,0,3,1,0,0,0,0,0,0,
1617velv-mi-al-Q-30,1,1,30,7254,5663,0,6043,11851,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,1,0,3,2,0,0,0,0,0,0,0,true,1,0,1,0,1,0,3,3,0,0,0,0,
1617velv-mi-al-Q-31,1,1,31,5383,7911,0,7772,10024,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,3,0,0,1,0,3,0,0,0,0,0,true,0,0,1,0,4,1,0,0,0,0,0,0,
1617velv-mi-al-Q-32,1,1,32,8733,9087,0,8529,9404,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,2,0,0,0,1,0,0,1,0,0,0,0,0,true,2,0,1,0,1,3,0,0,0,0,0,0,
1617velv-mi-al-Q-33,1,1,33,10255,10474,0,11228,10037,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,0,0,2,14,0,0,0,0,0,0,0,true,2,0,0,0,2,6,0,0,0,0,0,0,
1617velv-mi-al-Q-34,1,1,34,10615,11318,0,8932,9720,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,2,0,0,0,0,0,0,false,0,0,0,0,3,0,3,0,0,0,0,0,
1617velv-mi-al-Q-35,1,1,35,11321,11846,0,7023,11266,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,0,0,1,0,1,0,5,0,0,0,0,0,1,true,0,0,1,0,3,0,0,0,0,0,0,0,
1617velv-mi-al-Q-36,1,1,36,7911,5384,0,7254,9404,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,1,0,1,0,4,1,0,3,0,0,0,0,0,false,2,0,0,0,0,4,0,0,0,0,0,0,
