TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-mi-ca-Q-1,Q-1,0-31 B,10477,7325,0,7901,7255,0,0,0,0,0,0,0,31,0,0,31,0,0,
1617velv-mi-ca-Q-2,Q-2,85-6 R,5289,8511,0,12111,11769,0,85,30,0,15,40,0,6,0,0,6,0,0,
1617velv-mi-ca-Q-3,Q-3,40-0 R,8753,11933,0,10425,9842,0,40,0,0,0,0,40,0,0,0,0,0,0,
1617velv-mi-ca-Q-4,Q-4,80-40 R,5237,7902,0,10262,8603,0,80,15,0,25,40,0,40,20,0,20,0,0,
1617velv-mi-ca-Q-5,Q-5,40-1 R,9895,8579,0,7313,12085,0,40,0,0,0,0,40,1,0,0,1,0,0,
1617velv-mi-ca-Q-6,Q-6,95-20 R,8492,7048,0,11679,7693,0,95,40,0,55,0,0,20,5,0,15,0,0,
1617velv-mi-ca-Q-7,Q-7,10-70 B,10611,11759,0,7049,10035,0,10,0,0,10,0,0,70,30,0,40,0,0,
1617velv-mi-ca-Q-8,Q-8,40-25 R,11932,9841,0,7043,10620,0,40,0,0,40,0,0,25,15,0,0,0,10,
1617velv-mi-ca-Q-9,Q-9,10-27 B,11668,8603,0,10176,7901,0,10,0,0,10,0,0,27,15,0,12,0,0,
1617velv-mi-ca-Q-10,Q-10,10-90 B,9842,11679,0,9895,5289,0,10,0,0,10,0,0,90,30,0,20,0,40,
1617velv-mi-ca-Q-11,Q-11,37-80 B,5237,7313,0,7255,8511,0,37,30,0,7,0,0,80,0,0,10,0,70,
1617velv-mi-ca-Q-12,Q-12,12-0 R,11932,10035,0,10425,7325,0,12,0,0,12,0,0,0,0,0,0,0,0,
1617velv-mi-ca-Q-13,Q-13,31-70 B,7693,11759,0,7043,8579,0,31,15,0,16,0,0,70,30,0,40,0,0,
1617velv-mi-ca-Q-14,Q-14,30-70 B,10477,11769,0,8753,10262,0,30,25,0,5,0,0,70,35,0,35,0,0,
1617velv-mi-ca-Q-15,Q-15,30-25 R,12085,12111,0,7048,10620,0,30,0,0,30,0,0,25,10,0,15,0,0,
1617velv-mi-ca-Q-16,Q-16,135-15 R,7902,10176,0,11933,10611,0,135,20,0,35,0,80,15,5,0,10,0,0,
1617velv-mi-ca-Q-17,Q-17,6-102 B,9841,11668,0,8492,7049,0,6,0,0,6,0,0,102,30,0,32,0,40,
1617velv-mi-ca-Q-18,Q-18,20-60 B,7255,11932,0,8603,7693,0,20,0,0,10,10,0,60,35,0,5,20,0,
1617velv-mi-ca-Q-19,Q-19,20-62 B,9895,8753,0,11759,5237,0,20,0,0,20,0,0,62,20,0,42,0,0,
1617velv-mi-ca-Q-20,Q-20,50-80 B,7043,9842,0,7901,7048,0,50,40,0,0,0,10,80,40,0,40,0,0,
1617velv-mi-ca-Q-21,Q-21,45-11 R,8579,5289,0,11933,7049,0,45,30,0,15,0,0,11,0,0,11,0,0,
1617velv-mi-ca-Q-22,Q-22,40-30 R,10620,10611,0,11668,7325,0,40,0,0,40,0,0,30,15,0,15,0,0,
1617velv-mi-ca-Q-23,Q-23,50-76 B,11679,10262,0,7313,10176,0,50,15,0,35,0,0,76,35,0,21,10,10,
1617velv-mi-ca-Q-24,Q-24,15-135 B,8492,10425,0,8511,7902,0,15,5,0,10,0,0,135,20,0,35,40,40,
1617velv-mi-ca-Q-25,Q-25,20-65 B,12111,10035,0,10477,9841,0,20,0,0,10,0,10,65,20,0,5,0,40,
1617velv-mi-ca-Q-26,Q-26,1-90 B,12085,11933,0,11769,5237,0,1,0,0,1,0,0,90,30,0,60,0,0,
1617velv-mi-ca-Q-27,Q-27,10-115 B,9895,7043,0,10176,7325,0,10,0,0,0,0,10,115,35,0,0,0,80,
1617velv-mi-ca-Q-28,Q-28,30-30 T,8492,7255,0,10611,8579,0,30,10,0,20,0,0,30,0,0,20,10,0,
1617velv-mi-ca-Q-29,Q-29,50-90 B,7048,10425,0,10477,11668,0,50,25,0,15,0,10,90,25,0,25,0,40,
1617velv-mi-ca-Q-30,Q-30,45-0 R,10620,11769,0,8603,11759,0,45,0,0,45,0,0,0,0,0,0,0,0,
1617velv-mi-ca-Q-31,Q-31,10-55 B,10035,8511,0,11679,8753,0,10,0,0,10,0,0,55,15,0,40,0,0,
1617velv-mi-ca-Q-32,Q-32,70-105 B,7693,9842,0,12085,7902,0,70,40,0,30,0,0,105,25,0,40,40,0,
1617velv-mi-ca-Q-33,Q-33,1-60 B,12111,7049,0,7313,11932,0,1,0,0,1,0,0,60,15,0,45,0,0,
1617velv-mi-ca-Q-34,Q-34,116-31 R,7901,5289,0,10262,9841,0,116,30,0,46,40,0,31,15,0,16,0,0,
1617velv-mi-ca-Q-35,Q-35,55-40 R,7325,7048,0,8603,8511,0,55,10,0,5,0,40,40,10,0,30,0,0,
1617velv-mi-ca-Q-36,Q-36,55-75 B,7693,10620,0,10035,5237,0,55,35,0,20,0,0,75,40,0,35,0,0,
1617velv-mi-ca-Q-37,Q-37,0-80 B,8579,8753,0,7902,11668,0,0,0,0,0,0,0,80,5,0,25,40,10,
1617velv-mi-ca-Q-38,Q-38,30-0 R,7049,10176,0,11769,10425,0,30,0,0,30,0,0,0,0,0,0,0,0,
1617velv-mi-ca-Q-39,Q-39,85-11 R,7255,10262,0,11933,12111,0,85,5,0,40,0,40,11,0,0,11,0,0,
1617velv-mi-ca-Q-40,Q-40,32-100 B,7313,8492,0,7043,5289,0,32,10,0,22,0,0,100,30,0,30,40,0,
1617velv-mi-ca-Q-41,Q-41,32-37 B,7901,12085,0,11759,11679,0,32,0,0,32,0,0,37,20,0,17,0,0,
1617velv-mi-ca-Q-42,Q-42,25-44 B,9842,10477,0,11932,10611,0,25,10,0,15,0,0,44,10,0,34,0,0,
1617velv-mi-ca-Q-43,Q-43,0-55 B,9841,7255,0,9895,8603,0,0,0,0,0,0,0,55,5,0,50,0,0,
1617velv-mi-ca-SF-1-1,SF-1-1,75-28 R,7902,5289,7049,11932,7255,8579,75,0,0,35,40,0,28,5,0,23,0,0,
1617velv-mi-ca-SF-2-1,SF-2-1,50-75 B,10176,5237,8753,7901,7048,7693,50,40,0,10,0,0,75,40,0,35,0,0,
1617velv-mi-ca-SF-1-2,SF-1-2,80-37 R,7902,5289,7049,11932,7255,8579,80,15,0,25,40,0,37,5,0,32,0,0,
