TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mi-pe,9221,Nerd Herd,1,10,176,120,5,WC,1.00,53.5,47.7,50.4,45.3,28.6,25.2,0.0,0.0,20.4,18.3,2.2,2.3,2.3,1.7,0.8,0.4,
1617velv-mi-pe,8487,Robo Toasters Orange,2,8,205,90,5,SC,0.80,57.3,48.6,58.0,49.1,10.5,8.6,0.0,0.0,14.7,13.6,32.0,26.4,0.2,-0.1,-1.0,-0.6,
1617velv-mi-pe,11708,Calumet Cyborgs,3,8,180,80,5,FC,0.80,22.8,23.5,24.9,24.5,5.0,5.5,0.0,0.0,17.3,16.1,3.3,3.6,-2.7,-1.9,0.6,0.7,
1617velv-mi-pe,10040,Robotic Narwhals,4,8,150,115,5,SC,0.80,33.8,31.7,26.4,25.2,16.2,14.4,0.0,0.0,12.8,12.7,-1.3,-0.7,6.1,5.2,1.3,1.2,
1617velv-mi-pe,10474,Artificial Intellegence,5,8,121,115,5,F1,0.80,47.9,42.8,37.8,34.6,22.1,19.6,0.0,0.0,15.9,15.1,1.7,1.4,8.2,6.6,2.0,1.5,
1617velv-mi-pe,7837,The Thunder Colts,6,8,115,120,5,W1,0.80,50.2,44.8,50.0,44.1,29.3,24.7,0.0,0.0,20.6,18.1,-0.5,0.9,0.8,0.9,-0.6,-0.4,
1617velv-mi-pe,8621,G3: Geeks Gears & Gadgets Blue,7,8,86,85,5,S1,0.80,6.2,11.0,6.5,10.9,-1.2,1.7,0.0,0.0,9.2,10.2,-1.4,-1.1,-0.4,0.0,0.1,-0.0,
1617velv-mi-pe,11276,Dream Machine,8,8,70,72,5,S1,0.80,11.0,15.5,13.4,16.7,-2.3,0.2,0.0,0.0,16.3,15.3,0.1,1.4,-2.9,-1.6,0.6,0.2,
1617velv-mi-pe,11717,Baker Bobcats,9,6,140,90,5,,0.60,38.8,34.9,31.4,28.5,15.3,13.8,0.0,0.0,13.3,13.0,2.9,2.1,7.3,5.9,0.1,0.4,
1617velv-mi-pe,10108,N.I.T.,10,6,126,75,5,,0.60,25.0,25.6,26.7,26.4,12.3,11.6,0.0,0.0,19.5,17.6,-4.2,-1.9,-2.6,-1.8,0.9,0.9,
1617velv-mi-pe,11885,The Robotic Lakers,11,6,101,60,5,S2,0.60,6.1,9.9,8.3,11.4,5.5,6.6,0.0,0.0,4.7,5.9,-1.5,-1.0,-2.6,-1.8,0.4,0.2,
1617velv-mi-pe,11735,Robo Toasters Blue,12,4,155,85,5,W2,0.40,27.9,27.6,23.9,24.0,-0.4,1.8,0.0,0.0,2.4,4.6,26.8,21.6,-0.9,-0.6,4.9,4.0,
1617velv-mi-pe,10062,Robogators,13,4,150,90,5,F2,0.40,24.2,23.5,19.4,19.3,7.7,7.2,0.0,0.0,8.0,8.4,2.8,3.1,5.8,4.7,-1.0,-0.6,
1617velv-mi-pe,12255,Rudyard Steampunks,14,4,92,60,5,S2,0.40,16.6,16.2,13.8,13.8,2.0,2.1,0.0,0.0,5.9,6.5,3.4,3.6,5.3,3.9,-2.5,-1.6,
1617velv-mi-pe,10124,Trial and Error,15,4,55,50,5,,0.40,-4.4,1.9,-8.4,-1.4,-2.4,-0.3,0.0,0.0,6.1,6.9,-7.3,-4.3,-0.8,-0.5,4.8,3.6,
1617velv-mi-pe,10041,Blackrock Bots,16,2,180,80,5,,0.20,22.5,21.1,23.5,21.3,13.1,11.8,0.0,0.0,2.5,3.8,7.3,5.5,-0.4,-0.2,-0.6,-0.1,
1617velv-mi-pe,5954,Lightning Boltz,17,2,165,100,5,,0.20,17.5,19.2,19.7,20.2,5.2,6.2,0.0,0.0,6.1,7.3,5.4,4.7,0.9,0.9,-3.1,-2.1,
1617velv-mi-pe,5976,Brandon Tech,18,2,150,90,5,,0.20,4.7,10.9,5.4,11.2,-5.3,-1.9,0.0,0.0,-0.9,1.8,11.4,11.1,-0.5,-0.2,-0.1,-0.3,
1617velv-mi-pe,11861,The Yooper Troopers,19,2,81,30,5,,0.20,-1.1,3.0,-5.8,-1.4,-0.2,1.1,0.0,0.0,3.8,4.9,-1.8,-1.3,-2.9,-1.9,7.5,6.0,
1617velv-mi-pe,12075,Menominee Jr High,20,2,60,46,5,,0.20,10.3,8.9,10.9,9.2,0.8,0.9,0.0,0.0,6.9,6.8,1.4,0.3,1.2,0.7,-1.8,-1.2,
1617velv-mi-pe,10723,SnowBots,21,0,150,35,5,,0.00,25.9,23.4,20.7,18.8,2.8,2.5,0.0,0.0,19.9,17.1,2.7,3.5,0.6,0.3,4.7,4.2,
1617velv-mi-pe,5411,G3 Geeks Gears and Gadgets Green,22,0,100,35,5,,0.00,2.9,6.3,-0.6,3.0,5.8,5.6,0.0,0.0,1.9,3.0,-5.3,-2.8,0.5,0.3,3.1,2.8,
