TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-mial-Q-1,Q-1,15-90 B,6070,5384,0,9087,6043,0,15,90,
1617velv-mial-Q-2,Q-2,85-19 R,10037,11317,0,11531,8733,0,85,19,
1617velv-mial-Q-3,Q-3,75-0 R,5663,11228,0,11728,10024,0,75,0,
1617velv-mial-Q-4,Q-4,0-52 B,11851,11318,0,11616,11321,0,0,52,
1617velv-mial-Q-5,Q-5,56-102 B,10615,7772,0,7023,10474,0,56,102,
1617velv-mial-Q-6,Q-6,75-10 R,7254,7253,0,8932,11266,0,75,10,
1617velv-mial-Q-7,Q-7,67-110 B,5383,9404,0,10818,10255,0,67,110,
1617velv-mial-Q-8,Q-8,53-31 R,11987,8529,0,8027,11846,0,53,31,
1617velv-mial-Q-9,Q-9,10-76 B,5641,11228,0,9720,7911,0,10,76,
1617velv-mial-Q-10,Q-10,85-80 R,11321,6043,0,8932,10474,0,85,80,
1617velv-mial-Q-11,Q-11,87-30 R,11266,11616,0,9087,11317,0,87,30,
1617velv-mial-Q-12,Q-12,110-30 R,9404,7023,0,11987,11531,0,110,30,
1617velv-mial-Q-13,Q-13,4-65 B,9720,11851,0,5384,8529,0,4,65,
1617velv-mial-Q-14,Q-14,45-35 R,11728,7253,0,5383,5641,0,45,35,
1617velv-mial-Q-15,Q-15,115-55 R,10037,10818,0,7911,5663,0,115,55,
1617velv-mial-Q-16,Q-16,130-46 R,7772,10255,0,8027,11318,0,130,46,
1617velv-mial-Q-17,Q-17,55-16 R,11846,7254,0,10615,10024,0,55,16,
1617velv-mial-Q-18,Q-18,12-55 B,8733,8932,0,6070,11228,0,12,55,
1617velv-mial-Q-19,Q-19,55-85 B,11266,5641,0,10818,6043,0,55,85,
1617velv-mial-Q-20,Q-20,60-170 B,11616,7023,0,7911,10255,0,60,170,
1617velv-mial-Q-21,Q-21,29-63 B,11851,9087,0,11531,7253,0,29,63,
1617velv-mial-Q-22,Q-22,75-30 R,11987,10474,0,11728,5384,0,75,30,
1617velv-mial-Q-23,Q-23,5-40 B,9404,10615,0,11317,5663,0,5,40,
1617velv-mial-Q-24,Q-24,50-60 B,8529,6070,0,11318,10037,0,50,60,
1617velv-mial-Q-25,Q-25,105-80 R,11321,8027,0,7254,5383,0,105,80,
1617velv-mial-Q-26,Q-26,39-22 R,9720,8733,0,11846,7772,0,39,22,
1617velv-mial-Q-27,Q-27,40-21 R,10024,5384,0,5641,11531,0,40,21,
1617velv-mial-Q-28,Q-28,45-57 B,10818,11616,0,11987,7253,0,45,57,
1617velv-mial-Q-29,Q-29,10-35 B,8027,11317,0,11728,6070,0,10,35,
1617velv-mial-Q-30,Q-30,95-78 R,7254,5663,0,6043,11851,0,95,78,
1617velv-mial-Q-31,Q-31,85-55 R,5383,7911,0,7772,10024,0,85,55,
1617velv-mial-Q-32,Q-32,50-65 B,8733,9087,0,8529,9404,0,50,65,
1617velv-mial-Q-33,Q-33,155-85 R,10255,10474,0,11228,10037,0,155,85,
1617velv-mial-Q-34,Q-34,12-33 B,10615,11318,0,8932,9720,0,12,33,
1617velv-mial-Q-35,Q-35,55-70 B,11321,11846,0,7023,11266,0,55,70,
1617velv-mial-Q-36,Q-36,140-50 R,7911,5384,0,7254,9404,0,140,50,
1617velv-mial-Q-37,Q-37,125-65 R,8027,6043,0,10037,11616,0,125,65,
1617velv-mial-Q-38,Q-38,80-105 B,8529,8932,0,10255,5641,0,80,105,
1617velv-mial-Q-39,Q-39,9-60 B,11321,11531,0,6070,10615,0,9,60,
1617velv-mial-Q-40,Q-40,56-1 R,10024,11266,0,11318,8733,0,56,1,
1617velv-mial-Q-41,Q-41,24-20 R,11851,11728,0,7772,10818,0,24,20,
1617velv-mial-Q-42,Q-42,70-16 R,10474,5663,0,11846,9087,0,70,16,
1617velv-mial-Q-43,Q-43,145-100 R,7253,11317,0,7023,9720,0,145,100,
1617velv-mial-Q-44,Q-44,50-25 R,11228,11987,0,5383,11266,0,50,25,
1617velv-mial-SF-1-1,SF-1-1,170-16 R,10255,6043,10037,11987,5383,5384,170,16,
1617velv-mial-SF-1-2,SF-1-2,165-42 R,10255,6043,10037,11987,5383,5384,165,42,
1617velv-mial-SF-2-1,SF-2-1,105-75 R,7253,7911,7254,10474,8027,9087,105,75,
1617velv-mial-SF-2-2,SF-2-2,100-35 R,7253,7911,7254,10474,8027,9087,100,35,
1617velv-mial-F-1,F-1,145-30 R,10255,6043,10037,7253,7911,7254,145,30,
1617velv-mial-F-2,F-2,115-45 R,10255,6043,10037,7253,7911,7254,115,45,
