TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mibr,5618,Control Freaks RED,1,10,229,130,5,WC,
1617velv-mibr,6482,Red Storm Robotics-Red,2,10,138,120,5,FC,
1617velv-mibr,5391,Enigma Puzzlers,3,8,313,130,5,SC,
1617velv-mibr,7837,The Thunder Colts,4,8,275,111,5,SC,
1617velv-mibr,7911,NC GEARS,5,8,177,130,5,F1,
1617velv-mibr,6494,Control Freaks WHITE,6,6,302,120,5,W1,
1617velv-mibr,5385,Enigma Riddlers,7,6,285,125,5,S1,
1617velv-mibr,6043,NC GEARS,8,6,253,101,5,S1,
1617velv-mibr,9499,Destrobots,9,6,239,111,5,,
1617velv-mibr,10024,Twisted Devils Black,10,6,194,105,5,,
1617velv-mibr,10104,That OTHER Team,11,6,189,85,5,S2,
1617velv-mibr,11217,Plainwell Stem Academy,12,6,186,101,5,F2,
1617velv-mibr,11153,The Lightning Colts,13,6,109,105,5,,
1617velv-mibr,9087,Twisted Devils Green,14,6,75,65,5,S2,
1617velv-mibr,5960,Iron Dams,15,4,163,83,5,,
1617velv-mibr,11940,Reed City Middle School,16,4,155,111,5,,
1617velv-mibr,11266,Black River,17,4,153,66,5,,
1617velv-mibr,10031,Red Storm Robotics-Blue,18,4,102,130,5,W2,
1617velv-mibr,11616,Wire-Catz,19,2,179,83,5,,
1617velv-mibr,9133,Robo Dawgs,20,2,154,105,5,,
1617velv-mibr,10319,Shawmut Hills,21,2,105,50,5,,
1617velv-mibr,5292,Red Storm Robotics-White,22,0,224,76,5,,
1617velv-mibr,7238,Blue and White Lightning Strikes,23,0,136,47,5,,
1617velv-mibr,9476,Advanced Skilltronics,24,0,133,50,5,,
