TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-micmpd1-Q-1,Q-1,80-85 B,5289,8492,0,8531,8845,0,80,85,
1617velv-micmpd1-Q-2,Q-2,120-95 R,5290,7138,0,11244,10035,0,120,95,
1617velv-micmpd1-Q-3,Q-3,45-85 B,10644,8935,0,9572,5385,0,45,85,
1617velv-micmpd1-Q-4,Q-4,155-135 R,5957,9931,0,6079,8533,0,155,135,
1617velv-micmpd1-Q-5,Q-5,120-80 R,10477,10037,0,11360,11932,0,120,80,
1617velv-micmpd1-Q-6,Q-6,50-145 B,11394,5411,0,11217,7049,0,50,145,
1617velv-micmpd1-Q-7,Q-7,125-165 B,5391,6155,0,5383,6043,0,125,165,
1617velv-micmpd1-Q-8,Q-8,105-125 B,10611,7693,0,5618,8580,0,105,125,
1617velv-micmpd1-Q-9,Q-9,60-106 B,10062,9476,0,6494,8734,0,60,106,
1617velv-micmpd1-Q-10,Q-10,100-95 R,8492,11244,0,11360,8533,0,100,95,
1617velv-micmpd1-Q-11,Q-11,115-40 R,5289,11394,0,9931,10037,0,115,40,
1617velv-micmpd1-Q-12,Q-12,110-145 B,9572,5957,0,7049,5290,0,110,145,
1617velv-micmpd1-Q-13,Q-13,125-90 R,7693,10477,0,7138,10644,0,125,90,
1617velv-micmpd1-Q-14,Q-14,37-70 B,5618,11932,0,6155,9476,0,37,70,
1617velv-micmpd1-Q-15,Q-15,35-150 B,5391,8935,0,6494,10611,0,35,150,
1617velv-micmpd1-Q-16,Q-16,120-60 R,5385,5411,0,8580,8734,0,120,60,
1617velv-micmpd1-Q-17,Q-17,95-130 B,8845,11217,0,6043,10062,0,95,130,
1617velv-micmpd1-Q-18,Q-18,65-120 B,5383,8531,0,6079,10035,0,65,120,
1617velv-micmpd1-Q-19,Q-19,80-130 B,10037,5618,0,10644,8492,0,80,130,
1617velv-micmpd1-Q-20,Q-20,110-45 R,11360,9572,0,5391,9476,0,110,45,
1617velv-micmpd1-Q-21,Q-21,30-120 B,7049,8580,0,8935,10477,0,30,120,
1617velv-micmpd1-Q-22,Q-22,155-120 R,6494,5290,0,5385,8845,0,155,120,
1617velv-micmpd1-Q-23,Q-23,150-60 R,6079,11217,0,7693,11932,0,150,60,
1617velv-micmpd1-Q-24,Q-24,100-160 B,7138,8734,0,6155,11394,0,100,160,
1617velv-micmpd1-Q-25,Q-25,125-50 R,6043,8531,0,5957,10611,0,125,50,
1617velv-micmpd1-Q-26,Q-26,210-25 R,8533,10035,0,10062,5289,0,210,25,
1617velv-micmpd1-Q-27,Q-27,75-115 B,11244,5383,0,5411,9931,0,75,115,
1617velv-micmpd1-Q-28,Q-28,75-55 R,8580,11217,0,5391,8492,0,75,55,
1617velv-micmpd1-Q-29,Q-29,140-90 R,11360,10644,0,7049,6155,0,140,90,
1617velv-micmpd1-Q-30,Q-30,135-100 R,11932,11394,0,6043,8935,0,135,100,
1617velv-micmpd1-Q-31,Q-31,105-70 R,5290,6079,0,5289,5618,0,105,70,
1617velv-micmpd1-Q-32,Q-32,130-95 R,6494,11244,0,10037,5957,0,130,95,
1617velv-micmpd1-Q-33,Q-33,95-65 R,7693,9476,0,5383,5385,0,95,65,
1617velv-micmpd1-Q-34,Q-34,210-115 R,8533,8845,0,5411,7138,0,210,115,
1617velv-micmpd1-Q-35,Q-35,130-95 R,10062,10477,0,8531,9572,0,130,95,
1617velv-micmpd1-Q-36,Q-36,30-110 B,10611,9931,0,10035,8734,0,30,110,
1617velv-micmpd1-Q-37,Q-37,95-65 R,6155,6079,0,8935,11244,0,95,65,
1617velv-micmpd1-Q-38,Q-38,240-140 R,6043,5289,0,7693,6494,0,240,140,
1617velv-micmpd1-Q-39,Q-39,135-240 B,5383,8580,0,10644,5957,0,135,240,
1617velv-micmpd1-Q-40,Q-40,180-75 R,9476,8531,0,5411,5290,0,180,75,
1617velv-micmpd1-Q-41,Q-41,60-50 R,11360,7138,0,5618,11217,0,60,50,
1617velv-micmpd1-Q-42,Q-42,67-80 B,8734,11932,0,8845,7049,0,67,80,
1617velv-micmpd1-Q-43,Q-43,30-160 B,5391,10035,0,11394,10477,0,30,160,
1617velv-micmpd1-Q-44,Q-44,230-60 R,10037,8533,0,9572,10611,0,230,60,
1617velv-micmpd1-Q-45,Q-45,80-80 T,5385,8492,0,10062,9931,0,80,80,
1617velv-micmpd1-SF-1-1,SF-1-1,150-100 R,10477,8845,11932,6079,9572,8580,150,100,
1617velv-micmpd1-SF-1-2,SF-1-2,110-195 B,10477,8845,11932,6079,9572,8580,110,195,
1617velv-micmpd1-SF-1-3,SF-1-3,155-215 B,10477,8845,11932,6079,9572,8580,155,215,
1617velv-micmpd1-SF-2-1,SF-2-1,115-175 B,6043,5290,8533,6494,7693,10611,115,175,
1617velv-micmpd1-SF-2-2,SF-2-2,130-101 R,6043,5290,8533,6494,7693,10611,130,101,
1617velv-micmpd1-SF-2-3,SF-2-3,150-195 B,6043,5290,8533,6494,7693,10611,150,195,
1617velv-micmpd1-F-1,F-1,165-100 R,6079,9572,8580,6494,7693,10611,165,100,
1617velv-micmpd1-F-2,F-2,180-90 R,6079,9572,8580,6494,7693,10611,180,90,
