TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-micol,7228,Stryke Force - Special Air Service,1,10,276,166,5,SC,
1617velv-micol,8239,Vicious Vassar Vulcans,2,8,214,166,5,FC,
1617velv-micol,5618,Control Freaks RED,3,8,175,110,5,SC,
1617velv-micol,9476,Advanced Skilltronics,4,8,150,80,5,WC,
1617velv-micol,5386,Fabricators,5,6,245,95,5,S1,
1617velv-micol,11762,Metal Storm,6,6,229,60,5,,
1617velv-micol,6494,Control Freaks WHITE,7,6,202,110,5,F1,
1617velv-micol,11254,Robo Rhinos,8,6,198,85,5,W1,
1617velv-micol,10028,Mech Tribe,9,6,161,120,5,,
1617velv-micol,11855,JoeBots,10,6,155,110,5,,
1617velv-micol,10309,TechnoHuskies,11,6,149,120,5,S2,
1617velv-micol,11870,West Bloomfield Veagle Vortex,12,6,109,100,5,S1,
1617velv-micol,11786,2PawsRoboticsJr,13,6,101,95,5,,
1617velv-micol,11217,Plainwell Stem Academy,14,6,96,85,5,F2,
1617velv-micol,5449,High Voltage,15,6,85,90,5,,
1617velv-micol,8553,Stryke Force - Screaming Eagles,16,4,164,140,5,W2,
1617velv-micol,9133,Robo Dawgs,17,4,112,45,5,,
1617velv-micol,8513,JoeBots,18,2,225,110,5,S2,
1617velv-micol,9855,Mattawan FTC RoboKats,19,2,163,56,5,,
1617velv-micol,9376,LMS Lancers,20,2,153,140,5,,
1617velv-micol,12101,Bangor Middle School,21,2,130,70,5,,
1617velv-micol,11714,Burr Oak BossCats,22,2,96,110,5,,
1617velv-micol,9499,Destrobots,23,2,96,65,5,,
1617velv-micol,9883,Mighty Michigan Mechanics - M3,24,0,108,60,5,,
