TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-migk-Q-1,Q-1,0-115 B,10653,12021,0,11230,5291,0,0,115,
1617velv-migk-Q-2,Q-2,40-15 R,7067,10849,0,10911,10713,0,40,15,
1617velv-migk-Q-3,Q-3,180-80 R,11860,7138,0,5976,10058,0,180,80,
1617velv-migk-Q-4,Q-4,115-80 R,8206,10372,0,8935,12068,0,115,80,
1617velv-migk-Q-5,Q-5,11-70 B,10250,10757,0,7066,11307,0,11,70,
1617velv-migk-Q-6,Q-6,52-10 R,5289,10699,0,11181,9933,0,52,10,
1617velv-migk-Q-7,Q-7,50-45 R,8580,7065,0,9500,10671,0,50,45,
1617velv-migk-Q-8,Q-8,80-10 R,9514,11231,0,8478,10813,0,80,10,
1617velv-migk-Q-9,Q-9,31-26 R,11860,12068,0,10713,11230,0,31,26,
1617velv-migk-Q-10,Q-10,5-45 B,7066,10372,0,7138,10653,0,5,45,
1617velv-migk-Q-11,Q-11,11-35 B,9933,9500,0,10757,8206,0,11,35,
1617velv-migk-Q-12,Q-12,65-55 R,5291,5976,0,11231,7065,0,65,55,
1617velv-migk-Q-13,Q-13,46-10 R,9514,10250,0,11181,7067,0,46,10,
1617velv-migk-Q-14,Q-14,20-115 B,10911,10671,0,11307,5289,0,20,115,
1617velv-migk-Q-15,Q-15,20-81 B,10058,10813,0,8935,10849,0,20,81,
1617velv-migk-Q-16,Q-16,35-56 B,12021,8478,0,10699,8580,0,35,56,
1617velv-migk-Q-17,Q-17,42-45 B,11230,9500,0,11231,10250,0,42,45,
1617velv-migk-Q-18,Q-18,85-35 R,8206,10671,0,5976,9514,0,85,35,
1617velv-migk-Q-19,Q-19,25-130 B,5289,10058,0,7066,5291,0,25,130,
1617velv-migk-Q-20,Q-20,30-20 R,8580,10713,0,11181,10813,0,30,20,
1617velv-migk-Q-21,Q-21,75-25 R,9933,7065,0,10911,10372,0,75,25,
1617velv-migk-Q-22,Q-22,155-50 R,7138,12068,0,7067,8478,0,155,50,
1617velv-migk-Q-23,Q-23,20-30 B,11860,11307,0,12021,10849,0,20,30,
1617velv-migk-Q-24,Q-24,55-35 R,10653,8935,0,10757,10699,0,55,35,
1617velv-migk-Q-25,Q-25,100-45 R,8206,7066,0,11231,8580,0,100,45,
1617velv-migk-Q-26,Q-26,31-80 B,9933,10713,0,9514,10058,0,31,80,
1617velv-migk-Q-27,Q-27,45-75 B,10849,10671,0,7138,11230,0,45,75,
1617velv-migk-Q-28,Q-28,30-55 B,7067,10372,0,11307,10699,0,30,55,
1617velv-migk-Q-29,Q-29,40-21 R,5291,10911,0,11860,10250,0,40,21,
1617velv-migk-Q-30,Q-30,65-25 R,9500,10813,0,10653,12068,0,65,25,
1617velv-migk-Q-31,Q-31,0-75 B,8478,11181,0,7065,10757,0,0,75,
1617velv-migk-Q-32,Q-32,105-65 R,5976,8935,0,12021,5289,0,105,65,
1617velv-migk-Q-33,Q-33,40-40 T,7067,10058,0,11231,10671,0,40,40,
1617velv-migk-Q-34,Q-34,76-0 R,10250,10653,0,8580,9933,0,76,0,
1617velv-migk-Q-35,Q-35,155-65 R,11307,7138,0,11181,8206,0,155,65,
1617velv-migk-Q-36,Q-36,90-35 R,10813,7065,0,5289,11860,0,90,35,
1617velv-migk-Q-37,Q-37,40-25 R,12021,12068,0,10911,7066,0,40,25,
1617velv-migk-Q-38,Q-38,90-110 B,5291,10713,0,8935,8478,0,90,110,
1617velv-migk-Q-39,Q-39,85-55 R,10757,11230,0,5976,10372,0,85,55,
1617velv-migk-Q-40,Q-40,31-36 B,10699,10849,0,9514,9500,0,31,36,
1617velv-migk-SF-1-1,SF-1-1,95-60 R,7138,8935,5976,7065,8478,7067,95,60,
1617velv-migk-SF-1-2,SF-1-2,105-100 R,7138,8935,5976,7065,8478,7067,105,100,
1617velv-migk-SF-2-1,SF-2-1,101-90 R,8206,10813,5289,5291,9514,11307,101,90,
1617velv-migk-SF-2-2,SF-2-2,95-110 B,8206,10813,5289,5291,9514,11307,95,110,
1617velv-migk-SF-2-3,SF-2-3,110-100 R,8206,10813,5289,5291,9514,11307,110,100,
1617velv-migk-F-1,F-1,145-90 R,7138,8935,5976,8206,10813,5289,145,90,
1617velv-migk-F-2,F-2,75-40 R,7138,8935,5976,8206,10813,5289,75,40,
