TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-migk,7138,Mechanical Mayhem,1,10,245,180,5,WC,1.00,102.5,86.2,
1617velv-migk,8935,Twisted Metal,2,8,290,110,5,W1,0.80,71.5,59.8,
1617velv-migk,8206,Kearsley Clockworks,3,8,236,115,5,FC,0.80,64.6,56.0,
1617velv-migk,5291,TOWR The Oxford Wildcats Robotics,4,8,191,130,5,SC,0.80,70.5,60.3,
1617velv-migk,7065,Molten Metal,5,8,160,90,5,SC,0.80,55.3,47.9,
1617velv-migk,11307,Michigan Marshals,6,8,146,155,5,S2,0.80,43.2,42.3,
1617velv-migk,9514,Davison Middle School,7,8,117,80,5,S1,0.80,32.3,30.7,
1617velv-migk,12068,Team Kraken,8,6,206,155,5,,0.60,27.7,29.5,
1617velv-migk,11230,OMS ElektraKatz,9,6,168,115,5,,0.60,25.0,28.5,
1617velv-migk,8580,Oakview CyberDragons,10,6,145,56,5,,0.60,11.3,14.2,
1617velv-migk,10699,Purple Robotics Dragons,11,6,141,56,5,,0.60,23.2,21.9,
1617velv-migk,10849,WMS Robotics,12,6,131,81,5,,0.60,14.1,18.9,
1617velv-migk,10757,Bluewaves,13,6,112,85,5,,0.60,9.3,15.0,
1617velv-migk,7066,The Juggernauts,14,6,111,130,5,,0.60,27.8,29.5,
1617velv-migk,10250,Falconators,15,6,84,76,5,,0.60,26.6,22.5,
1617velv-migk,10653,SASA DRAGATRONS,16,6,65,76,5,,0.60,-8.9,2.3,
1617velv-migk,11231,Cyborg Cats,17,5,192,80,5,,0.50,23.0,25.3,
1617velv-migk,5976,Brandon Tech,18,4,290,105,5,W2,0.40,24.6,28.6,
1617velv-migk,11860,BHK-CLK robotics,19,4,182,180,5,,0.40,10.4,16.6,
1617velv-migk,5289,Martians,20,4,155,115,5,F2,0.40,35.1,33.1,
1617velv-migk,9500,,21,4,154,65,5,,0.40,18.4,18.9,
1617velv-migk,12021,Atherton Minibots,22,4,145,65,5,,0.40,17.2,15.5,
1617velv-migk,10813,Kearsley Scrap Rats,23,4,110,90,5,F1,0.40,19.3,20.0,
1617velv-migk,10058,Davison II,24,3,196,80,5,,0.30,22.7,23.3,
1617velv-migk,10671,Cyber Phoenix FTC,25,3,185,85,5,,0.30,24.4,23.7,
1617velv-migk,7067,Junkyard Bots,26,3,145,50,5,S2,0.30,20.3,18.8,
1617velv-migk,10372,MacroProcessors,27,2,195,115,5,,0.20,19.9,20.6,
1617velv-migk,8478,E-Bots,28,2,185,110,5,S1,0.20,16.2,19.3,
1617velv-migk,10713,White Pine RoboHawks,29,2,182,90,5,,0.20,17.3,17.7,
1617velv-migk,10911,Cavs,30,2,106,40,5,,0.20,-7.0,-0.1,
1617velv-migk,9933,GBEMS - Blazin' Turtle,31,2,77,75,5,,0.20,5.8,8.8,
1617velv-migk,11181,Robo-Raptors,32,0,105,65,5,,0.00,-4.2,1.4,
