TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,
1617velv-mimas,10255,RoboDux,1,10,220,115,5,WC,1.00,66.6,59.4,
1617velv-mimas,6079,Bionic Broncos,2,10,140,115,5,FC,1.00,49.2,44.5,
1617velv-mimas,8646,Team KAOS,3,10,110,80,5,W1,1.00,57.4,48.1,
1617velv-mimas,7085,F.L.A.G. Fight Like a Girl,4,8,167,80,5,SC,0.80,19.8,21.4,
1617velv-mimas,7047,Mechanical Monkeys,5,8,155,65,5,F1,0.80,40.7,34.9,
1617velv-mimas,11244,Fierce Avengers,6,8,138,110,5,,0.80,32.6,30.9,
1617velv-mimas,10645,Hornet Hackers,7,8,100,65,5,SC,0.80,15.3,17.0,
1617velv-mimas,5663,Twisted Devils Red,8,8,67,35,5,S1,0.80,2.6,5.5,
1617velv-mimas,5980,Titanium Tech Vikes,9,6,190,80,5,S2,0.60,31.1,28.3,
1617velv-mimas,9070,Techno Warriors,10,6,186,75,5,S2,0.60,29.0,26.1,
1617velv-mimas,7360,The Screwdrivers,11,6,140,45,5,,0.60,12.1,14.0,
1617velv-mimas,10538,Team KILT,12,6,135,90,5,W2,0.60,38.9,36.9,
1617velv-mimas,7479,Techno Hawks - Red Team,13,6,112,105,5,,0.60,19.8,21.1,
1617velv-mimas,7792,Nindroids,14,6,110,95,5,,0.60,24.2,23.5,
1617velv-mimas,10552,Concord Bot,15,6,106,50,5,,0.60,11.5,13.7,
1617velv-mimas,11617,Chelsea Glitch,16,6,80,35,5,,0.60,7.5,8.9,
1617velv-mimas,8613,Password,17,6,75,65,5,,0.60,-0.3,6.3,
1617velv-mimas,7688,Clarkston Crew,18,4,135,55,5,,0.40,16.5,16.9,
1617velv-mimas,7445,Techno Hawks - Black Team,19,4,127,71,5,,0.40,23.1,22.1,
1617velv-mimas,10315,Tech Hawks,20,4,117,50,5,,0.40,16.4,15.3,
1617velv-mimas,11637,Grease Wolves,21,4,115,65,5,,0.40,-0.9,6.0,
1617velv-mimas,9297,Droid Technicians (Blue),22,4,107,77,5,,0.40,16.4,18.0,
1617velv-mimas,8734,Actuators,23,4,105,80,5,F2,0.40,14.7,16.8,
1617velv-mimas,6359,Bruin Bots,24,4,100,90,5,,0.40,19.5,19.2,
1617velv-mimas,11729,Chelsea Crash,25,4,92,60,5,,0.40,2.6,6.4,
1617velv-mimas,12362,Droid Technicians (Red),26,4,72,40,5,,0.40,7.3,9.0,
1617velv-mimas,10644,CyBugs,27,2,195,90,5,,0.20,31.7,30.1,
1617velv-mimas,7668,Trojanbots,28,2,155,80,5,,0.20,10.4,13.0,
1617velv-mimas,10297,to be determined,29,2,155,65,5,,0.20,26.2,23.5,
1617velv-mimas,6811,Hardcore Hard Drives,30,2,120,55,5,,0.20,5.0,8.0,
1617velv-mimas,11618,Chelsea Gremlins,31,2,107,55,5,,0.20,7.7,8.9,
1617velv-mimas,8027,Twisted Devils Blue,32,2,99,40,5,,0.20,5.6,7.4,
1617velv-mimas,11129,RoboTitans,33,2,80,60,5,,0.20,11.4,10.8,
1617velv-mimas,6283,Platinum Tech Vikes,34,0,205,75,5,S1,0.00,22.0,21.5,
1617velv-mimas,11713,Southwest Community Campus GR,35,0,120,35,5,,0.00,8.2,9.6,
