TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mino,6155,MegaBots,1,10,175,106,5,SC,
1617velv-mino,10477,Rapid Robots,2,10,170,105,5,FC,
1617velv-mino,10474,Artificial Intellegence,3,8,145,90,5,SC,
1617velv-mino,11870,West Bloomfield Veagle Vortex,4,8,130,75,5,F1,
1617velv-mino,9908,The Killer Coders,5,8,110,145,5,WC,
1617velv-mino,11668,To Bee Determined,6,8,87,75,5,F2,
1617velv-mino,7255,STEAM Stingers,7,8,65,65,5,,
1617velv-mino,10108,N.I.T.,8,6,165,105,5,S1,
1617velv-mino,6225,Synergy,9,6,132,40,5,S2,
1617velv-mino,11679,Titanium Trojans Too,10,6,122,90,5,,
1617velv-mino,8377,Munger Mechanical Lions,11,6,95,94,5,,
1617velv-mino,8487,Robo Toasters Orange,12,6,90,145,5,S1,
1617velv-mino,11432,SAY Play Warriors 1,13,6,87,51,5,,
1617velv-mino,11305,Vallibots,14,6,76,75,5,,
1617velv-mino,10812,STEM-Bots,15,6,52,83,5,,
1617velv-mino,11176,Panthers,16,5,194,80,5,,
1617velv-mino,11254,Robo Rhinos,17,5,180,65,5,,
1617velv-mino,6294,Bionic Bots,18,5,150,60,5,S2,
1617velv-mino,11438,SAY Play Warriors 2,19,5,139,50,5,,
1617velv-mino,11749,Imagination Patriots,20,5,128,55,5,,
1617velv-mino,11735,Robo Toasters Blue,21,5,126,80,5,W1,
1617velv-mino,11276,Dream Machine,22,4,113,31,5,,
1617velv-mino,8753,The Eagles,23,4,97,40,5,,
1617velv-mino,11013,AHCS Cougars,24,4,74,95,5,,
1617velv-mino,8492,Titanium Trojans,25,3,140,80,5,W2,
1617velv-mino,10280,TechnoLions,26,3,117,70,5,,
1617velv-mino,11726,Hack 29th St.,27,3,99,40,5,,
1617velv-mino,11632,Dunkin' DoBots,28,3,95,95,5,,
1617velv-mino,9028,A.D.E.P.T.,29,3,55,106,5,,
1617velv-mino,8603,The Fighting Gnomes,30,2,100,30,5,,
1617velv-mino,11340,Indigo League,31,2,85,35,5,,
1617velv-mino,8376,Team TACO,32,1,90,60,5,,
1617velv-mino,9933,GBEMS - Blazin' Turtle,33,0,100,40,5,,
1617velv-mino,10210,Aztechs,34,0,61,31,5,,
