TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,BTot,
1617velv-mipe-Q-1,Q-1,34-20 R,11276,10040,0,11735,10108,0,34,20,
1617velv-mipe-Q-2,Q-2,25-10 R,11717,11861,0,7837,5976,0,25,10,
1617velv-mipe-Q-3,Q-3,65-80 B,8487,10062,0,9221,10041,0,65,80,
1617velv-mipe-Q-4,Q-4,35-0 R,11885,10474,0,10124,12075,0,35,0,
1617velv-mipe-Q-5,Q-5,35-30 R,11708,8621,0,5954,10723,0,35,30,
1617velv-mipe-Q-6,Q-6,40-5 R,12255,11276,0,5411,12075,0,40,5,
1617velv-mipe-Q-7,Q-7,40-25 R,10062,10124,0,5976,10723,0,40,25,
1617velv-mipe-Q-8,Q-8,52-30 R,10040,8621,0,10041,5411,0,52,30,
1617velv-mipe-Q-9,Q-9,45-16 R,11885,9221,0,12255,11861,0,45,16,
1617velv-mipe-Q-10,Q-10,85-40 R,7837,11735,0,10474,5954,0,85,40,
1617velv-mipe-Q-11,Q-11,55-70 B,10108,11717,0,11708,8487,0,55,70,
1617velv-mipe-Q-12,Q-12,80-20 R,10723,11735,0,11885,12075,0,80,20,
1617velv-mipe-Q-13,Q-13,85-10 R,7837,8621,0,11276,10062,0,85,10,
1617velv-mipe-Q-14,Q-14,50-80 B,10041,5976,0,10474,11708,0,50,80,
1617velv-mipe-Q-15,Q-15,5-50 B,5411,11861,0,10124,8487,0,5,50,
1617velv-mipe-Q-16,Q-16,100-45 R,5954,9221,0,11717,10040,0,100,45,
1617velv-mipe-Q-17,Q-17,75-11 R,10108,10474,0,12255,8621,0,75,11,
1617velv-mipe-Q-18,Q-18,5-72 B,10124,10041,0,11276,11717,0,5,72,
1617velv-mipe-Q-19,Q-19,35-120 B,10723,5411,0,7837,9221,0,35,120,
1617velv-mipe-Q-20,Q-20,50-90 B,11735,12255,0,5976,8487,0,50,90,
1617velv-mipe-Q-21,Q-21,46-20 R,12075,10108,0,11861,5954,0,46,20,
1617velv-mipe-Q-22,Q-22,50-25 R,10040,11708,0,11885,10062,0,50,25,
1617velv-mipe-Q-23,Q-23,15-25 B,12075,5976,0,8621,9221,0,15,25,
1617velv-mipe-Q-24,Q-24,20-60 B,10124,11708,0,12255,7837,0,20,60,
1617velv-mipe-Q-25,Q-25,30-115 B,11861,10723,0,10474,10040,0,30,115,
1617velv-mipe-Q-26,Q-26,70-30 R,11276,8487,0,5954,11885,0,70,30,
1617velv-mipe-Q-27,Q-27,90-25 R,10062,11717,0,11735,5411,0,90,25,
1617velv-mipe-Q-28,Q-28,30-60 B,10041,10723,0,10108,11885,0,30,60,
1617velv-mipe-SF-1-1,SF-1-1,45-23 R,9221,7837,11735,10040,8621,11885,45,23,
1617velv-mipe-SF-1-2,SF-1-2,95-25 R,9221,7837,11735,10040,8621,11885,95,25,
1617velv-mipe-SF-2-1,SF-2-1,60-15 R,8487,11276,12255,11708,10474,10062,60,15,
1617velv-mipe-SF-2-2,SF-2-2,55-75 B,8487,11276,12255,11708,10474,10062,55,75,
1617velv-mipe-SF-2-3,SF-2-3,55-110 B,8487,11276,12255,11708,10474,10062,55,110,
1617velv-mipe-F-1,F-1,75-75 T,9221,7837,11735,11708,10474,10062,75,75,
1617velv-mipe-F-2,F-2,25-20 R,9221,7837,11735,11708,10474,10062,25,20,
1617velv-mipe-F-3,F-3,50-75 B,9221,7837,11735,11708,10474,10062,50,75,
1617velv-mipe-F-4,F-4,110-50 R,9221,7837,11735,11708,10474,10062,110,50,
