TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-mn-bu1-Q-1,Q-1,80-77 R,11117,11459,0,11904,11150,0,80,60,0,0,20,0,77,25,0,42,10,0,
1617velv-mn-bu1-Q-2,Q-2,0-85 B,10469,9078,0,5736,9182,0,0,0,0,0,0,0,85,25,0,60,0,0,
1617velv-mn-bu1-Q-3,Q-3,5-80 B,10486,7646,0,10432,9414,0,5,0,0,5,0,0,80,40,0,40,0,0,
1617velv-mn-bu1-Q-4,Q-4,85-50 R,10398,8808,0,11566,8034,0,85,65,0,20,0,0,50,0,0,40,10,0,
1617velv-mn-bu1-Q-5,Q-5,20-30 B,10430,10648,0,10470,7589,0,20,0,0,20,0,0,30,10,0,20,0,0,
1617velv-mn-bu1-Q-6,Q-6,60-95 B,11621,8729,0,3763,8919,0,60,60,0,0,0,0,95,40,0,55,0,0,
1617velv-mn-bu1-Q-7,Q-7,31-245 B,11459,11566,0,9414,9078,0,31,10,0,21,0,0,245,20,0,35,0,190,
1617velv-mn-bu1-Q-8,Q-8,90-5 R,11117,8034,0,10430,7646,0,90,40,0,40,0,10,5,5,0,0,0,0,
1617velv-mn-bu1-Q-9,Q-9,60-135 B,11150,7589,0,8919,10432,0,60,30,0,20,10,0,135,70,0,25,40,0,
1617velv-mn-bu1-Q-10,Q-10,60-38 R,3763,5736,0,11904,10486,0,60,25,0,35,0,0,38,5,0,23,0,10,
1617velv-mn-bu1-Q-11,Q-11,100-25 R,10469,10398,0,10648,8729,0,100,70,0,30,0,0,25,25,0,0,0,0,
1617velv-mn-bu1-Q-12,Q-12,50-75 B,9182,10470,0,8808,11621,0,50,35,0,15,0,0,75,0,0,35,0,40,
1617velv-mn-bu1-Q-13,Q-13,18-30 B,11904,9414,0,10430,7589,0,18,5,0,13,0,0,30,10,0,20,0,0,
1617velv-mn-bu1-Q-14,Q-14,40-65 B,10486,8729,0,9078,8034,0,40,40,0,0,0,0,65,25,0,40,0,0,
1617velv-mn-bu1-Q-15,Q-15,75-130 B,10470,11117,0,10469,10432,0,75,35,0,40,0,0,130,50,0,0,40,40,
1617velv-mn-bu1-Q-16,Q-16,40-85 B,8919,11459,0,5736,8808,0,40,35,0,5,0,0,85,20,0,65,0,0,
1617velv-mn-bu1-Q-17,Q-17,30-50 B,11566,10648,0,11621,11150,0,30,10,0,20,0,0,50,30,0,20,0,0,
1617velv-mn-bu1-Q-18,Q-18,45-85 B,3763,9182,0,7646,10398,0,45,25,0,20,0,0,85,65,0,20,0,0,
1617velv-mn-bu1-Q-19,Q-19,50-65 B,11904,9078,0,8919,10470,0,50,20,0,30,0,0,65,25,0,40,0,0,
1617velv-mn-bu1-Q-20,Q-20,110-35 R,5736,9414,0,11621,11117,0,110,25,0,35,10,40,35,15,0,10,10,0,
1617velv-mn-bu1-Q-21,Q-21,50-10 R,10486,10398,0,7589,11459,0,50,10,0,40,0,0,10,10,0,0,0,0,
1617velv-mn-bu1-Q-22,Q-22,75-30 R,8034,10432,0,9182,10648,0,75,0,0,35,40,0,30,15,0,15,0,0,
1617velv-mn-bu1-Q-23,Q-23,45-35 R,8808,11150,0,8729,7646,0,45,5,0,40,0,0,35,25,0,10,0,0,
1617velv-mn-bu1-Q-24,Q-24,40-10 R,3763,10430,0,11566,10469,0,40,0,0,40,0,0,10,10,0,0,0,0,
1617velv-mn-bu1-Q-25,Q-25,80-108 B,10432,11621,0,10398,11904,0,80,20,0,20,40,0,108,70,0,38,0,0,
1617velv-mn-bu1-Q-26,Q-26,45-110 B,8919,10648,0,11117,10486,0,45,20,0,25,0,0,110,60,0,30,20,0,
1617velv-mn-bu1-Q-27,Q-27,40-80 B,10469,11150,0,8034,9414,0,40,20,0,10,10,0,80,30,0,30,20,0,
1617velv-mn-bu1-Q-28,Q-28,55-20 R,7589,9078,0,3763,8808,0,55,25,0,30,0,0,20,0,0,20,0,0,
1617velv-mn-bu1-Q-29,Q-29,50-30 R,8729,9182,0,11459,10430,0,50,25,0,25,0,0,30,10,0,20,0,0,
1617velv-mn-bu1-Q-30,Q-30,35-50 B,7646,11566,0,10470,5736,0,35,15,0,20,0,0,50,20,0,30,0,0,
1617velv-mn-bu1-SF-1-1,SF-1-1,150-30 R,10398,5736,8919,9414,9078,3763,150,100,0,40,10,0,30,25,0,5,0,0,
1617velv-mn-bu1-SF-1-2,SF-1-2,110-85 R,10398,5736,8919,9414,9078,3763,110,40,0,60,10,0,85,55,0,10,20,0,
1617velv-mn-bu1-SF-2-1,SF-2-1,35-80 B,10432,8808,8729,8034,11117,11621,35,30,0,5,0,0,80,40,0,40,0,0,
1617velv-mn-bu1-SF-2-2,SF-2-2,10-75 B,10432,8808,8729,8034,11117,11621,10,0,0,10,0,0,75,30,0,45,0,0,
1617velv-mn-bu1-F-1,F-1,60-85 B,10398,5736,8919,8034,11117,11621,60,30,0,30,0,0,85,45,0,40,0,0,
1617velv-mn-bu1-F-2,F-2,40-95 B,10398,5736,8919,8034,11117,11621,40,0,0,30,10,0,95,35,0,40,20,0,
