TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-mn-ea-Q-1,Q-1,35-65 B,8473,7899,0,8712,9257,0,35,30,0,5,0,0,65,15,0,50,0,0,false,false,false,false,
1617velv-mn-ea-Q-2,Q-2,53-35 R,4509,7231,0,7900,9205,0,53,10,0,43,0,0,35,25,0,10,0,0,false,false,false,false,
1617velv-mn-ea-Q-3,Q-3,95-0 R,8686,11838,0,9258,9760,0,95,65,0,30,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-mn-ea-Q-4,Q-4,35-25 R,8808,8977,0,11150,9182,0,35,0,0,35,0,0,25,5,0,20,0,0,false,false,false,false,
1617velv-mn-ea-Q-5,Q-5,105-55 R,7152,7659,0,11488,8729,0,105,40,0,65,0,0,55,40,0,15,0,0,false,false,false,false,
1617velv-mn-ea-Q-6,Q-6,11-185 B,11299,7231,0,7655,8712,0,11,0,0,11,0,0,185,70,0,105,10,0,false,false,false,false,
1617velv-mn-ea-Q-7,Q-7,10-170 B,11150,7899,0,8686,7152,0,10,10,0,0,0,0,170,65,0,105,0,0,false,false,false,false,
1617velv-mn-ea-Q-8,Q-8,30-50 B,4509,9182,0,9258,11488,0,30,10,0,20,0,0,50,5,0,35,10,0,false,false,false,false,
1617velv-mn-ea-Q-9,Q-9,10-50 B,9205,9760,0,9257,11299,0,10,10,0,0,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-mn-ea-Q-10,Q-10,90-20 R,8977,7655,0,8729,11838,0,90,40,0,50,0,0,20,10,0,10,0,0,false,false,false,false,
1617velv-mn-ea-Q-11,Q-11,41-45 B,8473,8808,0,7900,7659,0,41,5,0,36,0,0,45,25,0,20,0,0,false,false,false,false,
1617velv-mn-ea-Q-12,Q-12,70-80 B,8686,7899,0,4509,7655,0,70,40,0,30,0,0,80,40,0,40,0,0,true,false,true,false,
1617velv-mn-ea-Q-13,Q-13,15-177 B,11150,11838,0,8712,9205,0,15,5,0,10,0,0,177,80,0,57,0,40,false,false,false,false,
1617velv-mn-ea-Q-14,Q-14,110-35 R,7152,9257,0,9182,7900,0,110,25,0,75,10,0,35,35,0,0,0,0,false,false,false,false,
1617velv-mn-ea-Q-15,Q-15,50-10 R,7231,7659,0,8977,9760,0,50,10,0,30,10,0,10,5,0,5,0,0,false,false,false,false,
1617velv-mn-ea-Q-16,Q-16,25-45 B,8473,9258,0,8729,11299,0,25,5,0,20,0,0,45,5,0,40,0,0,false,false,false,false,
1617velv-mn-ea-Q-17,Q-17,5-37 B,11488,9257,0,8808,11838,0,5,0,0,5,0,0,37,5,0,32,0,0,false,false,false,false,
1617velv-mn-ea-Q-18,Q-18,35-31 R,9182,8729,0,7899,7231,0,35,15,0,20,0,0,31,5,0,26,0,0,false,false,false,false,
1617velv-mn-ea-Q-19,Q-19,10-50 B,11150,4509,0,7659,11299,0,10,10,0,0,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-mn-ea-Q-20,Q-20,115-90 R,8977,8712,0,7900,8686,0,115,45,0,70,0,0,90,55,0,35,0,0,false,false,false,false,
1617velv-mn-ea-Q-21,Q-21,13-95 B,9205,9258,0,7152,8808,0,13,10,0,3,0,0,95,45,0,50,0,0,false,false,false,false,
1617velv-mn-ea-Q-22,Q-22,80-10 R,7655,11488,0,8473,9760,0,80,35,0,45,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-mn-ea-Q-23,Q-23,30-70 B,9205,9182,0,8686,7659,0,30,10,0,10,10,0,70,30,0,30,10,0,false,false,false,false,
1617velv-mn-ea-Q-24,Q-24,100-46 R,8712,9760,0,8808,4509,0,100,60,0,30,10,0,46,15,0,31,0,0,false,false,false,false,
1617velv-mn-ea-Q-25,Q-25,115-50 R,7655,7900,0,9258,11150,0,115,55,0,60,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-mn-ea-Q-26,Q-26,90-45 R,11838,7152,0,7231,8473,0,90,50,0,40,0,0,45,0,0,45,0,0,false,false,false,false,
1617velv-mn-ea-Q-27,Q-27,60-15 R,11488,11299,0,8977,7899,0,60,25,0,35,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-mn-ea-Q-28,Q-28,85-20 R,8729,8686,0,9257,4509,0,85,40,0,45,0,0,20,10,0,0,10,0,false,false,false,false,
1617velv-mn-ea-SF-1-1,SF-1-1,195-50 R,8712,7655,11488,11299,8729,9182,195,65,0,50,0,80,50,5,0,45,0,0,false,false,false,false,
1617velv-mn-ea-SF-2-1,SF-2-1,245-45 R,7152,8686,7231,7659,8977,7900,245,100,0,85,0,60,45,30,0,15,0,0,false,false,false,false,
1617velv-mn-ea-SF-1-2,SF-1-2,170-85 R,8712,7655,11488,11299,8729,9182,170,105,0,65,0,0,85,15,0,30,0,40,false,false,false,false,
1617velv-mn-ea-SF-2-2,SF-2-2,50-105 B,7152,8686,7231,7659,8977,7900,50,25,0,25,0,0,105,40,0,65,0,0,false,false,false,false,
1617velv-mn-ea-SF-2-3,SF-2-3,115-80 R,7152,8686,7231,7659,8977,7900,115,70,0,45,0,0,80,5,0,25,0,50,false,false,false,false,
1617velv-mn-ea-F-1,F-1,75-110 B,8712,7655,11488,7152,8686,7231,75,75,0,0,0,0,110,40,0,70,0,0,false,false,false,false,
1617velv-mn-ea-F-2,F-2,215-95 R,8712,7655,11488,7152,8686,7231,215,110,0,105,0,0,95,25,0,70,0,0,false,false,false,false,
1617velv-mn-ea-F-3,F-3,200-180 R,8712,7655,11488,7152,8686,7231,200,110,0,90,0,0,180,40,0,60,0,80,false,false,false,false,
