TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mn-nb1,9890,The Rubies,1,10,246,150,5,FC,1.00,78.6,72.3,67.9,64.1,54.4,46.6,0.0,0.0,18.3,19.9,4.2,4.7,1.7,1.0,8.9,7.1,
1617velv-mn-nb1,7655,The Q is Silqent,2,9,233,120,5,WC,0.90,64.3,57.0,64.1,55.1,19.1,18.8,0.0,0.0,48.4,40.3,-0.3,-0.5,-2.9,-1.7,3.1,3.6,
1617velv-mn-nb1,8438,Quantum Leap,3,8,247,150,5,SC,0.80,53.3,46.5,55.8,47.6,26.0,23.6,0.0,0.0,29.3,23.8,0.2,0.0,-2.2,-1.0,-0.2,-0.2,
1617velv-mn-nb1,9258,The Glorious Dweebs,4,7,175,140,5,SC,0.70,19.2,25.6,6.2,14.6,8.3,9.6,0.0,0.0,-1.0,5.7,-2.3,-1.4,14.2,11.7,-1.2,-0.8,
1617velv-mn-nb1,11301,Maranatha Christian Academy FTC 1,5,6,232,80,5,,0.60,39.5,36.0,26.1,24.5,11.1,10.6,0.0,0.0,30.1,26.2,0.3,0.5,-2.1,-1.3,15.5,12.8,
1617velv-mn-nb1,7646,Circuit Overlords,6,6,220,80,5,S1,0.60,32.8,32.2,38.0,35.3,15.8,15.5,0.0,0.0,17.3,16.7,0.7,0.5,-1.0,-0.6,-4.2,-2.7,
1617velv-mn-nb1,7288,RoboGlaciers,7,6,217,120,5,S1,0.60,38.4,35.6,41.7,37.6,20.8,18.7,0.0,0.0,16.0,14.0,5.1,4.9,-3.4,-2.1,0.2,-0.0,
1617velv-mn-nb1,2887,Edina Bucket Brigade,8,6,196,91,5,,0.60,43.4,39.1,37.5,33.2,6.3,6.8,0.0,0.0,28.9,24.1,4.6,4.2,3.7,3.9,2.2,1.9,
1617velv-mn-nb1,9430,Typhoons,9,6,172,115,5,W1,0.60,31.1,32.9,34.3,34.7,-4.5,0.4,0.0,0.0,9.7,10.8,26.2,21.8,-0.4,-0.3,-2.8,-1.7,
1617velv-mn-nb1,11413,Auto Anonymous Chisago Lakes Middle School,10,6,108,140,5,F2,0.60,49.8,43.3,35.0,30.7,11.4,10.6,0.0,0.0,22.2,17.6,2.1,3.1,14.0,11.9,0.7,0.6,
1617velv-mn-nb1,4001,Limited Edition,11,5,261,95,5,F1,0.50,44.9,41.3,46.5,41.8,6.4,7.2,0.0,0.0,-0.2,1.8,39.9,32.6,-1.3,-0.4,-0.4,-0.2,
1617velv-mn-nb1,10273,Cat in The Hat Comes Back,12,5,205,70,5,S2,0.50,19.2,21.1,18.7,20.5,6.4,7.2,0.0,0.0,12.8,12.8,-1.4,0.2,1.5,0.9,-1.0,-0.4,
1617velv-mn-nb1,11621,Light Speed,13,4,250,120,5,,0.40,39.2,38.0,36.6,36.1,12.0,11.3,0.0,0.0,26.9,25.1,-0.4,1.0,0.7,0.4,1.9,1.4,
1617velv-mn-nb1,11206,Ordean Devil Dogs,14,4,214,91,5,,0.40,24.5,27.2,16.7,20.6,8.7,8.8,0.0,0.0,9.7,12.7,-1.8,-0.8,7.9,6.4,-0.1,0.1,
1617velv-mn-nb1,7659,Blue Crew,15,4,186,80,5,S2,0.40,18.2,20.5,17.2,20.0,11.9,11.5,0.0,0.0,6.0,7.7,0.0,1.1,0.3,0.1,0.7,0.3,
1617velv-mn-nb1,8962,TimeCrafters,16,4,177,105,5,W2,0.40,7.8,14.5,9.5,16.0,13.8,13.2,0.0,0.0,-3.4,1.8,-0.2,1.2,-2.4,-1.8,0.7,0.2,
1617velv-mn-nb1,11906,Absolute Zero,17,4,177,61,5,,0.40,28.0,25.3,32.9,28.1,7.8,8.0,0.0,0.0,18.8,16.0,0.5,0.4,0.7,0.9,-5.7,-3.8,
1617velv-mn-nb1,11412,Green Stop Sign Chisago Lakes Middle School,18,4,170,90,5,,0.40,10.0,14.4,14.4,17.2,1.6,4.9,0.0,0.0,10.2,10.7,-2.0,-1.4,0.2,0.2,-4.6,-3.0,
1617velv-mn-nb1,9415,Thunderstorm,19,4,156,49,5,,0.40,1.8,9.4,1.1,8.5,1.0,3.1,0.0,0.0,-0.5,4.7,-1.3,-0.6,2.6,2.1,-1.9,-1.3,
1617velv-mn-nb1,3764,Extendomatics,20,4,140,61,5,,0.40,15.7,17.7,19.8,20.1,3.7,4.5,0.0,0.0,12.0,12.5,3.4,2.7,-3.3,-2.2,-0.8,-0.3,
1617velv-mn-nb1,6699,Tempest,21,2,296,80,5,,0.20,36.2,35.2,34.2,33.6,29.0,24.9,0.0,0.0,12.3,13.3,-4.9,-2.8,-0.3,-0.3,2.3,1.9,
1617velv-mn-nb1,11586,Becker Middle School,22,2,232,70,5,,0.20,23.7,23.9,21.9,22.3,0.3,2.5,0.0,0.0,21.6,19.6,2.8,2.2,-1.0,-0.6,2.8,2.1,
1617velv-mn-nb1,7069,Reboot,23,2,146,85,5,,0.20,8.7,12.9,-6.0,0.7,1.2,2.2,0.0,0.0,7.0,10.0,0.2,0.4,0.3,0.2,14.4,11.9,
1617velv-mn-nb1,10733,Capitol Hill FTC,24,2,140,95,5,,0.20,0.8,6.1,-1.5,3.9,4.6,5.3,0.0,0.0,-6.7,-2.9,0.4,1.7,2.4,1.9,-0.2,0.2,
