TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mnep2,9183,Storm Warning,1,10,97,45,5,FC,
1617velv-mnep2,7900,The Danger Zone,2,9,122,110,5,WC,
1617velv-mnep2,7972,Royal Engineers,3,8,95,70,5,F1,
1617velv-mnep2,7069,Reboot,4,8,88,85,5,SC,
1617velv-mnep2,10272,Titanium Allies,5,7,122,60,5,W1,
1617velv-mnep2,7289,Genius,6,7,100,65,5,SC,
1617velv-mnep2,7896,Into The Void,7,6,170,97,5,S2,
1617velv-mnep2,9430,Typhoons,8,6,168,97,5,S1,
1617velv-mnep2,10617,MECHATECH,9,6,150,120,5,S1,
1617velv-mnep2,3385,Extreme Speed,10,6,90,50,5,F2,
1617velv-mnep2,9617,Loose Screws,11,6,86,55,5,W2,
1617velv-mnep2,7897,The Known Laws of Aviation,12,6,62,51,5,,
1617velv-mnep2,10398,Quantum Mechanics,13,4,116,60,5,S2,
1617velv-mnep2,6721,Loose Wires,14,4,95,50,5,,
1617velv-mnep2,11949,Team Tec Man,15,4,92,80,5,,
1617velv-mnep2,7898,Loading Error,16,4,87,110,5,,
1617velv-mnep2,6708,Frozen Fire,17,4,85,80,5,,
1617velv-mnep2,6707,Robotic Ninjas,18,4,72,50,5,,
1617velv-mnep2,7282,The Copyrights,19,3,185,120,5,,
1617velv-mnep2,10471,(Insert Name Here),20,2,175,85,5,,
1617velv-mnep2,9536,Slobberbots,21,2,126,86,5,,
1617velv-mnep2,3387,I.C.E.,22,2,90,40,5,,
1617velv-mnep2,11290,TAXI K.A.B.D,23,2,81,51,5,,
1617velv-mnep2,7281,Fancy Gears,24,0,70,30,5,,
