TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mnsp1,12049,Rogers #2,1,9,251,256,5,WC,
1617velv-mnsp1,5330,Robotic Rush,2,9,231,130,5,SC,
1617velv-mnsp1,7165,Robotic Surge,3,8,242,130,5,S1,
1617velv-mnsp1,4644,Robotic Adrenaline,4,8,217,135,5,SC,
1617velv-mnsp1,8101,Robonados,5,7,237,105,5,FC,
1617velv-mnsp1,8584,Robotic Spark,6,7,231,105,5,S1,
1617velv-mnsp1,7897,The Known Laws of Aviation,7,7,169,100,5,F2,
1617velv-mnsp1,4509,Meme Team,8,7,106,70,5,,
1617velv-mnsp1,8473,Blue Lightning,9,6,271,110,5,W1,
1617velv-mnsp1,7896,Into The Void,10,6,188,256,5,,
1617velv-mnsp1,4650,Crusader Robotics: Monkey Mechanics,11,6,179,80,5,,
1617velv-mnsp1,10648,I Have an Idea,12,6,175,90,5,S2,
1617velv-mnsp1,9477,Tormsay Otsbay,13,5,177,85,5,,
1617velv-mnsp1,9972,The Terminators,14,4,161,135,5,S2,
1617velv-mnsp1,7190,Green Girls,15,4,139,64,5,,
1617velv-mnsp1,10562,Rock'em Salk'em!,16,4,133,105,5,,
1617velv-mnsp1,3387,I.C.E.,17,4,106,45,5,,
1617velv-mnsp1,6369,Designosaurs,18,3,365,105,5,F1,
1617velv-mnsp1,8005,Robot Renegades,19,3,216,85,5,,
1617velv-mnsp1,12045,Rogers #1,20,2,176,110,5,W2,
1617velv-mnsp1,8977,Sunburst,21,2,161,75,5,,
1617velv-mnsp1,9577,Lake Crystal Knights,22,2,82,70,5,,
1617velv-mnsp1,9257,Tread Lightly,23,1,125,65,5,,
1617velv-mnsp1,10238,Technical Tigers,24,0,146,50,5,,
