TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-mo-cmpd1-Q-1,Q-1,145-50 R,11126,6547,0,3740,7359,0,145,85,0,60,0,0,50,30,0,20,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-2,Q-2,40-200 B,9849,9106,0,10173,6929,0,40,30,0,10,0,0,200,90,0,110,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-3,Q-3,85-65 R,5893,5035,0,8943,5439,0,85,40,0,45,0,0,65,10,0,35,20,0,false,false,false,false,
1617velv-mo-cmpd1-Q-4,Q-4,150-85 R,3665,8620,0,408,3591,0,150,55,0,85,10,0,85,45,0,40,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-5,Q-5,165-80 R,406,10265,0,11678,7129,0,165,100,0,65,0,0,80,10,0,50,20,0,false,false,false,false,
1617velv-mo-cmpd1-Q-6,Q-6,175-145 R,3631,4587,0,8403,9808,0,175,70,0,65,40,0,145,75,0,30,40,0,false,false,false,false,
1617velv-mo-cmpd1-Q-7,Q-7,215-115 R,6929,3591,0,11126,5439,0,215,115,0,100,0,0,115,60,0,55,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-8,Q-8,25-130 B,7359,9106,0,11678,5893,0,25,0,0,25,0,0,130,70,0,60,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-9,Q-9,70-125 B,5035,8620,0,8403,10265,0,70,40,0,30,0,0,125,75,0,30,20,0,false,false,false,false,
1617velv-mo-cmpd1-Q-10,Q-10,140-125 R,6547,4587,0,406,3665,0,140,70,0,30,40,0,125,70,0,55,0,0,false,false,false,false,
1617velv-mo-cmpd1-Q-11,Q-11,95-210 B,3631,8943,0,10173,408,0,95,0,0,55,40,0,210,120,0,50,40,0,false,false,false,false,
1617velv-mo-cmpd1-Q-12,Q-12,210-90 R,9808,7129,0,3740,9849,0,210,100,0,90,20,0,90,60,0,20,10,0,false,false,false,false,
