TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-mo-cmpd1-Q-1,1,1,1,11126,6547,0,3740,7359,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,3,0,0,3,3,6,0,0,0,0,0,0,0,false,2,0,0,0,1,2,0,0,0,0,0,0,
1617velv-mo-cmpd1-Q-2,1,1,2,9849,9106,0,10173,6929,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,0,0,0,0,1,0,0,0,0,0,0,0,1,true,3,0,1,3,3,16,0,0,0,0,0,0,
1617velv-mo-cmpd1-Q-3,1,1,3,5893,5035,0,8943,5439,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,1,3,3,0,0,0,0,0,0,0,true,0,0,0,1,1,5,0,2,0,0,0,0,
1617velv-mo-cmpd1-Q-4,1,1,4,3665,8620,0,408,3591,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,3,0,1,0,3,11,0,1,0,0,0,0,1,false,1,0,0,0,1,6,0,0,0,0,0,0,
1617velv-mo-cmpd1-Q-5,1,1,5,406,10265,0,11678,7129,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,2,0,1,0,3,7,0,0,0,0,0,0,0,true,0,0,1,0,1,8,0,2,0,0,0,0,
1617velv-mo-cmpd1-Q-6,1,1,6,3631,4587,0,8403,9808,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,1,0,2,9,0,3,0,0,0,0,2,true,0,0,3,1,2,2,0,3,0,0,0,0,
1617velv-mo-cmpd1-Q-7,1,1,7,6929,3591,0,11126,5439,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,3,0,1,0,1,18,0,0,0,0,0,0,1,false,2,0,0,0,2,7,0,0,0,0,0,0,
1617velv-mo-cmpd1-Q-8,1,1,8,7359,9106,0,11678,5893,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,1,0,0,0,0,0,0,1,true,2,0,0,1,2,8,0,0,0,0,0,0,
1617velv-mo-cmpd1-Q-9,1,1,9,5035,8620,0,8403,10265,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,2,0,0,3,1,4,0,0,0,0,0,0,2,true,0,0,1,1,3,0,0,2,0,0,0,0,
1617velv-mo-cmpd1-Q-10,1,1,10,6547,4587,0,406,3665,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,true,2,0,3,0,2,2,0,3,0,0,0,0,1,true,2,0,0,1,2,7,0,0,0,0,0,0,
