TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mo-cmpd2,10841,The Pirates of The Grand Island,1,10,530,250,5,FC,1.00,101.4,91.7,99.4,88.7,59.8,53.9,0.0,0.0,39.2,35.1,-4.0,-3.0,6.4,5.5,-4.4,-2.6,
1617velv-mo-cmpd2,4211,The Bombers,2,10,435,285,5,WC,1.00,163.9,143.2,160.0,138.9,74.1,65.0,0.0,0.0,60.0,52.9,18.9,16.2,11.0,8.8,-7.1,-4.6,
1617velv-mo-cmpd2,8461,Elementary My Dear Botson,3,10,275,240,5,SC,1.00,86.7,82.4,68.0,65.4,13.8,16.8,0.0,0.0,16.9,17.9,30.1,26.3,25.8,21.3,-7.1,-4.4,
1617velv-mo-cmpd2,7209,Tech Hogs Robotics,4,8,575,220,5,F1,0.80,115.9,105.9,97.1,90.7,44.5,41.5,0.0,0.0,28.7,27.4,26.7,23.4,15.9,13.3,2.9,1.7,
1617velv-mo-cmpd2,6168,Maniacal Mechanics,5,8,550,240,5,S1,0.80,133.9,119.7,121.4,108.4,81.0,70.4,0.0,0.0,43.6,39.1,5.1,5.7,4.2,4.3,8.3,6.8,
1617velv-mo-cmpd2,4964,Rolla Patriots,6,8,435,245,5,W1,0.80,180.0,152.4,164.7,140.0,65.0,56.7,0.0,0.0,66.0,56.2,38.0,31.0,11.0,8.4,4.3,4.0,
1617velv-mo-cmpd2,10476,Iron Cats,7,8,310,200,5,SC,0.80,38.5,49.5,17.0,30.6,32.9,33.8,0.0,0.0,10.0,15.6,-0.4,2.2,-3.9,-2.3,25.4,21.0,
1617velv-mo-cmpd2,6207,The Phoenix,8,6,450,225,5,S1,0.60,40.9,53.4,54.8,61.9,29.8,31.9,0.0,0.0,21.4,25.1,-3.6,0.2,-6.6,-4.0,-7.2,-4.5,
1617velv-mo-cmpd2,7951,The KAONS,9,6,280,205,5,S2,0.60,10.6,23.7,19.1,29.0,9.4,14.0,0.0,0.0,8.9,12.7,1.3,2.8,-9.0,-5.9,0.6,0.5,
1617velv-mo-cmpd2,3658,The BOSONS,10,6,260,215,5,W2,0.60,41.6,48.1,49.9,51.9,17.5,19.1,0.0,0.0,19.6,20.8,10.8,11.8,-6.2,-3.8,-2.0,-0.1,
1617velv-mo-cmpd2,3409,Astromechs,11,4,456,135,5,S2,0.40,53.2,51.7,66.1,59.9,23.3,23.7,0.0,0.0,20.5,19.0,13.3,11.5,-4.0,-2.7,-9.0,-5.6,
1617velv-mo-cmpd2,9956,The Knack,12,4,445,285,5,F2,0.40,98.6,94.6,75.4,74.5,41.1,40.1,0.0,0.0,35.7,33.8,16.0,15.0,5.7,5.6,17.4,14.4,
1617velv-mo-cmpd2,5905,Camdenton 4-H LASER Middle School #1,13,4,335,190,5,,0.40,44.8,47.9,29.4,34.9,7.9,10.4,0.0,0.0,21.1,22.3,3.5,4.1,12.3,10.8,3.1,2.0,
1617velv-mo-cmpd2,7856,Blood Sweat & Gears,14,4,305,140,5,,0.40,36.0,41.2,34.3,38.5,15.1,17.7,0.0,0.0,23.7,23.5,2.9,3.2,-5.6,-3.5,7.3,6.0,
1617velv-mo-cmpd2,7547,JoeBotics,15,4,295,220,5,,0.40,76.8,72.1,62.6,58.7,12.4,13.7,0.0,0.0,22.9,22.5,23.2,19.9,18.2,15.9,-4.0,-2.5,
1617velv-mo-cmpd2,2867,Degrees of Freedom,16,4,255,175,5,,0.40,-0.8,11.8,-12.6,1.7,2.8,6.8,0.0,0.0,-0.2,4.6,4.1,5.3,-7.4,-5.1,19.2,15.1,
1617velv-mo-cmpd2,11203,DURT (DeSmet United Robotics Team),17,4,255,100,5,,0.40,34.4,33.5,39.3,37.0,1.4,4.1,0.0,0.0,33.8,30.5,-1.1,-1.1,0.3,-0.2,-5.2,-3.4,
1617velv-mo-cmpd2,10588,The Luxons,18,4,240,195,5,,0.40,20.9,30.2,18.8,26.8,11.6,16.0,0.0,0.0,11.5,14.3,-1.8,-0.3,-0.5,0.1,2.6,3.2,
1617velv-mo-cmpd2,9905,Rampunzel,19,2,500,195,5,,0.20,20.1,31.7,22.6,33.4,16.7,19.6,0.0,0.0,9.1,14.0,-3.4,-0.5,-2.4,-1.5,-0.2,-0.3,
1617velv-mo-cmpd2,9108,Ravonics Spitzer,20,2,271,245,5,,0.20,39.0,43.7,32.3,36.2,8.3,11.7,0.0,0.0,20.0,20.2,6.6,7.4,4.1,4.2,2.6,3.1,
1617velv-mo-cmpd2,5119,The BARYONS,21,2,270,125,5,,0.20,36.1,33.9,8.4,11.6,4.2,6.8,0.0,0.0,21.1,19.0,9.0,6.8,1.8,1.1,25.9,21.1,
1617velv-mo-cmpd2,11874,Blue Valley CAPS Metal Mavericks,22,2,226,110,5,,0.20,11.1,19.2,7.3,15.2,13.2,13.8,0.0,0.0,-1.2,3.3,-5.4,-2.4,4.4,4.3,-0.6,-0.3,
1617velv-mo-cmpd2,9041,STOBOR (robots sdrawkcab),23,0,451,105,5,,0.00,39.9,41.8,32.1,33.7,31.8,29.3,0.0,0.0,13.2,15.3,-5.1,-2.9,0.0,-0.1,7.8,8.1,
1617velv-mo-cmpd2,6127,i-Bots,24,0,340,120,5,,0.00,42.7,42.7,42.8,41.1,12.5,12.9,0.0,0.0,24.7,23.3,3.1,3.5,2.4,2.9,-2.5,-1.3,
