TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mo-cq1,4587,Red Hot Techie Peppers,1,10,400,205,5,WC,1.00,93.8,85.6,109.3,94.5,58.2,49.0,0.0,0.0,23.3,22.9,32.6,25.8,-20.2,-12.3,4.8,3.3,
1617velv-mo-cq1,11678,Arrow Flight,2,10,270,205,5,FC,1.00,83.6,76.5,59.4,57.1,25.0,25.0,0.0,0.0,37.9,33.0,-4.2,-1.1,24.9,19.3,-0.7,-0.1,
1617velv-mo-cq1,9808,Team Chargers,3,9,185,195,5,W1,0.90,95.9,84.2,111.1,93.4,67.5,56.1,0.0,0.0,12.8,13.4,30.2,23.0,-14.6,-8.4,-0.5,-0.9,
1617velv-mo-cq1,10127,Tesla's Knights,4,7,380,160,5,SC,0.70,66.4,62.7,70.5,64.9,42.7,37.2,0.0,0.0,10.9,11.8,17.8,16.5,-5.0,-2.9,0.9,0.7,
1617velv-mo-cq1,10188,T-N-T,5,6,295,270,5,F1,0.60,107.5,97.2,76.1,72.4,38.2,37.0,0.0,0.0,41.2,35.8,-6.7,-2.4,34.8,26.7,-3.4,-2.0,
1617velv-mo-cq1,9849,The Small Fries,6,6,265,115,5,SC,0.60,56.7,48.3,47.8,38.1,8.9,6.6,0.0,0.0,13.3,12.6,41.3,32.5,-6.7,-3.6,15.7,13.7,
1617velv-mo-cq1,10916,Eagle FTC Robotics,7,6,240,105,5,,0.60,5.1,13.2,3.5,11.8,-6.2,-0.7,0.0,0.0,5.8,7.6,6.9,7.2,-1.4,-1.1,2.9,2.4,
1617velv-mo-cq1,5906,Camdenton 4-H LASER Middle School #2,8,6,230,131,5,F2,0.60,24.5,31.7,18.9,29.0,3.8,10.2,0.0,0.0,12.3,12.2,-0.9,4.4,9.4,4.8,-3.7,-2.2,
1617velv-mo-cq1,11303,Y Bridge Robotics,9,6,200,270,5,S1,0.60,65.2,62.1,40.8,41.6,18.3,19.3,0.0,0.0,11.6,12.1,2.0,4.3,33.3,26.1,-8.9,-5.7,
1617velv-mo-cq1,9103,Ravonics Rover,10,5,255,100,5,,0.50,8.6,18.4,-18.6,-3.9,1.5,6.3,0.0,0.0,8.8,9.8,-5.9,0.1,4.1,2.1,23.0,20.2,
1617velv-mo-cq1,10872,Electronic Camels,11,5,180,120,5,,0.50,9.5,16.1,9.7,16.8,0.3,4.3,0.0,0.0,3.9,5.3,0.6,4.0,4.6,2.3,-4.9,-3.1,
1617velv-mo-cq1,8461,Elementary My Dear Botson,12,4,265,160,5,S1,0.40,65.2,57.6,69.1,59.8,24.7,22.5,0.0,0.0,8.6,8.6,30.7,25.2,1.1,1.0,-5.1,-3.3,
1617velv-mo-cq1,10460,Bot Squad,13,4,260,110,5,,0.40,26.9,26.2,29.2,27.7,6.0,7.2,0.0,0.0,12.7,12.6,6.0,4.8,2.2,1.4,-4.5,-2.9,
1617velv-mo-cq1,9108,Ravonics Spitzer,14,4,195,110,5,W2,0.40,17.4,21.9,21.4,24.0,15.1,14.3,0.0,0.0,7.6,8.7,2.4,3.3,-7.7,-4.5,3.7,2.3,
1617velv-mo-cq1,9798,N.E.R.D.S,15,4,180,70,5,,0.40,18.9,21.5,24.3,25.4,0.1,2.7,0.0,0.0,10.1,10.5,9.1,9.0,-0.5,-0.9,-5.0,-3.1,
1617velv-mo-cq1,11457,STARbots,16,4,175,95,5,,0.40,22.6,22.0,-4.4,-1.5,5.5,4.9,0.0,0.0,18.4,17.1,1.3,0.6,-2.6,-0.9,29.5,24.2,
1617velv-mo-cq1,10681,Nexus,17,4,170,125,5,,0.40,41.4,41.0,29.5,30.1,3.6,5.9,0.0,0.0,15.6,15.4,1.9,3.1,20.2,16.4,-8.3,-5.6,
1617velv-mo-cq1,12381,Tiger_STEAM,18,3,355,100,5,,0.30,32.4,34.2,31.2,33.5,11.7,12.9,0.0,0.0,10.6,10.7,11.6,11.6,-1.6,-1.2,2.8,1.8,
1617velv-mo-cq1,7095,S.T.O.R.M.,19,3,315,95,5,S2,0.30,33.9,35.2,42.0,39.7,12.0,11.5,0.0,0.0,19.7,19.5,8.0,6.8,-5.7,-2.8,-2.3,-1.9,
1617velv-mo-cq1,10871,Forged,20,3,230,80,5,,0.30,19.4,23.4,18.6,23.2,-1.2,2.4,0.0,0.0,19.2,17.8,-2.0,1.1,3.5,1.8,-2.7,-1.7,
1617velv-mo-cq1,9104,Ravonics Apollo,21,2,260,100,5,S2,0.20,20.4,22.8,25.0,24.9,21.5,18.5,0.0,0.0,5.1,7.5,1.9,0.8,-8.0,-4.2,3.4,2.0,
1617velv-mo-cq1,8136,Raytown C2,22,2,110,65,5,,0.20,-26.4,-11.4,-33.5,-19.7,-6.7,-2.9,0.0,0.0,-3.4,0.4,0.6,1.8,-16.9,-10.9,23.9,19.1,
1617velv-mo-cq1,8412,Gryphons,23,1,125,40,5,,0.10,16.4,14.1,18.5,15.0,4.8,3.8,0.0,0.0,10.2,9.6,-1.3,-1.4,2.7,1.9,-4.8,-2.9,
