TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA0Pk,RA1Pk,BTBeac,BTCent,BTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA0Pk,BA1Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-mo-m13-Q-1,1,1,1,4587,9034,0,9796,11012,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,1,false,1,0,0,0,4,0,0,3,0,0,0,0,0,false,0,0,0,0,0,0,0,0,0,0,0,0,
1617velv-mo-m13-Q-2,1,1,2,9808,10188,0,11771,10127,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,0,0,4,1,0,0,0,0,0,0,0,false,0,0,0,0,0,0,1,3,0,0,0,0,
1617velv-mo-m13-Q-3,1,1,3,9966,8412,0,10916,11457,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,0,false,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-mo-m13-Q-4,1,1,4,9034,11012,0,10188,11771,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,1,0,0,0,0,false,0,0,0,0,2,1,0,0,0,0,1,0,
1617velv-mo-m13-Q-5,1,1,5,9808,10916,0,9966,4587,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,1,0,false,1,0,0,0,2,0,0,3,0,1,0,0,
1617velv-mo-m13-Q-6,1,1,6,9796,10127,0,8412,11457,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,2,0,3,0,0,0,0,0,false,0,0,0,0,3,0,1,0,0,0,0,0,
1617velv-mo-m13-Q-7,1,1,7,10916,9966,0,10188,11012,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,0,0,0,4,4,0,0,0,0,0,0,
1617velv-mo-m13-Q-8,1,1,8,10127,8412,0,11771,4587,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,1,0,0,3,0,0,0,0,0,false,1,0,0,0,3,0,1,3,0,0,0,0,
1617velv-mo-m13-Q-9,1,1,9,11457,9796,0,9034,9808,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,0,0,4,0,1,0,0,0,0,0,1,true,0,0,0,1,0,0,0,0,0,0,0,0,
1617velv-mo-m13-Q-10,1,1,10,4587,8412,0,9966,10188,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,1,0,0,0,2,0,0,3,0,0,0,0,1,false,0,0,0,0,2,3,0,0,0,0,0,0,
1617velv-mo-m13-Q-11,1,1,11,9034,9796,0,10916,10127,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,true,0,0,1,0,3,0,0,0,0,0,0,0,0,false,0,0,0,0,0,2,1,3,0,0,0,0,
1617velv-mo-m13-Q-12,1,1,12,11012,11771,0,11457,9808,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,0,0,1,0,0,0,0,0,1,true,0,0,0,1,4,0,0,0,0,0,0,0,
1617velv-mo-m13-Q-13,1,1,13,10127,10188,0,9966,9796,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,3,2,0,3,0,0,0,0,0,true,0,0,0,1,1,1,0,0,0,0,0,0,
1617velv-mo-m13-Q-14,1,1,14,11457,11771,0,4587,10916,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,0,false,0,0,0,0,2,0,0,0,0,0,0,0,1,false,0,0,0,0,2,2,0,3,0,0,0,0,
1617velv-mo-m13-Q-15,1,1,15,9808,11012,0,9034,8412,0,0,0,0,false,false,false,0,0,0,false,false,false,0,0,0,0,0,0,1,2,true,0,0,1,0,2,0,0,0,0,0,0,0,0,true,0,0,1,0,0,1,0,3,0,0,0,0,
