TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-mo-m16-Q-1,Q-1,30-0 R,5908,5905,0,5906,8136,0,30,0,0,30,0,0,0,0,0,0,0,0,
1617velv-mo-m16-Q-2,Q-2,46-5 R,9798,5907,0,11785,11092,0,46,5,0,41,0,0,5,5,0,0,0,0,
1617velv-mo-m16-Q-3,Q-3,30-50 B,12381,11092,0,11678,5905,0,30,25,0,5,0,0,50,10,0,40,0,0,
1617velv-mo-m16-Q-4,Q-4,40-70 B,8136,9798,0,5906,12381,0,40,0,0,40,0,0,70,40,0,10,0,20,
1617velv-mo-m16-Q-5,Q-5,10-43 B,5908,11785,0,5907,11678,0,10,0,0,10,0,0,43,10,0,33,0,0,
1617velv-mo-m16-Q-6,Q-6,5-55 B,12381,5907,0,11678,5906,0,5,0,0,5,0,0,55,10,0,45,0,0,
1617velv-mo-m16-Q-7,Q-7,0-40 B,11092,9798,0,8136,5908,0,0,0,0,0,0,0,40,0,0,40,0,0,
1617velv-mo-m16-Q-8,Q-8,30-20 R,5905,5906,0,11785,9798,0,30,10,0,20,0,0,20,0,0,20,0,0,
1617velv-mo-m16-Q-9,Q-9,30-40 B,12381,11785,0,11092,5908,0,30,15,0,15,0,0,40,0,0,40,0,0,
1617velv-mo-m16-Q-10,Q-10,40-16 R,8136,11678,0,5905,5907,0,40,10,0,30,0,0,16,5,0,11,0,0,
1617velv-mo-m16-Q-11,Q-11,15-49 B,12381,5905,0,5907,5908,0,15,15,0,0,0,0,49,5,0,44,0,0,
1617velv-mo-m16-Q-12,Q-12,40-20 R,5906,9798,0,11092,11678,0,40,10,0,30,0,0,20,10,0,10,0,0,
1617velv-mo-m16-Q-13,Q-13,60-85 B,11785,11678,0,8136,12381,0,60,5,0,45,0,10,85,30,0,15,40,0,
