TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mo-m23,4964,Rolla Patriots,1,10,317,155,5,,1.00,88.6,77.2,91.9,79.2,23.5,21.4,0.0,0.0,37.8,34.1,21.8,18.0,5.5,3.5,-8.8,-5.5,
1617velv-mo-m23,8620,Wormgear Warriors,2,8,330,175,5,,0.80,65.5,63.8,68.9,65.8,31.7,29.4,0.0,0.0,31.1,29.2,9.0,9.1,-6.3,-4.1,2.8,2.1,
1617velv-mo-m23,3740,RoboRams,3,8,295,200,5,,0.80,57.9,57.8,69.5,65.7,33.1,30.5,0.0,0.0,31.5,29.4,10.0,8.9,-16.7,-11.2,5.0,3.3,
1617velv-mo-m23,10588,The Luxons,4,8,229,105,5,,0.80,18.7,24.9,21.1,26.1,4.8,7.8,0.0,0.0,17.3,18.6,-7.1,-4.4,3.7,2.8,-6.1,-4.0,
1617velv-mo-m23,6168,Maniacal Mechanics,5,6,250,200,5,,0.60,60.7,58.7,74.4,67.4,30.7,28.1,0.0,0.0,32.4,29.6,4.3,5.1,-6.6,-4.2,-7.0,-4.4,
1617velv-mo-m23,7547,JoeBotics,6,6,190,330,5,,0.60,70.2,66.9,26.4,30.8,7.2,9.3,0.0,0.0,1.4,5.7,15.3,13.2,46.3,38.4,-2.6,-2.3,
1617velv-mo-m23,6377,SixtyThreeSeventySeven,7,4,350,330,5,,0.40,105.7,93.1,71.7,61.9,30.3,27.6,0.0,0.0,20.5,18.5,8.6,8.4,46.3,38.4,-12.3,-7.2,
1617velv-mo-m23,10715,Belle Valley,8,4,166,111,5,,0.40,29.4,27.2,30.6,28.1,5.9,6.2,0.0,0.0,17.5,17.1,0.7,0.4,5.3,3.4,-6.5,-4.2,
1617velv-mo-m23,3591,The QUARKS,9,2,299,80,5,,0.20,21.0,24.8,-20.9,-10.1,17.8,17.3,0.0,0.0,10.2,12.5,-1.3,-1.2,-5.7,-3.9,47.7,38.9,
1617velv-mo-m23,10254,MCHS RoboLions,10,2,209,130,5,,0.20,15.0,21.8,-21.6,-10.8,1.4,3.6,0.0,0.0,22.1,21.3,0.7,2.3,-9.2,-5.6,45.8,38.2,
1617velv-mo-m23,8862,Cyber Ducks,11,2,157,105,5,,0.20,-17.8,-3.1,-17.4,-2.7,-1.0,2.7,0.0,0.0,-11.7,-5.1,3.9,4.7,-9.0,-5.6,8.7,5.1,
1617velv-mo-m23,5893,Direct Current,12,0,192,55,5,,0.00,14.8,16.4,39.0,32.1,3.8,4.3,0.0,0.0,16.5,14.7,0.2,0.9,-5.5,-3.8,-18.6,-11.9,
