TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-mo-m8-Q-1,Q-1,10-41 B,11771,6547,0,5906,10173,0,10,10,0,0,0,0,41,0,0,41,0,0,false,false,false,false,
1617velv-mo-m8-Q-2,Q-2,122-10 R,10188,9808,0,10460,11457,0,122,40,0,22,20,40,10,10,0,0,0,0,false,false,false,false,
1617velv-mo-m8-Q-3,Q-3,60-27 R,9849,6751,0,5905,11874,0,60,0,0,20,40,0,27,5,0,22,0,0,false,false,false,false,
1617velv-mo-m8-Q-4,Q-4,35-80 B,10476,10173,0,9808,11457,0,35,5,0,30,0,0,80,10,0,10,20,40,false,false,false,false,
1617velv-mo-m8-Q-5,Q-5,70-11 R,9849,5905,0,11771,10188,0,70,0,0,30,40,0,11,0,0,11,0,0,false,false,false,false,
1617velv-mo-m8-Q-6,Q-6,10-10 T,5906,11874,0,10476,10460,0,10,0,0,0,0,10,10,0,0,10,0,0,false,false,false,false,
1617velv-mo-m8-Q-7,Q-7,21-55 B,6751,11457,0,6547,9849,0,21,0,0,21,0,0,55,10,0,25,20,0,false,false,false,false,
1617velv-mo-m8-Q-8,Q-8,0-45 B,5906,11771,0,10173,10188,0,0,0,0,0,0,0,45,5,0,40,0,0,true,false,true,false,
1617velv-mo-m8-Q-9,Q-9,50-60 B,11874,10460,0,6547,5905,0,50,10,0,0,0,40,60,10,0,50,0,0,false,false,false,false,
1617velv-mo-m8-Q-10,Q-10,40-0 R,10476,9808,0,6751,11771,0,40,0,0,40,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-mo-m8-Q-11,Q-11,25-26 B,11457,10173,0,5905,5906,0,25,5,0,20,0,0,26,5,0,21,0,0,false,false,false,false,
1617velv-mo-m8-Q-12,Q-12,35-40 B,10188,9849,0,11874,9808,0,35,5,0,30,0,0,40,10,0,10,20,0,false,false,false,false,
1617velv-mo-m8-Q-13,Q-13,55-10 R,6547,10460,0,10476,6751,0,55,10,0,45,0,0,10,0,0,10,0,0,false,false,false,false,
1617velv-mo-m8-Q-14,Q-14,20-31 B,11457,5906,0,11874,9849,0,20,10,0,10,0,0,31,0,0,31,0,0,false,false,false,false,
1617velv-mo-m8-Q-15,Q-15,10-45 B,10476,6547,0,5905,10188,0,10,5,0,5,0,0,45,5,0,40,0,0,false,false,false,false,
1617velv-mo-m8-Q-16,Q-16,10-50 B,10460,6751,0,11771,10173,0,10,10,0,0,0,0,50,10,0,40,0,0,false,false,false,false,
1617velv-mo-m8-Q-17,Q-17,120-10 R,9808,5905,0,5906,6547,0,120,70,0,40,10,0,10,10,0,0,0,0,false,true,false,true,
1617velv-mo-m8-Q-18,Q-18,55-30 R,10460,10173,0,10476,9849,0,55,5,0,30,20,0,30,0,0,10,20,0,true,false,true,true,
1617velv-mo-m8-Q-19,Q-19,60-23 R,9808,11771,0,11874,11457,0,60,0,0,30,20,10,23,10,0,13,0,0,true,true,true,true,
1617velv-mo-m8-Q-20,Q-20,62-20 R,10188,5906,0,6751,10173,0,62,30,0,32,0,0,20,10,0,10,0,0,true,true,true,true,
