TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-mo-q6d1-Q-1,Q-1,100-71 R,6127,12381,0,10651,408,0,100,45,0,35,20,0,71,0,0,31,40,0,
1617velv-mo-q6d1-Q-2,Q-2,75-25 R,5560,5187,0,11462,7467,0,75,10,0,25,40,0,25,0,0,25,0,0,
1617velv-mo-q6d1-Q-3,Q-3,80-20 R,6073,5906,0,3591,11965,0,80,30,0,50,0,0,20,15,0,5,0,0,
1617velv-mo-q6d1-Q-4,Q-4,1-70 B,201600281,9099,0,7209,11073,0,1,0,0,1,0,0,70,25,0,25,20,0,
1617velv-mo-q6d1-Q-5,Q-5,40-25 R,7139,9625,0,10451,6285,0,40,10,0,30,0,0,25,15,0,10,0,0,
1617velv-mo-q6d1-Q-6,Q-6,160-0 R,4194,11126,0,7984,5908,0,160,65,0,55,40,0,0,0,0,0,0,0,
1617velv-mo-q6d1-Q-7,Q-7,10-20 B,408,7467,0,201600281,5906,0,10,0,0,10,0,0,20,0,0,20,0,0,
1617velv-mo-q6d1-Q-8,Q-8,55-0 R,12381,7209,0,11965,9625,0,55,40,0,15,0,0,0,0,0,0,0,0,
1617velv-mo-q6d1-Q-9,Q-9,85-90 B,11073,11126,0,6285,5187,0,85,40,0,45,0,0,90,35,0,15,40,0,
1617velv-mo-q6d1-Q-10,Q-10,80-90 B,10651,3591,0,4194,5560,0,80,30,0,30,20,0,90,60,0,30,0,0,
1617velv-mo-q6d1-Q-11,Q-11,45-5 R,6073,10451,0,9099,5908,0,45,5,0,30,0,10,5,5,0,0,0,0,
1617velv-mo-q6d1-Q-12,Q-12,80-65 R,6127,11462,0,7984,7139,0,80,35,0,45,0,0,65,35,0,30,0,0,
1617velv-mo-q6d1-Q-13,Q-13,120-0 R,4194,6285,0,5906,12381,0,120,75,0,45,0,0,0,0,0,0,0,0,
1617velv-mo-q6d1-Q-14,Q-14,21-80 B,11073,10651,0,6073,7467,0,21,0,0,21,0,0,80,40,0,40,0,0,
1617velv-mo-q6d1-Q-15,Q-15,85-50 R,5908,5187,0,11965,6127,0,85,25,0,20,40,0,50,15,0,35,0,0,
1617velv-mo-q6d1-Q-16,Q-16,50-80 B,408,7984,0,7209,10451,0,50,0,0,10,40,0,80,20,0,50,10,0,
1617velv-mo-q6d1-Q-17,Q-17,65-60 R,9099,7139,0,5560,11126,0,65,25,0,40,0,0,60,40,0,20,0,0,
1617velv-mo-q6d1-Q-18,Q-18,30-110 B,11462,201600281,0,3591,9625,0,30,0,0,20,0,10,110,40,0,50,20,0,
1617velv-mo-q6d1-Q-19,Q-19,30-72 B,11965,11073,0,4194,10451,0,30,30,0,0,0,0,72,30,0,42,0,0,
1617velv-mo-q6d1-Q-20,Q-20,96-85 R,5906,7209,0,7139,5908,0,96,60,0,26,10,0,85,40,0,45,0,0,
1617velv-mo-q6d1-Q-21,Q-21,40-80 B,9099,11462,0,6285,10651,0,40,15,0,25,0,0,80,35,0,45,0,0,
1617velv-mo-q6d1-Q-22,Q-22,20-75 B,5187,7984,0,201600281,12381,0,20,10,0,10,0,0,75,10,0,45,20,0,
1617velv-mo-q6d1-Q-23,Q-23,45-30 R,6073,5560,0,9625,408,0,45,10,0,35,0,0,30,10,0,10,10,0,
1617velv-mo-q6d1-Q-24,Q-24,55-130 B,3591,7467,0,11126,6127,0,55,30,0,25,0,0,130,25,0,65,40,0,
1617velv-mo-q6d1-Q-25,Q-25,42-30 R,10451,10651,0,5906,5187,0,42,10,0,32,0,0,30,0,0,10,20,0,
1617velv-mo-q6d1-Q-26,Q-26,70-30 R,6285,5560,0,201600281,5908,0,70,40,0,30,0,0,30,0,0,30,0,0,
1617velv-mo-q6d1-Q-27,Q-27,195-90 R,7209,6127,0,4194,6073,0,195,105,0,50,40,0,90,40,0,50,0,0,
1617velv-mo-q6d1-Q-28,Q-28,90-35 R,12381,3591,0,11073,7139,0,90,30,0,50,10,0,35,10,0,25,0,0,
1617velv-mo-q6d1-Q-29,Q-29,15-65 B,11965,408,0,11462,11126,0,15,0,0,15,0,0,65,25,0,40,0,0,
1617velv-mo-q6d1-Q-30,Q-30,20-20 T,9625,7467,0,7984,9099,0,20,10,0,10,0,0,20,0,0,20,0,0,
1617velv-mo-q6d1-SF-1-1,SF-1-1,135-50 R,7209,6073,3591,4194,6285,12381,135,105,0,30,0,0,50,5,0,45,0,0,
1617velv-mo-q6d1-SF-2-1,SF-2-1,105-110 B,6127,11126,5187,5560,7139,408,105,55,0,50,0,0,110,70,0,40,0,0,
1617velv-mo-q6d1-SF-1-2,SF-1-2,120-95 R,7209,6073,3591,4194,6285,12381,120,65,0,35,20,0,95,65,0,30,0,0,
1617velv-mo-q6d1-SF-2-2,SF-2-2,90-95 B,6127,11126,5187,5560,7139,408,90,40,0,50,0,0,95,35,0,20,40,0,
1617velv-mo-q6d1-F-1,F-1,150-100 R,7209,6073,3591,5560,7139,408,150,60,0,50,40,0,100,25,0,35,40,0,
1617velv-mo-q6d1-F-2,F-2,130-75 R,7209,6073,3591,5560,7139,408,130,40,0,90,0,0,75,35,0,0,40,0,
