TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mo-q7,4964,Rolla Patriots,1,10,240,225,5,WC,1.00,118.4,103.7,117.6,102.8,36.2,32.9,0.0,0.0,47.0,41.1,37.2,30.5,-2.0,-1.1,2.8,1.9,
1617velv-mo-q7,3409,Astromechs,2,10,196,225,5,FC,1.00,73.4,67.6,73.2,67.4,33.9,30.4,0.0,0.0,34.9,32.0,3.6,4.4,1.0,0.5,-0.9,-0.4,
1617velv-mo-q7,5190,Technoramic,3,10,181,145,5,SC,1.00,33.6,37.2,25.5,30.6,4.5,6.9,0.0,0.0,15.3,17.6,4.4,5.4,9.4,7.1,-1.3,-0.6,
1617velv-mo-q7,11684,GSA Cardinals,4,10,105,115,5,SC,1.00,31.4,31.0,35.2,33.4,10.3,9.9,0.0,0.0,22.1,20.9,0.9,1.1,-1.9,-1.2,-1.9,-1.3,
1617velv-mo-q7,5119,The BARYONS,5,8,290,180,5,F1,0.80,95.3,81.8,96.1,82.4,34.5,30.9,0.0,0.0,45.7,38.0,13.8,12.2,1.3,0.6,-2.1,-1.2,
1617velv-mo-q7,11126,Revolution Robotics,6,8,225,120,5,,0.80,60.3,53.5,64.2,55.8,30.9,26.6,0.0,0.0,22.3,19.4,9.0,8.6,-2.0,-1.3,-1.9,-1.1,
1617velv-mo-q7,5035,WIRED,7,8,200,210,5,W1,0.80,102.7,87.4,94.9,80.9,37.9,33.0,0.0,0.0,58.7,48.7,5.1,5.1,1.0,0.4,6.9,6.0,
1617velv-mo-q7,6127,i-Bots,8,8,190,110,5,,0.80,30.9,30.5,32.9,31.6,11.8,11.4,0.0,0.0,27.5,24.4,-5.8,-4.0,-2.5,-1.5,0.6,0.3,
1617velv-mo-q7,6168,Maniacal Mechanics,9,8,115,90,5,W2,0.80,43.9,38.5,45.3,39.5,10.4,8.8,0.0,0.0,39.9,33.8,-2.7,-2.1,-3.7,-2.1,2.2,1.1,
1617velv-mo-q7,8403,Kilobytes,10,6,295,165,5,S1,0.60,52.9,49.9,56.4,52.0,26.1,22.9,0.0,0.0,22.5,21.6,8.6,7.8,-4.3,-2.6,0.8,0.4,
1617velv-mo-q7,6153,Knights of the Data Table,11,6,264,130,5,,0.60,38.9,39.6,39.5,39.6,8.2,9.9,0.0,0.0,20.8,21.4,6.6,5.8,3.3,2.2,-3.8,-2.3,
1617velv-mo-q7,10715,Belle Valley,12,6,220,92,5,S2,0.60,13.7,19.9,12.0,18.9,9.9,11.7,0.0,0.0,-3.5,1.7,7.0,6.1,0.3,0.2,1.4,0.7,
1617velv-mo-q7,10265,Force Green,13,6,190,195,5,F2,0.60,71.8,63.8,73.0,64.6,51.0,43.5,0.0,0.0,21.3,18.7,0.5,2.2,-1.0,-0.8,-0.1,-0.0,
1617velv-mo-q7,7525,Nerdy Birds,14,6,190,135,5,,0.60,15.5,20.2,14.4,19.1,5.2,6.1,0.0,0.0,9.5,11.8,1.0,2.5,-0.3,-0.4,1.4,1.4,
1617velv-mo-q7,5893,Direct Current,15,6,185,135,5,S1,0.60,38.0,37.6,31.6,32.1,16.6,16.1,0.0,0.0,9.5,11.1,5.7,4.8,6.3,5.4,0.1,0.0,
1617velv-mo-q7,10588,The Luxons,16,6,180,80,5,,0.60,28.0,29.5,19.2,22.6,-0.1,2.8,0.0,0.0,11.2,12.1,8.5,7.7,8.4,6.7,0.4,0.1,
1617velv-mo-q7,11514,TechNOlogic,17,6,84,50,5,,0.60,12.0,13.6,10.3,12.7,4.2,4.6,0.0,0.0,8.5,9.2,-0.9,-0.6,0.3,0.2,1.4,0.7,
