TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-mom13-Q-1,Q-1,125-0 R,4587,9034,0,9796,11012,0,125,45,0,40,40,0,0,0,0,0,0,0,
1617velv-mom13-Q-2,Q-2,110-41 R,9808,10188,0,11771,10127,0,110,65,0,45,0,0,41,0,0,1,40,0,
1617velv-mom13-Q-3,Q-3,20-20 T,9966,8412,0,10916,11457,0,20,0,0,20,0,0,20,0,0,20,0,0,
1617velv-mom13-Q-4,Q-4,0-35 B,9034,11012,0,10188,11771,0,0,0,0,0,0,0,35,0,0,25,0,10,
1617velv-mom13-Q-5,Q-5,60-75 B,9808,10916,0,9966,4587,0,60,0,0,20,0,40,75,15,0,20,40,0,
1617velv-mom13-Q-6,Q-6,60-31 R,9796,10127,0,8412,11457,0,60,0,0,20,40,0,31,0,0,31,0,0,
1617velv-mom13-Q-7,Q-7,0-60 B,10916,9966,0,10188,11012,0,0,0,0,0,0,0,60,0,0,60,0,0,
1617velv-mom13-Q-8,Q-8,50-86 B,10127,8412,0,11771,4587,0,50,0,0,10,40,0,86,15,0,31,40,0,
1617velv-mom13-Q-9,Q-9,46-40 R,11457,9796,0,9034,9808,0,46,5,0,41,0,0,40,40,0,0,0,0,
1617velv-mom13-Q-10,Q-10,75-65 R,4587,8412,0,9966,10188,0,75,15,0,20,40,0,65,30,0,35,0,0,
1617velv-mom13-Q-11,Q-11,40-51 B,9034,9796,0,10916,10127,0,40,10,0,30,0,0,51,0,0,11,40,0,
1617velv-mom13-Q-12,Q-12,1-80 B,11012,11771,0,11457,9808,0,1,0,0,1,0,0,80,40,0,40,0,0,
1617velv-mom13-Q-13,Q-13,80-25 R,10127,10188,0,9966,9796,0,80,0,0,40,40,0,25,10,0,15,0,0,
1617velv-mom13-Q-14,Q-14,20-100 B,11457,11771,0,4587,10916,0,20,0,0,20,0,0,100,30,0,30,40,0,
1617velv-mom13-Q-15,Q-15,90-55 R,9808,11012,0,9034,8412,0,90,70,0,20,0,0,55,10,0,5,40,0,
