TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-mom16,5906,Camdenton 4-H LASER Middle School #2,1,8,85,70,5,,0.80,16.6,18.2,15.2,16.5,8.1,7.8,0.0,0.0,7.3,9.0,-2.5,-1.7,3.7,3.1,-2.2,-1.5,
1617velv-mom16,5908,Camdenton 4-H LASER Middle School #4,2,8,55,49,5,,0.80,30.8,23.7,30.5,23.7,0.5,-0.0,0.0,0.0,30.3,23.9,-1.1,-0.7,1.1,0.5,-0.8,-0.6,
1617velv-mom16,11678,Arrow Flight,3,6,126,60,5,,0.60,39.4,31.8,37.7,30.7,7.4,6.0,0.0,0.0,30.5,24.8,-0.5,-0.4,2.0,1.4,-0.3,-0.3,
1617velv-mom16,8136,Raytown C2,4,6,106,85,5,,0.60,12.1,17.0,8.6,13.5,0.8,2.2,0.0,0.0,5.7,9.6,7.7,6.3,-2.1,-1.3,5.6,4.7,
1617velv-mom16,5905,Camdenton 4-H LASER Middle School #1,5,6,81,50,5,,0.60,2.9,7.5,4.2,8.3,1.2,2.3,0.0,0.0,3.9,6.7,-0.3,-0.3,-1.9,-1.2,0.6,0.3,
1617velv-mom16,5907,Camdenton 4-H LASER Middle School #3,6,6,51,49,5,,0.60,5.7,11.1,7.6,12.2,-0.8,0.7,0.0,0.0,8.2,11.5,-0.8,-0.6,-1.0,-0.5,-0.9,-0.6,
1617velv-mom16,12381,Tiger_STEAM,7,4,165,85,5,,0.40,33.9,27.1,28.9,23.1,19.0,16.0,0.0,0.0,5.0,2.9,6.2,5.3,3.6,2.8,1.4,1.2,
1617velv-mom16,9798,N.E.R.D.S,8,4,85,46,5,,0.40,23.5,18.1,19.7,15.2,1.1,0.7,0.0,0.0,23.0,18.0,-0.6,-0.5,-0.0,-0.2,3.8,3.1,
1617velv-mom16,11092,The Dark Side,9,2,85,40,5,,0.20,-6.7,0.6,-4.5,1.9,2.6,3.5,0.0,0.0,-7.1,-1.5,-0.7,-0.5,-1.5,-0.9,-0.7,-0.5,
1617velv-mom16,11785,Code 31,10,0,115,60,5,,0.00,0.8,6.6,0.5,5.9,-1.1,0.5,0.0,0.0,1.6,5.5,-0.7,-0.5,1.0,1.1,-0.7,-0.5,
