TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-mom17,4211,The Bombers,1,10,295,170,5,,
1617velv-mom17,11203,DURT (DeSmet United Robotics Team),2,8,240,170,5,,
1617velv-mom17,5119,The BARYONS,3,8,180,100,5,,
1617velv-mom17,3658,The BOSONS,4,6,210,130,5,,
1617velv-mom17,9856,Eagle Robotics,5,6,185,150,5,,
1617velv-mom17,7547,JoeBotics,6,6,180,65,5,,
1617velv-mom17,5439,The GLUONS,7,4,235,170,5,,
1617velv-mom17,6215,The Gracious Professionals,8,4,225,95,5,,
1617velv-mom17,7525,Nerdy Birds,9,2,160,65,5,,
1617velv-mom17,9328,Oakville Tigers,10,2,145,65,5,,
1617velv-mom17,9612,Oakville Robotics 2,11,2,115,51,5,,
1617velv-mom17,6207,The Phoenix,12,2,110,80,5,,
