TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-moq5,3409,Astromechs,1,10,180,135,5,WC,
1617velv-moq5,8819,Mechanicker,2,10,134,125,5,FC,
1617velv-moq5,6889,Robo Crusaders,3,9,254,125,5,SC,
1617velv-moq5,4587,Red Hot Techie Peppers,4,8,275,170,5,SC,
1617velv-moq5,10188,T-N-T,5,8,235,135,5,F1,
1617velv-moq5,10173,Ravonics Gemini,6,8,152,140,5,F2,
1617velv-moq5,11457,STARbots,7,8,87,71,5,,
1617velv-moq5,10476,Iron Cats,8,6,250,130,5,S2,
1617velv-moq5,10127,Tesla's Knights,9,6,175,75,5,W2,
1617velv-moq5,9808,Team Chargers,10,5,346,170,5,S1,
1617velv-moq5,8412,Gryphons,11,5,190,80,5,,
1617velv-moq5,11908,Gardner Edgerton Electric Kiwis,12,5,148,85,5,,
1617velv-moq5,9960,N.E.R.D.S,13,4,281,150,5,W1,
1617velv-moq5,6547,CAPS Cobalt Colts,14,4,176,140,5,S2,
1617velv-moq5,8136,Raytown C2,15,4,146,132,5,,
1617velv-moq5,9966,This Side Up,16,4,146,125,5,,
1617velv-moq5,10916,Eagle FTC Robotics,17,4,144,100,5,,
1617velv-moq5,12135,Finite Automata,18,2,219,90,5,,
1617velv-moq5,11357,CrusaderBots,19,2,120,80,5,S1,
1617velv-moq5,11012,FRONTIER STEM,20,2,105,150,5,,
1617velv-moq5,6751,Robo Vikings,21,2,70,25,5,,
1617velv-moq5,10460,Bot Squad,22,0,141,51,5,,
1617velv-moq5,11874,Blue Valley CAPS Metal Mavericks,23,0,138,40,5,,
