TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-nc-du-Q-1,Q-1,50-65 B,5270,2827,0,9063,9977,0,50,10,0,40,0,0,65,5,0,10,40,10,false,false,false,false,
1617velv-nc-du-Q-2,Q-2,175-25 R,3587,8569,0,3916,11543,0,175,65,0,50,20,40,25,20,0,5,0,0,false,false,false,false,
1617velv-nc-du-Q-3,Q-3,13-41 B,9062,6078,0,11614,10682,0,13,0,0,3,0,10,41,0,0,41,0,0,false,false,false,false,
1617velv-nc-du-Q-4,Q-4,20-75 B,9478,10668,0,11622,7083,0,20,10,0,0,10,0,75,30,0,45,0,0,false,false,false,false,
1617velv-nc-du-Q-5,Q-5,85-20 R,11424,6123,0,12251,12010,0,85,35,0,50,0,0,20,15,0,5,0,0,false,false,false,false,
1617velv-nc-du-Q-6,Q-6,0-50 B,9076,10307,0,10637,8947,0,0,0,0,0,0,0,50,15,0,35,0,0,false,false,false,false,
1617velv-nc-du-Q-7,Q-7,50-55 B,9062,3916,0,10668,9977,0,50,25,0,15,10,0,55,10,0,35,10,0,false,false,false,false,
1617velv-nc-du-Q-8,Q-8,50-25 R,11543,12010,0,2827,6078,0,50,0,0,40,0,10,25,15,0,10,0,0,false,false,false,false,
1617velv-nc-du-Q-9,Q-9,10-50 B,10637,11622,0,3587,11424,0,10,10,0,0,0,0,50,5,0,45,0,0,false,false,false,false,
1617velv-nc-du-Q-10,Q-10,31-70 B,11614,5270,0,6123,10307,0,31,10,0,11,10,0,70,35,0,35,0,0,false,false,false,false,
1617velv-nc-du-Q-11,Q-11,55-35 R,9063,8947,0,8569,9478,0,55,0,0,55,0,0,35,10,0,5,20,0,false,false,false,false,
1617velv-nc-du-Q-12,Q-12,75-0 R,10682,7083,0,9076,12251,0,75,30,0,45,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-nc-du-Q-13,Q-13,70-6 R,10668,3587,0,5270,6078,0,70,10,0,40,10,10,6,5,0,1,0,0,false,false,false,false,
1617velv-nc-du-Q-14,Q-14,61-25 R,10637,6123,0,9063,9062,0,61,0,0,61,0,0,25,20,0,5,0,0,false,false,false,false,
1617velv-nc-du-Q-15,Q-15,50-0 R,2827,9478,0,12251,10307,0,50,15,0,35,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-nc-du-Q-16,Q-16,50-0 R,9076,8569,0,11614,11622,0,50,10,0,40,0,0,0,0,0,0,0,0,false,false,false,false,
1617velv-nc-du-Q-17,Q-17,20-95 B,11424,9977,0,11543,7083,0,20,10,0,10,0,0,95,35,0,60,0,0,false,false,false,false,
1617velv-nc-du-Q-18,Q-18,95-25 R,12010,3916,0,10682,8947,0,95,10,0,65,20,0,25,10,0,15,0,0,false,false,false,false,
