TournamentMatchCode,Div,MType,MNum,Red1,Red2,Red3,Blue1,Blue2,Blue3,R1DQ,R2DQ,R3DQ,R1YC,R2YC,R3YC,B1DQ,B2DQ,B3DQ,B1YC,B2YC,B3YC,R1Sur,R2Sur,R3Sur,B1Sur,B2Sur,B3Sur,Saved,RABeac,RACap,RACent,RACorn,RA1Pk,RA2Pk,RTBeac,RTCent,RTCorn,RECap,RPMin,RPMaj,RPMinRx,RPMajRx,BABeac,BACap,BACent,BACorn,BA1Pk,BA2Pk,BTBeac,BTCent,BTCorn,BECap,BPMin,BPMaj,BPMinRx,BPMajRx,
1617velv-nc-ra-Q-1,1,1,1,9021,6183,0,8947,11969,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,1,0,0,0,0,FALSE,0,0,0,0,4,1,0,0,0,0,1,0,
1617velv-nc-ra-Q-2,1,1,2,6123,2827,0,11424,12010,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,2,2,0,0,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-nc-ra-Q-3,1,1,3,8569,5795,0,7083,2901,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,1,0,3,0,0,0,0,0,TRUE,1,0,0,0,2,1,0,0,0,0,0,0,
1617velv-nc-ra-Q-4,1,1,4,11588,8534,0,9581,10307,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,1,0,2,1,0,0,0,0,TRUE,0,0,1,0,1,0,0,0,0,0,1,0,
1617velv-nc-ra-Q-5,1,1,5,3587,7105,0,5270,731,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,1,0,1,6,0,3,0,0,0,0,0,FALSE,0,0,0,0,2,0,0,0,0,0,0,0,
1617velv-nc-ra-Q-6,1,1,6,10195,6183,0,11424,8569,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,2,0,0,0,2,3,0,0,0,0,12,0,1,FALSE,0,0,0,0,1,0,0,0,12,0,0,0,
1617velv-nc-ra-Q-7,1,1,7,11969,2901,0,3587,11588,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,3,0,0,2,0,0,0,0,
1617velv-nc-ra-Q-8,1,1,8,2827,7105,0,8534,8947,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,2,0,0,0,0,0,0,0,TRUE,0,0,3,0,4,3,0,0,0,0,0,0,
1617velv-nc-ra-Q-9,1,1,9,10307,7083,0,12010,10195,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,2,0,0,0,2,4,0,0,0,0,0,0,0,FALSE,2,0,0,0,1,0,0,0,0,0,0,0,
1617velv-nc-ra-Q-10,1,1,10,5270,9581,0,5795,6123,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,1,0,0,0,0,0,0,0,0,FALSE,1,0,0,0,1,3,0,0,0,0,0,0,
1617velv-nc-ra-Q-11,1,1,11,731,7083,0,9021,2827,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,3,1,0,0,0,0,0,0,0,TRUE,1,0,0,2,0,1,0,0,0,0,0,0,
1617velv-nc-ra-Q-12,1,1,12,8947,12010,0,5270,11588,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,1,0,0,1,0,TRUE,0,0,1,0,2,1,0,0,0,0,0,0,0,TRUE,2,0,0,0,2,1,0,0,0,0,0,0,
1617velv-nc-ra-Q-13,1,1,13,11424,5795,0,8534,731,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,1,0,0,0,0,0,1,1,FALSE,2,0,0,0,0,2,0,0,0,0,0,0,1,TRUE,1,0,0,1,4,9,0,0,0,0,0,0,
1617velv-nc-ra-Q-14,1,1,14,11969,9581,0,7105,10195,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,0,0,0,0,0,0,0,0,1,0,1,0,0,TRUE,1,0,1,0,4,3,0,3,1,0,1,0,
1617velv-nc-ra-Q-15,1,1,15,6123,8569,0,3587,9021,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,FALSE,1,0,0,0,4,0,0,0,0,0,0,0,0,TRUE,0,0,1,0,0,0,0,0,0,0,0,0,
1617velv-nc-ra-Q-16,1,1,16,10307,2901,0,6183,7105,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,TRUE,2,0,0,0,3,2,0,3,0,0,0,0,
1617velv-nc-ra-Q-17,1,1,17,7083,11424,0,3587,9581,0,0,0,0,FALSE,FALSE,FALSE,0,0,0,FALSE,FALSE,FALSE,0,0,0,0,0,0,1,0,TRUE,1,0,0,0,1,3,0,0,0,0,1,0,0,TRUE,0,0,1,0,2,0,0,0,1,0,0,0,
