TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-nc-ra,8534,Mechalodons,1,9,155,140,5,WC,0.90,45.9,40.1,38.3,35.3,13.3,10.5,0.0,0.0,27.5,25.5,2.6,2.7,2.6,1.3,5.1,3.4,
1617velv-nc-ra,6123,Mechanical Marauders,2,9,100,55,5,FC,0.90,9.0,13.3,13.2,15.8,-7.1,-2.9,0.0,0.0,21.0,19.3,-4.9,-3.3,-0.1,0.1,-4.1,-2.7,
1617velv-nc-ra,5795,Back To The Drawing Board,3,8,225,110,5,W1,0.80,48.2,44.8,64.9,55.0,33.8,29.1,0.0,0.0,6.7,7.9,14.4,11.5,-6.7,-3.8,-10.1,-6.4,
1617velv-nc-ra,7105,SWIFT Robotics,4,8,95,130,5,F1,0.80,51.3,48.4,61.3,53.4,6.1,7.4,0.0,0.0,23.1,20.9,31.4,25.4,-9.2,-5.4,-0.8,0.3,
1617velv-nc-ra,6183,Thunderducks,5,7,120,185,5,SC,0.70,49.8,46.8,21.5,25.0,14.3,14.0,0.0,0.0,14.2,14.0,-2.0,0.1,23.3,18.5,5.1,3.1,
1617velv-nc-ra,7083,Team Tundrabots,6,6,185,75,5,SC,0.60,18.4,21.2,30.2,27.5,5.4,6.5,0.0,0.0,16.8,16.3,1.1,0.5,-4.8,-2.3,-6.9,-4.1,
1617velv-nc-ra,11588,Purple Gears Rookie Team,7,6,155,65,5,W2,0.60,23.9,25.6,31.6,28.8,0.3,3.1,0.0,0.0,14.9,14.3,12.0,9.3,-3.2,-1.2,-4.4,-2.1,
1617velv-nc-ra,10195,Night Owls,8,6,153,185,5,S2,0.60,79.1,67.8,44.8,40.7,22.1,18.6,0.0,0.0,24.2,21.9,1.7,2.5,31.1,24.8,3.2,2.2,
1617velv-nc-ra,3587,Unparalleled Processing,9,6,125,110,5,,0.60,36.1,33.0,26.7,28.1,11.9,10.8,0.0,0.0,10.9,10.7,8.5,9.3,4.8,2.1,4.7,2.7,
1617velv-nc-ra,8947,Techtonics,10,6,125,75,5,F2,0.60,19.4,22.3,28.4,27.5,1.3,3.0,0.0,0.0,22.7,21.8,0.6,0.2,-5.1,-2.8,-3.8,-2.5,
1617velv-nc-ra,10307,Tardigr-8,11,6,95,75,5,,0.60,29.5,26.3,27.3,24.5,13.2,11.5,0.0,0.0,11.8,11.4,2.4,1.6,2.1,1.6,0.1,0.0,
1617velv-nc-ra,731,Wannabee Strange,12,5,165,140,5,S1,0.50,37.9,34.0,32.2,30.8,7.4,7.1,0.0,0.0,28.2,25.4,-0.9,-0.4,3.2,1.7,2.5,1.3,
1617velv-nc-ra,2827,Artificial Stupidity,13,5,115,55,5,,0.50,14.5,14.8,9.1,12.3,15.3,12.7,0.0,0.0,2.2,4.2,-6.5,-3.7,3.4,1.5,2.0,0.9,
1617velv-nc-ra,9021,TMSA Cyber Tigers,14,5,113,95,5,,0.50,-1.2,6.4,6.3,9.4,6.1,7.4,0.0,0.0,-1.9,0.9,1.4,1.4,-6.7,-3.4,-0.8,0.3,
1617velv-nc-ra,11424,Thales Academy Centurions,15,4,170,75,5,,0.40,32.1,29.1,4.5,8.1,17.1,15.0,0.0,0.0,13.6,13.0,-4.9,-2.7,6.4,3.7,21.2,17.2,
1617velv-nc-ra,8569,RoboKnights,16,4,135,55,5,S1,0.40,17.2,18.3,-5.6,-0.7,-0.0,1.8,0.0,0.0,6.5,7.3,11.5,9.5,-0.7,-0.4,23.5,19.2,
1617velv-nc-ra,12010,ChargerBots,17,4,125,55,5,,0.40,-4.9,3.5,8.4,11.4,-3.2,-0.2,0.0,0.0,5.8,8.2,0.2,-0.1,-7.6,-4.6,-5.6,-3.4,
1617velv-nc-ra,11969,RoboFalcons,18,2,25,55,5,,0.20,8.2,8.8,6.5,6.9,0.4,0.9,0.0,0.0,4.8,5.2,-2.1,-1.2,5.1,3.8,-3.4,-2.0,
1617velv-nc-ra,2901,Purple Gears,19,0,83,45,5,,0.00,3.6,6.1,-1.4,2.5,6.1,6.2,0.0,0.0,-1.9,0.1,0.0,0.3,-0.7,-0.7,5.7,4.1,
1617velv-nc-ra,9581,Ravens Robotics,20,0,75,30,5,,0.00,2.2,6.1,-2.6,0.8,-0.5,1.4,0.0,0.0,2.6,3.6,-1.8,-1.5,1.9,2.5,2.8,2.8,
1617velv-nc-ra,5270,Q,21,0,73,25,5,S2,0.00,6.7,8.3,8.7,9.3,6.1,5.4,0.0,0.0,1.3,2.7,0.2,0.9,-0.9,-0.7,-1.1,-0.3,
