TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-nc-sg-Q-1,Q-1,93-15 R,10195,11969,0,11709,8827,0,93,35,0,58,0,0,15,5,0,0,0,10,
1617velv-nc-sg-Q-2,Q-2,140-55 R,4210,10859,0,8534,12270,0,140,10,0,40,0,90,55,50,0,5,0,0,
1617velv-nc-sg-Q-3,Q-3,20-20 T,9021,11686,0,3391,9993,0,20,10,0,10,0,0,20,5,0,15,0,0,
1617velv-nc-sg-Q-4,Q-4,25-15 R,3976,7444,0,7682,6183,0,25,5,0,20,0,0,15,10,0,5,0,0,
1617velv-nc-sg-Q-5,Q-5,90-20 R,10491,731,0,4622,3372,0,90,60,0,30,0,0,20,10,0,10,0,0,
1617velv-nc-sg-Q-6,Q-6,25-130 B,10597,9990,0,5795,4210,0,25,25,0,0,0,0,130,30,0,60,40,0,
1617velv-nc-sg-Q-7,Q-7,55-110 B,7444,10859,0,731,11709,0,55,10,0,45,0,0,110,15,0,15,0,80,
1617velv-nc-sg-Q-8,Q-8,140-40 R,8534,8827,0,10597,4622,0,140,60,0,40,40,0,40,0,0,0,0,40,
1617velv-nc-sg-Q-9,Q-9,26-180 B,11969,7682,0,5795,9993,0,26,5,0,21,0,0,180,85,0,55,40,0,
1617velv-nc-sg-Q-10,Q-10,0-50 B,9021,6183,0,10195,10491,0,0,0,0,0,0,0,50,10,0,40,0,0,
1617velv-nc-sg-Q-11,Q-11,55-0 R,3391,9990,0,3372,3976,0,55,10,0,45,0,0,0,0,0,0,0,0,
1617velv-nc-sg-Q-12,Q-12,5-45 B,12270,11709,0,11686,4622,0,5,5,0,0,0,0,45,5,0,40,0,0,
1617velv-nc-sg-Q-13,Q-13,215-0 R,9021,5795,0,8827,3372,0,215,100,0,75,40,0,0,0,0,0,0,0,
1617velv-nc-sg-Q-14,Q-14,40-55 B,8534,9993,0,6183,9990,0,40,35,0,5,0,0,55,0,0,55,0,0,
1617velv-nc-sg-Q-15,Q-15,65-11 R,731,10597,0,11969,3976,0,65,15,0,50,0,0,11,0,0,11,0,0,
1617velv-nc-sg-Q-16,Q-16,100-0 R,10195,4210,0,7444,11686,0,100,50,0,50,0,0,0,0,0,0,0,0,
1617velv-nc-sg-Q-17,Q-17,60-5 R,7682,10859,0,10491,3391,0,60,0,0,60,0,0,5,5,0,0,0,0,
1617velv-nc-sg-Q-18,Q-18,10-55 B,12270,10597,0,9021,7444,0,10,10,0,0,0,0,55,5,0,40,0,10,
1617velv-nc-sg-Q-19,Q-19,80-45 R,8534,11709,0,7682,3372,0,80,70,0,10,0,0,45,0,0,45,0,0,
1617velv-nc-sg-Q-20,Q-20,15-60 B,8827,3391,0,4210,731,0,15,5,0,10,0,0,60,0,0,60,0,0,
1617velv-nc-sg-Q-21,Q-21,10-135 B,4622,6183,0,10859,5795,0,10,10,0,0,0,0,135,30,0,65,40,0,
1617velv-nc-sg-Q-22,Q-22,10-55 B,9993,3976,0,12270,10195,0,10,0,0,10,0,0,55,10,0,45,0,0,
1617velv-nc-sg-Q-23,Q-23,21-25 B,11686,11969,0,9990,10491,0,21,10,0,11,0,0,25,5,0,20,0,0,
1617velv-nc-sg-Q-24,Q-24,105-90 R,5795,731,0,10195,8534,0,105,30,0,55,20,0,90,40,0,40,10,0,
1617velv-nc-sg-Q-25,Q-25,30-25 R,12270,6183,0,11969,3391,0,30,10,0,20,0,0,25,0,0,25,0,0,
1617velv-nc-sg-Q-26,Q-26,40-20 R,9021,4210,0,11709,3976,0,40,10,0,30,0,0,20,0,0,10,0,10,
1617velv-nc-sg-Q-27,Q-27,0-50 B,11686,3372,0,10859,10597,0,0,0,0,0,0,0,50,5,0,45,0,0,
1617velv-nc-sg-Q-28,Q-28,25-65 B,9993,10491,0,7444,8827,0,25,5,0,20,0,0,65,5,0,20,40,0,
1617velv-nc-sg-Q-29,Q-29,45-50 B,7682,4622,0,9990,9021,0,45,30,0,15,0,0,50,20,0,30,0,0,
1617velv-nc-sg-SF-1-1,SF-1-1,105-0 R,731,8534,10859,9990,8827,7444,105,30,0,65,10,0,0,0,0,0,0,0,
1617velv-nc-sg-SF-1-2,SF-1-2,120-75 R,731,8534,10859,9990,8827,7444,120,70,0,50,0,0,75,35,0,0,40,0,
1617velv-nc-sg-SF-2-1,SF-2-1,230-15 R,5795,10195,6183,4210,3391,9993,230,115,0,75,40,0,15,10,0,5,0,0,
1617velv-nc-sg-SF-2-2,SF-2-2,140-55 R,5795,10195,6183,4210,3391,9993,140,70,0,30,40,0,55,25,0,30,0,0,
1617velv-nc-sg-F-1,F-1,125-210 B,731,8534,10859,5795,10195,6183,125,50,0,75,0,0,210,115,0,55,40,0,
1617velv-nc-sg-F-2,F-2,60-185 B,731,8534,10859,5795,10195,6183,60,40,0,20,0,0,185,80,0,65,40,0,
