TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-ncbo-Q-1,Q-1,80-25 R,5881,7300,0,7217,8769,0,80,5,0,35,40,0,25,5,0,20,0,0,
1617velv-ncbo-Q-2,Q-2,102-10 R,8498,9827,0,11588,12138,0,102,40,0,62,0,0,10,0,0,10,0,0,
1617velv-ncbo-Q-3,Q-3,60-30 R,8739,5309,0,9991,9147,0,60,15,0,45,0,0,30,30,0,0,0,0,
1617velv-ncbo-Q-4,Q-4,50-160 B,10859,5549,0,10762,5064,0,50,10,0,40,0,0,160,85,0,35,40,0,
1617velv-ncbo-Q-5,Q-5,50-101 B,2901,11528,0,668,9827,0,50,0,0,10,40,0,101,50,0,51,0,0,
1617velv-ncbo-Q-6,Q-6,25-75 B,12138,9147,0,8769,10762,0,25,20,0,5,0,0,75,25,0,40,10,0,
1617velv-ncbo-Q-7,Q-7,0-65 B,7217,2901,0,8739,8498,0,0,0,0,0,0,0,65,0,0,65,0,0,
1617velv-ncbo-Q-8,Q-8,60-105 B,7300,11528,0,5309,10859,0,60,10,0,50,0,0,105,100,0,5,0,0,
1617velv-ncbo-Q-9,Q-9,60-10 R,9991,11588,0,5549,5881,0,60,30,0,30,0,0,10,0,0,10,0,0,
1617velv-ncbo-Q-10,Q-10,45-140 B,668,8769,0,5064,8498,0,45,5,0,40,0,0,140,70,0,30,40,0,
1617velv-ncbo-Q-11,Q-11,25-35 B,10762,9827,0,5881,8739,0,25,0,0,25,0,0,35,5,0,30,0,0,
1617velv-ncbo-Q-12,Q-12,90-55 R,5064,2901,0,11588,5309,0,90,30,0,40,20,0,55,15,0,40,0,0,
1617velv-ncbo-Q-13,Q-13,40-37 R,7217,12138,0,9991,11528,0,40,10,0,20,0,10,37,5,0,32,0,0,
1617velv-ncbo-Q-14,Q-14,55-40 R,9147,668,0,5549,7300,0,55,20,0,35,0,0,40,0,0,20,20,0,
1617velv-ncbo-Q-15,Q-15,65-5 R,10859,8769,0,9991,9827,0,65,10,0,55,0,0,5,5,0,0,0,0,
1617velv-ncbo-Q-16,Q-16,85-30 R,8498,5881,0,9147,11528,0,85,40,0,45,0,0,30,5,0,25,0,0,
1617velv-ncbo-Q-17,Q-17,65-72 B,5549,10762,0,5309,2901,0,65,30,0,25,10,0,72,45,0,27,0,0,
1617velv-ncbo-Q-18,Q-18,45-65 B,668,7217,0,11588,10859,0,45,5,0,40,0,0,65,35,0,20,10,0,
1617velv-ncbo-Q-19,Q-19,115-55 R,5064,8739,0,7300,12138,0,115,10,0,65,40,0,55,40,0,15,0,0,
1617velv-ncbo-Q-20,Q-20,55-41 R,9147,5881,0,2901,10859,0,55,25,0,20,0,10,41,10,0,31,0,0,
1617velv-ncbo-Q-21,Q-21,160-20 R,5064,5549,0,9827,7217,0,160,60,0,60,40,0,20,10,0,10,0,0,
1617velv-ncbo-Q-22,Q-22,15-65 B,11588,8739,0,11528,8769,0,15,0,0,15,0,0,65,10,0,55,0,0,
1617velv-ncbo-Q-23,Q-23,35-110 B,9991,7300,0,10762,8498,0,35,25,0,10,0,0,110,50,0,60,0,0,
1617velv-ncbo-Q-24,Q-24,75-35 R,5309,12138,0,668,5881,0,75,60,0,15,0,0,35,5,0,30,0,0,
1617velv-ncbo-SF-1-1,SF-1-1,110-30 R,5064,5309,0,10859,11588,0,110,10,0,60,40,0,30,10,0,20,0,0,
1617velv-ncbo-SF-2-1,SF-2-1,105-75 R,8498,11528,0,8739,7300,0,105,10,0,55,40,0,75,15,0,20,40,0,
1617velv-ncbo-SF-1-2,SF-1-2,160-35 R,5064,5309,0,10859,11588,0,160,60,0,60,40,0,35,5,0,30,0,0,
1617velv-ncbo-SF-2-2,SF-2-2,100-125 B,8498,11528,0,8739,7300,0,100,10,0,50,40,0,125,5,0,30,20,70,
1617velv-ncbo-SF-2-3,SF-2-3,70-35 R,8498,11528,0,8739,7300,0,70,10,0,40,20,0,35,0,0,35,0,0,
1617velv-ncbo-F-1,F-1,200-150 R,5064,5309,0,8498,11528,0,200,100,0,60,40,0,150,30,0,60,20,40,
1617velv-ncbo-F-2,F-2,185-105 R,5064,5309,0,8498,11528,0,185,100,0,45,40,0,105,0,0,65,40,0,
