TournamentCode,TeamNum,TeamName,R,QP,RP,High,MP,Elim,
1617velv-ncra,8534,Mechalodons,1,9,165,140,5,WC,
1617velv-ncra,6123,Mechanical Marauders,2,9,100,55,5,FC,
1617velv-ncra,5795,Back To The Drawing Board,3,8,225,110,5,W1,
1617velv-ncra,7105,SWIFT Robotics,4,8,105,130,5,F1,
1617velv-ncra,6183,Thunderducks,5,7,120,185,5,SC,
1617velv-ncra,7083,Team Tundrabots,6,6,185,75,5,SC,
1617velv-ncra,11588,Purple Gears Rookie Team,7,6,165,65,5,W2,
1617velv-ncra,10195,Night Owls,8,6,163,185,5,S2,
1617velv-ncra,3587,Unparalleled Processing,9,6,125,110,5,,
1617velv-ncra,8947,Techtonics,10,6,125,75,5,F2,
1617velv-ncra,10307,Tardigr-8,11,6,105,75,5,,
1617velv-ncra,731,Wannabee Strange,12,5,165,140,5,S1,
1617velv-ncra,2827,Artificial Stupidity,13,5,115,55,5,,
1617velv-ncra,9021,TMSA Cyber Tigers,14,5,113,95,5,,
1617velv-ncra,11424,Thales Academy Centurions,15,4,170,75,5,,
1617velv-ncra,8569,RoboKnights,16,4,135,55,5,S1,
1617velv-ncra,12010,ChargerBots,17,4,125,55,5,,
1617velv-ncra,11969,RoboFalcons,18,2,35,55,5,,
1617velv-ncra,9581,Ravens Robotics,19,0,95,30,5,,
1617velv-ncra,2901,Purple Gears,20,0,83,45,5,,
1617velv-ncra,5270,Q,21,0,73,25,5,S2,
