TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-nj-rj-Q-1,Q-1,35-110 B,3567,147,0,248,9921,0,35,15,0,20,0,0,110,50,0,40,20,0,
1617velv-nj-rj-Q-2,Q-2,10-125 B,4574,9853,0,247,8574,0,10,5,0,5,0,0,125,0,0,25,0,100,
1617velv-nj-rj-Q-3,Q-3,36-35 R,6102,6069,0,6936,10096,0,36,15,0,21,0,0,35,15,0,20,0,0,
1617velv-nj-rj-Q-4,Q-4,60-40 R,4486,10053,0,5968,10159,0,60,30,0,10,20,0,40,0,0,30,10,0,
1617velv-nj-rj-Q-5,Q-5,75-5 R,10242,5398,0,755,10788,0,75,0,0,55,20,0,5,0,0,5,0,0,
1617velv-nj-rj-Q-6,Q-6,50-40 R,7102,11248,0,207,11456,0,50,30,0,0,20,0,40,0,0,40,0,0,
1617velv-nj-rj-Q-7,Q-7,70-10 R,2753,756,0,8816,6101,0,70,25,0,45,0,0,10,10,0,0,0,0,
1617velv-nj-rj-Q-8,Q-8,72-110 B,10051,757,0,5873,4347,0,72,10,0,2,20,40,110,85,0,25,0,0,
1617velv-nj-rj-Q-9,Q-9,10-42 B,12022,10343,0,8085,247,0,10,0,0,10,0,0,42,5,0,37,0,0,
1617velv-nj-rj-Q-10,Q-10,65-70 B,8574,147,0,4486,207,0,65,25,0,40,0,0,70,30,0,40,0,0,
1617velv-nj-rj-Q-11,Q-11,35-90 B,11248,755,0,2753,248,0,35,20,0,15,0,0,90,20,0,50,20,0,
1617velv-nj-rj-Q-12,Q-12,110-5 R,11456,5398,0,10051,3567,0,110,30,0,60,20,0,5,5,0,0,0,0,
1617velv-nj-rj-Q-13,Q-13,105-30 R,10159,6102,0,8816,12022,0,105,35,0,50,10,10,30,10,0,10,0,10,
1617velv-nj-rj-Q-14,Q-14,35-30 R,10053,6936,0,7102,10242,0,35,25,0,10,0,0,30,0,0,30,0,0,
1617velv-nj-rj-Q-15,Q-15,20-141 B,10096,10788,0,4574,5873,0,20,10,0,0,0,10,141,60,0,71,0,10,
1617velv-nj-rj-Q-16,Q-16,75-35 R,9921,6069,0,5968,10343,0,75,35,0,40,0,0,35,35,0,0,0,0,
1617velv-nj-rj-Q-17,Q-17,65-47 R,4347,9853,0,8085,6101,0,65,15,0,10,40,0,47,5,0,42,0,0,
1617velv-nj-rj-Q-18,Q-18,130-26 R,756,8574,0,757,6102,0,130,65,0,65,0,0,26,5,0,21,0,0,
1617velv-nj-rj-Q-19,Q-19,62-65 B,6936,4574,0,11248,4486,0,62,10,0,32,10,10,65,10,0,25,20,10,
1617velv-nj-rj-Q-20,Q-20,5-80 B,2753,12022,0,10242,147,0,5,5,0,0,0,0,80,25,0,55,0,0,
1617velv-nj-rj-Q-21,Q-21,125-30 R,11456,8085,0,6069,10053,0,125,60,0,65,0,0,30,20,0,0,0,10,
1617velv-nj-rj-Q-22,Q-22,120-65 R,755,5873,0,756,10343,0,120,60,0,50,10,0,65,40,0,25,0,0,
1617velv-nj-rj-Q-23,Q-23,10-0 R,6101,247,0,10788,757,0,10,0,0,10,0,0,0,0,0,0,0,0,
1617velv-nj-rj-Q-24,Q-24,95-60 R,10159,5398,0,9853,10096,0,95,35,0,60,0,0,60,10,0,0,40,10,
1617velv-nj-rj-Q-25,Q-25,135-30 R,10051,248,0,7102,5968,0,135,70,0,25,0,40,30,0,0,30,0,0,
1617velv-nj-rj-Q-26,Q-26,140-105 R,8816,4347,0,3567,207,0,140,15,0,15,40,70,105,15,0,80,10,0,
1617velv-nj-rj-Q-27,Q-27,55-75 B,12022,8574,0,9921,11248,0,55,30,0,25,0,0,75,25,0,40,0,10,
1617velv-nj-rj-Q-28,Q-28,10-60 B,756,9853,0,10788,6936,0,10,5,0,5,0,0,60,10,0,40,10,0,
1617velv-nj-rj-Q-29,Q-29,38-55 B,5968,8085,0,10242,10096,0,38,5,0,33,0,0,55,5,0,10,40,0,
1617velv-nj-rj-Q-30,Q-30,85-75 R,11456,10159,0,10343,147,0,85,40,0,45,0,0,75,35,0,40,0,0,
1617velv-nj-rj-Q-31,Q-31,10-85 B,6102,6101,0,10053,9921,0,10,0,0,10,0,0,85,35,0,30,20,0,
1617velv-nj-rj-Q-32,Q-32,125-40 R,2753,5398,0,4347,4574,0,125,35,0,50,40,0,40,30,0,10,0,0,
1617velv-nj-rj-Q-33,Q-33,45-95 B,207,247,0,248,5873,0,45,40,0,5,0,0,95,15,0,70,10,0,
1617velv-nj-rj-Q-34,Q-34,100-25 R,4486,10051,0,755,8816,0,100,0,0,40,20,40,25,10,0,5,10,0,
1617velv-nj-rj-Q-35,Q-35,65-40 R,3567,757,0,6069,7102,0,65,35,0,30,0,0,40,30,0,10,0,0,
1617velv-nj-rj-Q-36,Q-36,25-30 B,2753,10788,0,6102,11456,0,25,0,0,25,0,0,30,10,0,20,0,0,
1617velv-nj-rj-Q-37,Q-37,100-40 R,10242,11248,0,756,247,0,100,30,0,50,20,0,40,40,0,0,0,0,
1617velv-nj-rj-Q-38,Q-38,65-95 B,4347,248,0,10159,8574,0,65,60,0,5,0,0,95,30,0,65,0,0,
1617velv-nj-rj-Q-39,Q-39,44-20 R,4574,3567,0,12022,10053,0,44,0,0,44,0,0,20,0,0,0,20,0,
1617velv-nj-rj-Q-40,Q-40,140-20 R,8085,147,0,755,757,0,140,60,0,70,0,10,20,10,0,0,0,10,
1617velv-nj-rj-Q-41,Q-41,0-95 B,8816,5968,0,5398,6936,0,0,0,0,0,0,0,95,55,0,40,0,0,
1617velv-nj-rj-Q-42,Q-42,30-40 B,7102,10096,0,10343,4486,0,30,10,0,0,20,0,40,0,0,40,0,0,
1617velv-nj-rj-Q-43,Q-43,110-55 R,207,9921,0,9853,10051,0,110,55,0,45,10,0,55,25,0,10,20,0,
1617velv-nj-rj-Q-44,Q-44,10-145 B,5873,6101,0,6069,11248,0,10,0,0,10,0,0,145,40,0,45,20,40,
1617velv-nj-rj-SF-1-1,SF-1-1,80-75 R,4486,5398,8574,11456,4347,207,80,30,0,30,0,20,75,30,0,25,20,0,
1617velv-nj-rj-SF-2-1,SF-2-1,105-110 B,9921,11248,5873,10159,248,147,105,50,0,15,40,0,110,60,0,50,0,0,
1617velv-nj-rj-SF-1-2,SF-1-2,115-145 B,4486,5398,8574,11456,4347,207,115,30,0,65,20,0,145,85,0,10,40,10,
1617velv-nj-rj-SF-2-2,SF-2-2,30-105 B,9921,11248,5873,10159,248,147,30,5,0,15,10,0,105,45,0,60,0,0,
1617velv-nj-rj-SF-1-3,SF-1-3,50-45 R,4486,5398,8574,11456,4347,207,50,5,0,45,0,0,45,40,0,5,0,0,
1617velv-nj-rj-F-1,F-1,80-85 B,4486,5398,8574,10159,248,147,80,15,0,45,20,0,85,50,0,35,0,0,
1617velv-nj-rj-F-2,F-2,55-70 B,4486,5398,8574,10159,248,147,55,0,0,35,20,0,70,45,0,25,0,0,
