TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-nj-sds,8574,WeByte,1,10,226,155,5,WC,1.00,80.9,69.0,74.8,65.6,51.3,43.5,0.0,0.0,29.7,25.7,0.3,0.3,-0.5,-0.5,6.6,3.9,
1617velv-nj-sds,9971,LANbros,2,10,195,165,5,W1,1.00,94.9,87.6,120.9,101.9,63.9,53.8,0.0,0.0,54.2,46.6,-1.8,-1.1,-21.4,-11.8,-4.7,-2.6,
1617velv-nj-sds,6934,The TranSisters,3,10,145,375,5,FC,1.00,108.2,91.3,42.7,36.5,22.9,20.8,0.0,0.0,14.9,13.9,-1.1,-0.6,71.6,57.1,-6.0,-2.4,
1617velv-nj-sds,3944,Team Mercury,4,8,255,145,5,SC,0.80,54.4,49.3,56.6,52.5,22.2,22.3,0.0,0.0,27.7,26.6,-1.1,-0.8,5.5,1.0,-7.8,-4.3,
1617velv-nj-sds,10603,WOOD-CHIPS,5,8,131,95,5,SC,0.80,2.3,9.8,2.2,10.2,12.8,13.3,0.0,0.0,-2.1,2.1,-3.6,-2.4,-4.8,-3.3,4.9,2.8,
1617velv-nj-sds,12309,Wood-Ridge Wookies,6,8,105,155,5,,0.80,16.4,24.5,15.4,20.8,11.2,12.9,0.0,0.0,8.7,10.4,0.6,0.3,-4.0,0.7,5.0,2.9,
1617velv-nj-sds,609,Cougars,7,8,90,255,5,S1,0.80,73.4,64.8,21.1,25.5,2.6,5.4,0.0,0.0,26.4,25.8,7.8,6.1,36.7,27.3,15.6,11.9,
1617velv-nj-sds,5398,Robotux,8,8,85,255,5,F1,0.80,93.8,82.2,70.7,60.2,17.6,15.6,0.0,0.0,42.0,36.6,7.8,6.5,26.3,23.5,-3.3,-1.5,
1617velv-nj-sds,9533,The Monroe Minionz,9,8,85,110,5,W2,0.80,43.8,37.8,33.3,29.6,14.6,12.3,0.0,0.0,16.8,15.8,4.7,3.3,7.7,6.3,2.8,1.8,
1617velv-nj-sds,7350,Watts NXT?,10,7,190,125,5,S1,0.70,26.1,32.8,44.5,44.1,25.6,23.3,0.0,0.0,26.4,24.8,-1.0,-0.8,-24.8,-14.6,6.5,3.3,
1617velv-nj-sds,11658,Bearing Bots,11,7,95,85,5,S2,0.70,22.6,24.3,36.9,31.3,-0.4,3.3,0.0,0.0,16.0,15.1,-0.5,-0.4,7.6,6.2,-21.9,-13.3,
1617velv-nj-sds,5912,Shockwave Robotics,12,6,155,95,5,,0.60,42.1,37.1,37.5,33.4,6.6,6.7,0.0,0.0,24.0,21.9,8.3,6.3,3.2,2.1,1.4,1.5,
1617velv-nj-sds,11306,Prototype G,13,6,92,45,5,,0.60,14.6,13.7,24.1,19.7,8.0,6.8,0.0,0.0,6.6,7.3,-1.1,-0.9,1.1,0.5,-10.7,-6.5,
1617velv-nj-sds,8902,Cosmic Goose,14,6,70,110,5,,0.60,33.6,31.1,21.8,21.5,5.0,5.8,0.0,0.0,19.2,17.6,-2.5,-1.4,11.9,8.9,-0.2,0.6,
1617velv-nj-sds,11871,Voltron,15,5,135,125,5,,0.50,23.7,20.8,14.1,14.7,5.1,5.9,0.0,0.0,6.6,8.0,1.7,0.8,10.4,5.9,-0.7,0.1,
1617velv-nj-sds,4215,Turn Left,16,5,96,80,5,,0.50,29.9,25.9,34.7,30.2,9.7,9.1,0.0,0.0,17.8,15.9,-0.1,0.3,2.5,0.5,-7.3,-4.9,
1617velv-nj-sds,10243,Robotic Rams,17,5,55,130,5,,0.50,0.7,6.9,-7.9,1.8,-5.3,-1.0,0.0,0.0,5.0,6.8,-0.1,0.0,1.2,1.0,7.4,4.1,
1617velv-nj-sds,6613,YALiEns,18,4,187,95,5,S2,0.40,23.3,22.3,21.7,19.1,9.5,8.6,0.0,0.0,15.2,14.5,-1.0,-0.2,-0.4,-0.6,2.0,3.7,
1617velv-nj-sds,110,MFS Foxes,19,4,157,140,5,,0.40,26.6,23.9,33.4,28.8,12.9,12.1,0.0,0.0,8.5,9.2,1.0,0.4,4.2,2.0,-11.1,-7.0,
1617velv-nj-sds,237,MFS Hawks,20,4,150,375,5,,0.40,98.3,83.5,26.5,28.1,26.2,24.3,0.0,0.0,8.3,10.0,0.9,0.5,62.9,48.6,8.9,6.8,
1617velv-nj-sds,11241,Blue Steel,21,4,140,100,5,,0.40,17.5,21.0,17.5,20.4,11.3,10.6,0.0,0.0,12.1,11.9,4.6,3.4,-10.5,-5.0,10.6,5.6,
1617velv-nj-sds,10203,HuskieBots,22,4,115,70,5,,0.40,12.7,14.3,23.1,19.3,6.9,7.2,0.0,0.0,5.4,5.9,0.9,0.5,-0.6,0.6,-9.9,-5.7,
