TournamentMatchCode,Match,Result,Red1,Red2,Red3,Blue1,Blue2,Blue3,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,R1Sur,R2Sur,B1Sur,B2Sur,
1617velv-nm-so-Q-1,Q-1,20-115 B,8955,11054,0,10348,11587,0,20,0,0,20,0,0,115,75,0,40,0,0,false,false,false,false,
1617velv-nm-so-Q-2,Q-2,120-47 R,10924,11296,0,7582,10780,0,120,70,0,10,40,0,47,10,0,37,0,0,false,false,false,false,
1617velv-nm-so-Q-3,Q-3,85-30 R,11519,7813,0,11298,12275,0,85,75,0,10,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-nm-so-Q-4,Q-4,24-40 B,11701,7582,0,12338,8955,0,24,10,0,14,0,0,40,0,0,30,0,10,false,false,false,false,
1617velv-nm-so-Q-5,Q-5,105-75 R,11296,12275,0,10924,10348,0,105,35,0,30,40,0,75,55,0,10,10,0,false,false,false,false,
1617velv-nm-so-Q-6,Q-6,15-70 B,11701,10780,0,7813,11587,0,15,5,0,10,0,0,70,30,0,40,0,0,false,false,false,false,
1617velv-nm-so-Q-7,Q-7,3-30 B,11054,12338,0,11298,11519,0,3,0,0,3,0,0,30,0,0,30,0,0,false,false,false,false,
1617velv-nm-so-Q-8,Q-8,45-40 R,11587,8955,0,12275,10780,0,45,5,0,40,0,0,40,0,0,0,0,40,true,false,true,false,
1617velv-nm-so-Q-9,Q-9,140-11 R,10348,11296,0,11519,11701,0,140,25,0,55,20,40,11,10,0,1,0,0,false,false,false,false,
1617velv-nm-so-Q-10,Q-10,40-31 R,12338,10924,0,7813,11054,0,40,0,0,30,10,0,31,20,0,11,0,0,false,false,false,false,
1617velv-nm-so-Q-11,Q-11,20-40 B,11298,10780,0,7582,10348,0,20,10,0,10,0,0,40,0,0,30,0,10,false,false,false,false,
1617velv-nm-so-Q-12,Q-12,60-85 B,7813,12338,0,11296,8955,0,60,60,0,0,0,0,85,5,0,40,40,0,false,false,false,false,
1617velv-nm-so-Q-13,Q-13,24-35 B,11054,7582,0,11701,12275,0,24,0,0,24,0,0,35,5,0,20,10,0,false,false,false,false,
1617velv-nm-so-Q-14,Q-14,50-10 R,11587,11298,0,10924,11519,0,50,10,0,40,0,0,10,10,0,0,0,0,false,false,false,false,
1617velv-nm-so-Q-15,Q-15,25-47 B,10780,11296,0,12275,11054,0,25,25,0,0,0,0,47,5,0,42,0,0,false,false,false,false,
1617velv-nm-so-Q-16,Q-16,25-42 B,11519,11587,0,7813,7582,0,25,5,0,10,0,10,42,30,0,12,0,0,false,false,false,false,
1617velv-nm-so-Q-17,Q-17,70-5 R,10924,11298,0,11701,8955,0,70,30,0,40,0,0,5,5,0,0,0,0,false,false,false,false,
1617velv-nm-so-Q-18,Q-18,55-15 R,10348,12275,0,12338,11587,0,55,30,0,25,0,0,15,5,0,10,0,0,false,false,false,false,
1617velv-nm-so-SF-1-1,SF-1-1,70-45 R,11296,8955,0,10924,7813,0,70,10,0,20,40,0,45,25,0,20,0,0,false,false,false,false,
1617velv-nm-so-SF-2-1,SF-2-1,22-60 B,12275,11701,0,10348,11587,0,22,10,0,12,0,0,60,20,0,40,0,0,false,false,false,false,
1617velv-nm-so-SF-1-2,SF-1-2,85-35 R,11296,8955,0,10924,7813,0,85,15,0,30,40,0,35,25,0,10,0,0,false,false,false,false,
1617velv-nm-so-SF-2-2,SF-2-2,31-75 B,12275,11701,0,10348,11587,0,31,10,0,11,10,0,75,35,0,40,0,0,false,false,false,false,
1617velv-nm-so-F-1,F-1,100-80 R,11296,8955,0,10348,11587,0,100,30,0,30,40,0,80,60,0,20,0,0,false,false,false,false,
1617velv-nm-so-F-2,F-2,85-130 B,11296,8955,0,10348,11587,0,85,15,0,30,40,0,130,90,0,40,0,0,false,false,false,false,
1617velv-nm-so-F-3,F-3,125-100 R,11296,8955,0,10348,11587,0,125,15,0,30,40,40,100,70,0,30,0,0,false,false,false,false,
