TournamentMatchCode,Match,Result,Red0,Red1,Red2,Blue0,Blue1,Blue2,RTot,RAuto,RAutoB,RTele,REnd,RPen,BTot,BAuto,BAutoB,BTele,BEnd,BPen,
1617velv-nyfl-Q-1,Q-1,81-25 R,5356,11779,0,8568,9293,0,81,30,0,31,20,0,25,5,0,20,0,0,
1617velv-nyfl-Q-2,Q-2,35-35 T,10776,8767,0,5020,11246,0,35,25,0,10,0,0,35,25,0,10,0,0,
1617velv-nyfl-Q-3,Q-3,30-5 R,7230,8806,0,8863,11245,0,30,30,0,0,0,0,5,5,0,0,0,0,
1617velv-nyfl-Q-4,Q-4,50-1 R,5485,8571,0,3750,8145,0,50,0,0,50,0,0,1,0,0,1,0,0,
1617velv-nyfl-Q-5,Q-5,45-35 R,9984,7743,0,7386,5927,0,45,25,0,10,10,0,35,5,0,30,0,0,
1617velv-nyfl-Q-6,Q-6,85-10 R,5484,6347,0,5065,796,0,85,25,0,60,0,0,10,10,0,0,0,0,
1617velv-nyfl-Q-7,Q-7,85-15 R,3750,8806,0,9293,10776,0,85,5,0,40,0,40,15,5,0,10,0,0,
1617velv-nyfl-Q-8,Q-8,9-85 B,9984,8863,0,5020,5485,0,9,5,0,4,0,0,85,0,0,15,20,50,
1617velv-nyfl-Q-9,Q-9,5-50 B,7386,8145,0,796,8767,0,5,5,0,0,0,0,50,0,0,50,0,0,
1617velv-nyfl-Q-10,Q-10,0-120 B,11245,11779,0,11246,6347,0,0,0,0,0,0,0,120,40,0,80,0,0,
1617velv-nyfl-Q-11,Q-11,50-20 R,5356,7743,0,7230,5065,0,50,35,0,5,10,0,20,0,0,20,0,0,
1617velv-nyfl-Q-12,Q-12,70-110 B,5927,8568,0,8571,5484,0,70,40,0,10,20,0,110,50,0,60,0,0,
1617velv-nyfl-Q-13,Q-13,30-50 B,11245,9293,0,5485,7386,0,30,5,0,25,0,0,50,0,0,30,20,0,
1617velv-nyfl-Q-14,Q-14,65-21 R,796,8806,0,9984,11779,0,65,25,0,40,0,0,21,10,0,1,10,0,
1617velv-nyfl-Q-15,Q-15,55-35 R,7743,11246,0,8145,8568,0,55,25,0,30,0,0,35,5,0,30,0,0,
1617velv-nyfl-Q-16,Q-16,135-46 R,6347,10776,0,8863,5927,0,135,25,0,110,0,0,46,40,0,6,0,0,
1617velv-nyfl-Q-17,Q-17,25-100 B,5020,3750,0,5484,5356,0,25,5,0,20,0,0,100,30,0,50,20,0,
1617velv-nyfl-Q-18,Q-18,25-35 B,7230,8571,0,5065,8767,0,25,15,0,10,0,0,35,0,0,35,0,0,
1617velv-nyfl-Q-19,Q-19,120-14 R,9293,796,0,8863,7743,0,120,0,0,50,0,70,14,0,0,4,10,0,
1617velv-nyfl-Q-20,Q-20,30-40 B,5020,8145,0,5927,8806,0,30,5,0,15,10,0,40,15,0,25,0,0,
1617velv-nyfl-Q-21,Q-21,32-45 B,5065,3750,0,7386,11246,0,32,0,0,12,20,0,45,5,0,40,0,0,
1617velv-nyfl-Q-22,Q-22,35-60 B,8571,10776,0,11245,5356,0,35,25,0,10,0,0,60,30,0,30,0,0,
1617velv-nyfl-Q-23,Q-23,65-95 B,8767,9984,0,6347,8568,0,65,25,0,40,0,0,95,45,0,50,0,0,
1617velv-nyfl-Q-24,Q-24,30-145 B,11779,5485,0,5484,7230,0,30,5,0,25,0,0,145,75,0,70,0,0,
1617velv-nyfl-Q-25,Q-25,10-50 B,11245,5927,0,3750,796,0,10,10,0,0,0,0,50,10,0,40,0,0,
1617velv-nyfl-Q-26,Q-26,140-10 R,6347,5020,0,7743,8571,0,140,65,0,75,0,0,10,0,0,10,0,0,
1617velv-nyfl-Q-27,Q-27,3-41 B,8863,5065,0,11779,8145,0,3,0,0,3,0,0,41,0,0,41,0,0,
1617velv-nyfl-Q-28,Q-28,40-40 T,8568,7386,0,7230,10776,0,40,10,0,30,0,0,40,25,0,15,0,0,
1617velv-nyfl-Q-29,Q-29,130-40 R,5484,11246,0,9293,9984,0,130,10,0,40,0,80,40,10,0,30,0,0,
1617velv-nyfl-Q-30,Q-30,70-65 R,5485,8767,0,8806,5356,0,70,5,0,25,40,0,65,30,0,35,0,0,
1617velv-nyfl-SF-1-1,SF-1-1,70-25 R,5484,5485,8767,8806,11245,7230,70,0,0,50,20,0,25,15,0,10,0,0,
1617velv-nyfl-SF-2-1,SF-2-1,170-45 R,6347,7743,5020,11246,5356,796,170,50,0,120,0,0,45,45,0,0,0,0,
1617velv-nyfl-SF-1-2,SF-1-2,75-20 R,5484,5485,8767,8806,11245,7230,75,15,0,60,0,0,20,20,0,0,0,0,
1617velv-nyfl-SF-2-2,SF-2-2,190-50 R,6347,7743,5020,11246,5356,796,190,70,0,80,0,40,50,10,0,40,0,0,
1617velv-nyfl-F-1,F-1,135-80 R,5484,5485,8767,6347,7743,5020,135,35,0,60,40,0,80,45,0,35,0,0,
1617velv-nyfl-F-2,F-2,70-105 B,5484,5485,8767,6347,7743,5020,70,20,0,50,0,0,105,40,0,55,10,0,
1617velv-nyfl-F-3,F-3,210-155 R,5484,5485,8767,6347,7743,5020,210,105,0,65,40,0,155,40,0,45,0,70,
