TournamentCode,Num,Name,R,QP,RP,High,MP,Elim,WP,OPR,OPRm,OPR-,OPRm-,OPRA,OPRmA,OPRB,OPRmB,OPRT,OPRmT,OPRE,OPRmE,OPRP,OPRmP,OPRp,OPRmp,
1617velv-nyex-fl,5484,EnderBot,1,10,175,145,5,WC,1.00,73.1,67.4,54.9,52.7,20.7,20.0,0.0,0.0,31.0,30.3,3.9,3.2,17.4,13.8,0.8,0.8,
1617velv-nyex-fl,6347,Geared Up,2,10,131,140,5,FC,1.00,79.4,70.4,87.0,75.3,26.8,24.1,0.0,0.0,62.4,52.4,-1.8,-1.2,-7.9,-5.0,0.3,0.1,
1617velv-nyex-fl,11246,Victor FTC Team 2,3,9,142,130,5,SC,0.90,37.3,36.4,25.0,25.6,7.6,8.1,0.0,0.0,17.6,17.8,-2.0,-1.5,14.1,11.9,-1.8,-1.1,
1617velv-nyex-fl,5356,Tardis,4,8,170,100,5,S1,0.80,47.6,42.7,51.5,45.2,23.3,20.1,0.0,0.0,19.4,17.4,9.1,7.6,-4.2,-2.6,0.3,0.1,
1617velv-nyex-fl,8806,The Dark Matter Dragons,5,8,136,85,5,SC,0.80,24.2,26.6,16.5,20.2,7.1,8.7,0.0,0.0,13.6,14.3,-3.3,-2.0,6.8,5.6,0.9,0.9,
1617velv-nyex-fl,5485,GorillaBots,6,8,135,85,5,W1,0.80,38.9,35.1,25.5,24.6,-4.3,-2.3,0.0,0.0,15.8,15.6,15.4,12.4,11.9,9.3,1.5,1.2,
1617velv-nyex-fl,796,Wolves,7,8,60,120,5,S2,0.80,39.8,36.5,32.9,29.6,8.1,6.9,0.0,0.0,22.4,21.3,-1.4,-1.1,10.6,9.2,-3.8,-2.3,
1617velv-nyex-fl,8767,Deus ex Machina,8,7,195,70,5,W2,0.70,29.0,27.9,36.4,32.9,7.3,6.9,0.0,0.0,21.8,19.2,4.2,4.2,-4.3,-2.5,-3.1,-2.5,
1617velv-nyex-fl,7743,Lansing Bobcats,9,6,114,55,5,F1,0.60,10.4,13.0,4.1,6.8,6.2,7.1,0.0,0.0,-0.2,2.2,5.3,4.4,-0.9,-0.7,7.1,6.9,
1617velv-nyex-fl,7386,RACS,10,5,142,50,5,,0.50,8.6,12.0,12.4,14.1,-1.2,0.1,0.0,0.0,15.1,14.2,-0.3,0.6,-5.1,-3.1,1.3,0.9,
1617velv-nyex-fl,7230,SAS Atoms,11,5,120,145,5,S2,0.50,27.5,25.7,31.4,28.0,21.4,18.4,0.0,0.0,9.8,9.4,0.2,0.1,-3.9,-2.3,-0.0,-0.1,
1617velv-nyex-fl,5020,KilaBots,12,5,109,140,5,F2,0.50,27.0,28.7,21.7,23.3,14.6,13.1,0.0,0.0,3.7,7.1,3.0,3.0,5.8,5.4,-0.4,0.1,
1617velv-nyex-fl,10776,Cosmobots,13,4,171,135,5,,0.40,16.9,20.0,10.6,14.7,9.2,9.6,0.0,0.0,5.3,9.4,0.6,0.2,1.9,0.7,4.5,4.6,
1617velv-nyex-fl,8571,Sr Mindstorm Magicians,14,4,141,110,5,,0.40,12.6,15.6,20.7,20.7,7.3,7.5,0.0,0.0,15.7,14.4,-5.1,-3.2,-5.3,-3.1,-2.8,-1.9,
1617velv-nyex-fl,3750,Error: 404,15,4,83,85,5,,0.40,20.5,19.8,15.6,15.1,-0.1,0.6,0.0,0.0,13.0,12.0,3.9,3.1,3.8,3.9,1.1,0.8,
1617velv-nyex-fl,11779,Chrononauts,16,4,79,81,5,,0.40,13.4,15.4,16.4,17.4,3.2,3.9,0.0,0.0,9.6,9.8,1.3,1.9,-0.8,-0.3,-2.2,-1.7,
1617velv-nyex-fl,8568,Spencerport Tech Rangers,17,3,235,95,5,,0.30,23.6,25.1,27.8,27.9,13.9,12.8,0.0,0.0,5.7,9.2,3.6,3.0,0.4,0.0,-4.7,-2.8,
1617velv-nyex-fl,5927,TechnoGirls,18,2,191,70,5,,0.20,28.5,25.5,31.1,27.2,17.0,14.9,0.0,0.0,7.2,7.1,4.6,3.5,-0.3,-0.1,-2.3,-1.6,
1617velv-nyex-fl,9984,JavaScouts,19,2,170,65,5,,0.20,19.0,19.5,3.8,5.1,11.6,10.4,0.0,0.0,6.8,8.3,2.0,1.8,-1.4,-1.0,16.6,15.4,
1617velv-nyex-fl,9293,Phoenix,20,2,124,120,5,,0.20,26.8,25.2,-8.3,-4.2,-3.8,-1.6,0.0,0.0,19.0,16.2,-0.4,-0.2,12.0,10.7,23.1,18.7,
1617velv-nyex-fl,5065,Bee Awesome,21,2,90,35,5,,0.20,-4.4,1.4,0.3,4.6,-6.1,-3.2,0.0,0.0,0.5,3.3,2.7,2.4,-1.5,-1.2,-3.2,-2.0,
1617velv-nyex-fl,11245,Victor FTC Team 1,22,2,80,60,5,S1,0.20,-3.4,2.4,6.4,8.8,1.3,2.7,0.0,0.0,-0.2,2.7,-2.9,-2.0,-1.6,-1.1,-8.2,-5.3,
1617velv-nyex-fl,8145,Brighton Robotics,23,2,74,41,5,,0.20,3.8,6.0,3.6,5.9,-3.1,-1.3,0.0,0.0,8.0,7.9,-0.3,-0.1,-0.8,-0.7,1.0,0.8,
1617velv-nyex-fl,8863,Precision Cut-Ups,24,0,77,46,5,,0.00,5.4,6.7,-17.8,-12.4,4.0,4.4,0.0,0.0,0.6,1.1,-0.3,0.2,1.1,1.0,22.0,18.1,
